path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
Complete.50.1.1.gexf,2,24.0950247029912,1,Complete,50,1,1,gexf
Complete.50.1.1.gexf,3,24.0950247029912,1,Complete,50,1,1,gexf
Complete.50.1.1.gexf,5,24.0950247029912,1,Complete,50,1,1,gexf
Complete.50.1.1.gexf,10,24.0950247029912,1,Complete,50,1,1,gexf
Complete.50.1.1.gexf,50,F,F,Complete,50,1,1,gexf
Complete.50.20.1.gexf,2,446,1,Complete,50,20,1,gexf
Complete.50.20.1.gexf,3,446,1,Complete,50,20,1,gexf
Complete.50.20.1.gexf,5,446,1,Complete,50,20,1,gexf
Complete.50.20.1.gexf,10,446,1,Complete,50,20,1,gexf
Complete.50.20.1.gexf,50,F,F,Complete,50,20,1,gexf
Complete.100.1.1.gexf,2,48.7803799332268,1,Complete,100,1,1,gexf
Complete.100.1.1.gexf,3,48.7803799332268,1,Complete,100,1,1,gexf
Complete.100.1.1.gexf,5,48.7803799332268,1,Complete,100,1,1,gexf
Complete.100.1.1.gexf,10,48.7803799332268,1,Complete,100,1,1,gexf
Complete.100.1.1.gexf,50,48.623873991514245,7,Complete,100,1,1,gexf
Complete.100.20.1.gexf,2,899,1,Complete,100,20,1,gexf
Complete.100.20.1.gexf,3,899,1,Complete,100,20,1,gexf
Complete.100.20.1.gexf,5,899,1,Complete,100,20,1,gexf
Complete.100.20.1.gexf,10,899,2,Complete,100,20,1,gexf
Complete.100.20.1.gexf,50,888.675,12,Complete,100,20,1,gexf
Complete.500.1.1.gexf,2,237.31019059260248,2,Complete,500,1,1,gexf
Complete.500.1.1.gexf,3,237.31019059260248,1,Complete,500,1,1,gexf
Complete.500.1.1.gexf,5,237.31019059260248,3,Complete,500,1,1,gexf
Complete.500.1.1.gexf,10,237.31019059260248,1,Complete,500,1,1,gexf
Complete.500.1.1.gexf,50,237.31019059260248,2,Complete,500,1,1,gexf
Complete.500.20.1.gexf,2,4873,1,Complete,500,20,1,gexf
Complete.500.20.1.gexf,3,4873,1,Complete,500,20,1,gexf
Complete.500.20.1.gexf,5,4873,1,Complete,500,20,1,gexf
Complete.500.20.1.gexf,10,4873,1,Complete,500,20,1,gexf
Complete.500.20.1.gexf,50,4873,1,Complete,500,20,1,gexf
Complete.1000.1.1.gexf,2,504.68403117032653,1,Complete,1000,1,1,gexf
Complete.1000.1.1.gexf,3,504.68403117032653,1,Complete,1000,1,1,gexf
Complete.1000.1.1.gexf,5,504.68403117032653,1,Complete,1000,1,1,gexf
Complete.1000.1.1.gexf,10,504.68403117032653,1,Complete,1000,1,1,gexf
Complete.1000.1.1.gexf,50,504.68403117032653,1,Complete,1000,1,1,gexf
Complete.1000.20.1.gexf,2,9964,1,Complete,1000,20,1,gexf
Complete.1000.20.1.gexf,3,9964,1,Complete,1000,20,1,gexf
Complete.1000.20.1.gexf,5,9964,1,Complete,1000,20,1,gexf
Complete.1000.20.1.gexf,10,9964,1,Complete,1000,20,1,gexf
Complete.1000.20.1.gexf,50,9964,1,Complete,1000,20,1,gexf
Complete.50.1.2.gexf,2,22.50029949661349,1,Complete,50,1,2,gexf
Complete.50.1.2.gexf,3,22.50029949661349,1,Complete,50,1,2,gexf
Complete.50.1.2.gexf,5,22.50029949661349,1,Complete,50,1,2,gexf
Complete.50.1.2.gexf,10,22.50029949661349,1,Complete,50,1,2,gexf
Complete.50.1.2.gexf,50,F,F,Complete,50,1,2,gexf
Complete.50.20.2.gexf,2,421,1,Complete,50,20,2,gexf
Complete.50.20.2.gexf,3,421,1,Complete,50,20,2,gexf
Complete.50.20.2.gexf,5,421,1,Complete,50,20,2,gexf
Complete.50.20.2.gexf,10,421,1,Complete,50,20,2,gexf
Complete.50.20.2.gexf,50,F,F,Complete,50,20,2,gexf
Complete.100.1.2.gexf,2,52.52596507674112,1,Complete,100,1,2,gexf
Complete.100.1.2.gexf,3,52.52596507674112,1,Complete,100,1,2,gexf
Complete.100.1.2.gexf,5,52.52596507674112,1,Complete,100,1,2,gexf
Complete.100.1.2.gexf,10,52.52596507674112,1,Complete,100,1,2,gexf
Complete.100.1.2.gexf,50,52.52596507674112,1,Complete,100,1,2,gexf
Complete.100.20.2.gexf,2,925,1,Complete,100,20,2,gexf
Complete.100.20.2.gexf,3,925,1,Complete,100,20,2,gexf
Complete.100.20.2.gexf,5,925,1,Complete,100,20,2,gexf
Complete.100.20.2.gexf,10,925,1,Complete,100,20,2,gexf
Complete.100.20.2.gexf,50,922.25,4,Complete,100,20,2,gexf
Complete.500.1.2.gexf,2,243.40515300575424,1,Complete,500,1,2,gexf
Complete.500.1.2.gexf,3,243.40515300575424,1,Complete,500,1,2,gexf
Complete.500.1.2.gexf,5,243.40515300575424,1,Complete,500,1,2,gexf
Complete.500.1.2.gexf,10,243.40515300575424,1,Complete,500,1,2,gexf
Complete.500.1.2.gexf,50,243.40515300575424,1,Complete,500,1,2,gexf
Complete.500.20.2.gexf,2,4813,1,Complete,500,20,2,gexf
Complete.500.20.2.gexf,3,4813,1,Complete,500,20,2,gexf
Complete.500.20.2.gexf,5,4813,1,Complete,500,20,2,gexf
Complete.500.20.2.gexf,10,4813,1,Complete,500,20,2,gexf
Complete.500.20.2.gexf,50,4813,1,Complete,500,20,2,gexf
Complete.1000.1.2.gexf,2,492.52483457067353,1,Complete,1000,1,2,gexf
Complete.1000.1.2.gexf,3,492.52483457067353,1,Complete,1000,1,2,gexf
Complete.1000.1.2.gexf,5,492.52483457067353,1,Complete,1000,1,2,gexf
Complete.1000.1.2.gexf,10,492.52483457067353,1,Complete,1000,1,2,gexf
Complete.1000.1.2.gexf,50,492.52483457067353,2,Complete,1000,1,2,gexf
Complete.1000.20.2.gexf,2,9860,1,Complete,1000,20,2,gexf
Complete.1000.20.2.gexf,3,9860,1,Complete,1000,20,2,gexf
Complete.1000.20.2.gexf,5,9860,1,Complete,1000,20,2,gexf
Complete.1000.20.2.gexf,10,9860,1,Complete,1000,20,2,gexf
Complete.1000.20.2.gexf,50,9860,1,Complete,1000,20,2,gexf
Complete.50.1.3.gexf,2,24.34177110162501,2,Complete,50,1,3,gexf
Complete.50.1.3.gexf,3,24.34177110162501,1,Complete,50,1,3,gexf
Complete.50.1.3.gexf,5,24.34177110162501,3,Complete,50,1,3,gexf
Complete.50.1.3.gexf,10,24.34177110162501,1,Complete,50,1,3,gexf
Complete.50.1.3.gexf,50,F,F,Complete,50,1,3,gexf
Complete.50.20.3.gexf,2,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,3,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,5,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,10,478,1,Complete,50,20,3,gexf
Complete.50.20.3.gexf,50,F,F,Complete,50,20,3,gexf
Complete.100.1.3.gexf,2,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,3,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,5,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,10,48.44094911492888,1,Complete,100,1,3,gexf
Complete.100.1.3.gexf,50,48.301136053210115,8,Complete,100,1,3,gexf
Complete.100.20.3.gexf,2,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,3,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,5,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,10,972,1,Complete,100,20,3,gexf
Complete.100.20.3.gexf,50,972,1,Complete,100,20,3,gexf
Complete.500.1.3.gexf,2,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,3,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,5,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,10,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.1.3.gexf,50,254.62833811168727,1,Complete,500,1,3,gexf
Complete.500.20.3.gexf,2,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,3,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,5,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,10,4877,1,Complete,500,20,3,gexf
Complete.500.20.3.gexf,50,4877,1,Complete,500,20,3,gexf
Complete.1000.1.3.gexf,2,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,3,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,5,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,10,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.1.3.gexf,50,489.12130445669345,1,Complete,1000,1,3,gexf
Complete.1000.20.3.gexf,2,9934,1,Complete,1000,20,3,gexf
