path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
R-MAT.50.5.1.gexf,2,14.0,1,R-MAT,50,5,1,gexf
R-MAT.50.5.1.gexf,3,14.0,1,R-MAT,50,5,1,gexf
R-MAT.50.5.1.gexf,5,14.0,1,R-MAT,50,5,1,gexf
R-MAT.50.5.1.gexf,10,F,F,R-MAT,50,5,1,gexf
R-MAT.50.5.1.gexf,50,F,F,R-MAT,50,5,1,gexf
R-MAT.50.10.1.gexf,2,25.0,1,R-MAT,50,10,1,gexf
R-MAT.50.10.1.gexf,3,25.0,1,R-MAT,50,10,1,gexf
R-MAT.50.10.1.gexf,5,25.0,1,R-MAT,50,10,1,gexf
R-MAT.50.10.1.gexf,10,21.999999999999996,5,R-MAT,50,10,1,gexf
R-MAT.50.10.1.gexf,50,F,F,R-MAT,50,10,1,gexf
R-MAT.50.25.1.gexf,2,70.0,1,R-MAT,50,25,1,gexf
R-MAT.50.25.1.gexf,3,70.0,1,R-MAT,50,25,1,gexf
R-MAT.50.25.1.gexf,5,70.0,1,R-MAT,50,25,1,gexf
R-MAT.50.25.1.gexf,10,64.42857142857143,6,R-MAT,50,25,1,gexf
R-MAT.50.25.1.gexf,50,F,F,R-MAT,50,25,1,gexf
R-MAT.100.5.1.gexf,2,21.0,1,R-MAT,100,5,1,gexf
R-MAT.100.5.1.gexf,3,21.0,1,R-MAT,100,5,1,gexf
R-MAT.100.5.1.gexf,5,21.0,1,R-MAT,100,5,1,gexf
R-MAT.100.5.1.gexf,10,18.333333333333332,6,R-MAT,100,5,1,gexf
R-MAT.100.5.1.gexf,50,F,F,R-MAT,100,5,1,gexf
R-MAT.100.10.1.gexf,2,54.0,1,R-MAT,100,10,1,gexf
R-MAT.100.10.1.gexf,3,54.0,1,R-MAT,100,10,1,gexf
R-MAT.100.10.1.gexf,5,54.0,1,R-MAT,100,10,1,gexf
R-MAT.100.10.1.gexf,10,53.9,3,R-MAT,100,10,1,gexf
R-MAT.100.10.1.gexf,50,F,F,R-MAT,100,10,1,gexf
R-MAT.100.25.1.gexf,2,118.0,1,R-MAT,100,25,1,gexf
R-MAT.100.25.1.gexf,3,118.0,1,R-MAT,100,25,1,gexf
R-MAT.100.25.1.gexf,5,118.0,1,R-MAT,100,25,1,gexf
R-MAT.100.25.1.gexf,10,116.11111111111111,3,R-MAT,100,25,1,gexf
R-MAT.100.25.1.gexf,50,F,F,R-MAT,100,25,1,gexf
R-MAT.500.5.1.gexf,2,45.0,1,R-MAT,500,5,1,gexf
R-MAT.500.5.1.gexf,3,45.0,1,R-MAT,500,5,1,gexf
R-MAT.500.5.1.gexf,5,45.0,1,R-MAT,500,5,1,gexf
R-MAT.500.5.1.gexf,10,44.0,2,R-MAT,500,5,1,gexf
R-MAT.500.5.1.gexf,50,F,F,R-MAT,500,5,1,gexf
R-MAT.500.10.1.gexf,2,103.0,1,R-MAT,500,10,1,gexf
R-MAT.500.10.1.gexf,3,103.0,1,R-MAT,500,10,1,gexf
R-MAT.500.10.1.gexf,5,103.0,1,R-MAT,500,10,1,gexf
R-MAT.500.10.1.gexf,10,103.0,1,R-MAT,500,10,1,gexf
R-MAT.500.10.1.gexf,50,82.875,20,R-MAT,500,10,1,gexf
R-MAT.500.25.1.gexf,2,250.0,1,R-MAT,500,25,1,gexf
R-MAT.500.25.1.gexf,3,250.0,1,R-MAT,500,25,1,gexf
R-MAT.500.25.1.gexf,5,250.0,1,R-MAT,500,25,1,gexf
R-MAT.500.25.1.gexf,10,250.0,1,R-MAT,500,25,1,gexf
R-MAT.500.25.1.gexf,50,206.3181818181818,9,R-MAT,500,25,1,gexf
R-MAT.1000.5.1.gexf,2,87.0,1,R-MAT,1000,5,1,gexf
R-MAT.1000.5.1.gexf,3,87.0,1,R-MAT,1000,5,1,gexf
R-MAT.1000.5.1.gexf,5,87.0,1,R-MAT,1000,5,1,gexf
R-MAT.1000.5.1.gexf,10,87.0,1,R-MAT,1000,5,1,gexf
R-MAT.1000.5.1.gexf,50,75.22500000000002,12,R-MAT,1000,5,1,gexf
R-MAT.1000.10.1.gexf,2,151.0,1,R-MAT,1000,10,1,gexf
R-MAT.1000.10.1.gexf,3,151.0,1,R-MAT,1000,10,1,gexf
R-MAT.1000.10.1.gexf,5,151.0,1,R-MAT,1000,10,1,gexf
R-MAT.1000.10.1.gexf,10,151.0,1,R-MAT,1000,10,1,gexf
R-MAT.1000.10.1.gexf,50,128.7142857142857,11,R-MAT,1000,10,1,gexf
R-MAT.1000.25.1.gexf,2,343.0,1,R-MAT,1000,25,1,gexf
R-MAT.1000.25.1.gexf,3,343.0,1,R-MAT,1000,25,1,gexf
R-MAT.1000.25.1.gexf,5,343.0,1,R-MAT,1000,25,1,gexf
R-MAT.1000.25.1.gexf,10,343.0,1,R-MAT,1000,25,1,gexf
R-MAT.1000.25.1.gexf,50,328.3125,4,R-MAT,1000,25,1,gexf
R-MAT.50.5.2.gexf,2,11.0,1,R-MAT,50,5,2,gexf
R-MAT.50.5.2.gexf,3,11.0,1,R-MAT,50,5,2,gexf
R-MAT.50.5.2.gexf,5,10.8,2,R-MAT,50,5,2,gexf
R-MAT.50.5.2.gexf,10,F,F,R-MAT,50,5,2,gexf
R-MAT.50.5.2.gexf,50,F,F,R-MAT,50,5,2,gexf
R-MAT.50.10.2.gexf,2,29.0,1,R-MAT,50,10,2,gexf
R-MAT.50.10.2.gexf,3,29.0,1,R-MAT,50,10,2,gexf
R-MAT.50.10.2.gexf,5,27.6,2,R-MAT,50,10,2,gexf
R-MAT.50.10.2.gexf,10,19.249999999999996,8,R-MAT,50,10,2,gexf
R-MAT.50.10.2.gexf,50,F,F,R-MAT,50,10,2,gexf
R-MAT.50.25.2.gexf,2,59.0,1,R-MAT,50,25,2,gexf
R-MAT.50.25.2.gexf,3,59.0,1,R-MAT,50,25,2,gexf
R-MAT.50.25.2.gexf,5,54.0,2,R-MAT,50,25,2,gexf
R-MAT.50.25.2.gexf,10,36.66666666666667,6,R-MAT,50,25,2,gexf
R-MAT.50.25.2.gexf,50,F,F,R-MAT,50,25,2,gexf
R-MAT.100.5.2.gexf,2,19.0,1,R-MAT,100,5,2,gexf
R-MAT.100.5.2.gexf,3,19.0,1,R-MAT,100,5,2,gexf
R-MAT.100.5.2.gexf,5,19.0,1,R-MAT,100,5,2,gexf
R-MAT.100.5.2.gexf,10,15.125,4,R-MAT,100,5,2,gexf
R-MAT.100.5.2.gexf,50,F,F,R-MAT,100,5,2,gexf
R-MAT.100.10.2.gexf,2,41.0,1,R-MAT,100,10,2,gexf
R-MAT.100.10.2.gexf,3,41.0,1,R-MAT,100,10,2,gexf
R-MAT.100.10.2.gexf,5,39.599999999999994,2,R-MAT,100,10,2,gexf
R-MAT.100.10.2.gexf,10,34.375,4,R-MAT,100,10,2,gexf
R-MAT.100.10.2.gexf,50,F,F,R-MAT,100,10,2,gexf
R-MAT.100.25.2.gexf,2,103.0,1,R-MAT,100,25,2,gexf
R-MAT.100.25.2.gexf,3,103.0,1,R-MAT,100,25,2,gexf
R-MAT.100.25.2.gexf,5,103.0,1,R-MAT,100,25,2,gexf
R-MAT.100.25.2.gexf,10,102.30000000000001,2,R-MAT,100,25,2,gexf
R-MAT.100.25.2.gexf,50,F,F,R-MAT,100,25,2,gexf
R-MAT.500.5.2.gexf,2,58.0,1,R-MAT,500,5,2,gexf
R-MAT.500.5.2.gexf,3,58.0,1,R-MAT,500,5,2,gexf
R-MAT.500.5.2.gexf,5,58.0,1,R-MAT,500,5,2,gexf
R-MAT.500.5.2.gexf,10,58.0,1,R-MAT,500,5,2,gexf
R-MAT.500.5.2.gexf,50,F,F,R-MAT,500,5,2,gexf
R-MAT.500.10.2.gexf,2,94.0,1,R-MAT,500,10,2,gexf
R-MAT.500.10.2.gexf,3,94.0,1,R-MAT,500,10,2,gexf
R-MAT.500.10.2.gexf,5,94.0,1,R-MAT,500,10,2,gexf
R-MAT.500.10.2.gexf,10,94.0,1,R-MAT,500,10,2,gexf
R-MAT.500.10.2.gexf,50,64.5,18,R-MAT,500,10,2,gexf
R-MAT.500.25.2.gexf,2,273.0,1,R-MAT,500,25,2,gexf
R-MAT.500.25.2.gexf,3,273.0,1,R-MAT,500,25,2,gexf
R-MAT.500.25.2.gexf,5,273.0,1,R-MAT,500,25,2,gexf
R-MAT.500.25.2.gexf,10,273.0,1,R-MAT,500,25,2,gexf
R-MAT.500.25.2.gexf,50,219.30000000000004,12,R-MAT,500,25,2,gexf
R-MAT.1000.5.2.gexf,2,69.0,1,R-MAT,1000,5,2,gexf
R-MAT.1000.5.2.gexf,3,69.0,1,R-MAT,1000,5,2,gexf
R-MAT.1000.5.2.gexf,5,69.0,1,R-MAT,1000,5,2,gexf
R-MAT.1000.5.2.gexf,10,69.0,1,R-MAT,1000,5,2,gexf
R-MAT.1000.5.2.gexf,50,F,F,R-MAT,1000,5,2,gexf
R-MAT.1000.10.2.gexf,2,147.0,1,R-MAT,1000,10,2,gexf
R-MAT.1000.10.2.gexf,3,147.0,1,R-MAT,1000,10,2,gexf
R-MAT.1000.10.2.gexf,5,147.0,1,R-MAT,1000,10,2,gexf
R-MAT.1000.10.2.gexf,10,147.0,1,R-MAT,1000,10,2,gexf
R-MAT.1000.10.2.gexf,50,123.85714285714286,10,R-MAT,1000,10,2,gexf
R-MAT.1000.25.2.gexf,2,372.0,1,R-MAT,1000,25,2,gexf
R-MAT.1000.25.2.gexf,3,372.0,1,R-MAT,1000,25,2,gexf
R-MAT.1000.25.2.gexf,5,372.0,1,R-MAT,1000,25,2,gexf
R-MAT.1000.25.2.gexf,10,372.0,1,R-MAT,1000,25,2,gexf
R-MAT.1000.25.2.gexf,50,329.07142857142867,10,R-MAT,1000,25,2,gexf
