path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4,k:5
Rand.Uni.50.5.68.gexf,2,1.5192158847702153,2,Rand,Uni,50,5,68,gexf
Rand.Uni.50.5.68.gexf,3,1.092072012653567,4,Rand,Uni,50,5,68,gexf
Rand.Uni.50.5.68.gexf,5,0.28114936134832647,6,Rand,Uni,50,5,68,gexf
Rand.Uni.50.5.68.gexf,10,F,F,Rand,Uni,50,5,68,gexf
Rand.Uni.50.5.68.gexf,50,F,F,Rand,Uni,50,5,68,gexf
Rand.Uni.50.10.68.gexf,2,9.06152072074202,1,Rand,Uni,50,10,68,gexf
Rand.Uni.50.10.68.gexf,3,9.06152072074202,1,Rand,Uni,50,10,68,gexf
Rand.Uni.50.10.68.gexf,5,9.06152072074202,1,Rand,Uni,50,10,68,gexf
Rand.Uni.50.10.68.gexf,10,8.215693039054191,8,Rand,Uni,50,10,68,gexf
Rand.Uni.50.10.68.gexf,50,F,F,Rand,Uni,50,10,68,gexf
Rand.Uni.50.25.68.gexf,2,19.524081630367473,1,Rand,Uni,50,25,68,gexf
Rand.Uni.50.25.68.gexf,3,19.524081630367473,1,Rand,Uni,50,25,68,gexf
Rand.Uni.50.25.68.gexf,5,19.524081630367473,1,Rand,Uni,50,25,68,gexf
Rand.Uni.50.25.68.gexf,10,19.524081630367473,1,Rand,Uni,50,25,68,gexf
Rand.Uni.50.25.68.gexf,50,F,F,Rand,Uni,50,25,68,gexf
Rand.Uni.100.5.68.gexf,2,2.7213911092143066,3,Rand,Uni,100,5,68,gexf
Rand.Uni.100.5.68.gexf,3,2.419014319301606,2,Rand,Uni,100,5,68,gexf
Rand.Uni.100.5.68.gexf,5,1.4154925054134222,5,Rand,Uni,100,5,68,gexf
Rand.Uni.100.5.68.gexf,10,F,F,Rand,Uni,100,5,68,gexf
Rand.Uni.100.5.68.gexf,50,F,F,Rand,Uni,100,5,68,gexf
Rand.Uni.100.10.68.gexf,2,10.643513170783752,1,Rand,Uni,100,10,68,gexf
Rand.Uni.100.10.68.gexf,3,10.643513170783752,1,Rand,Uni,100,10,68,gexf
Rand.Uni.100.10.68.gexf,5,10.643513170783752,1,Rand,Uni,100,10,68,gexf
Rand.Uni.100.10.68.gexf,10,10.643513170783752,1,Rand,Uni,100,10,68,gexf
Rand.Uni.100.10.68.gexf,50,F,F,Rand,Uni,100,10,68,gexf
Rand.Uni.100.25.68.gexf,2,19.9584567979917,1,Rand,Uni,100,25,68,gexf
Rand.Uni.100.25.68.gexf,3,19.9584567979917,1,Rand,Uni,100,25,68,gexf
Rand.Uni.100.25.68.gexf,5,19.9584567979917,1,Rand,Uni,100,25,68,gexf
Rand.Uni.100.25.68.gexf,10,19.9584567979917,1,Rand,Uni,100,25,68,gexf
Rand.Uni.100.25.68.gexf,50,F,F,Rand,Uni,100,25,68,gexf
Rand.Uni.500.5.68.gexf,2,3.486506601056891,1,Rand,Uni,500,5,68,gexf
Rand.Uni.500.5.68.gexf,3,3.486506601056891,1,Rand,Uni,500,5,68,gexf
Rand.Uni.500.5.68.gexf,5,1.8681387607029196,5,Rand,Uni,500,5,68,gexf
Rand.Uni.500.5.68.gexf,10,F,F,Rand,Uni,500,5,68,gexf
Rand.Uni.500.5.68.gexf,50,F,F,Rand,Uni,500,5,68,gexf
Rand.Uni.500.10.68.gexf,2,7.843043547176208,1,Rand,Uni,500,10,68,gexf
Rand.Uni.500.10.68.gexf,3,7.843043547176208,1,Rand,Uni,500,10,68,gexf
Rand.Uni.500.10.68.gexf,5,7.843043547176208,1,Rand,Uni,500,10,68,gexf
Rand.Uni.500.10.68.gexf,10,6.837139748406143,8,Rand,Uni,500,10,68,gexf
Rand.Uni.500.10.68.gexf,50,F,F,Rand,Uni,500,10,68,gexf
Rand.Uni.500.25.68.gexf,2,19.93332141189518,1,Rand,Uni,500,25,68,gexf
Rand.Uni.500.25.68.gexf,3,19.93332141189518,1,Rand,Uni,500,25,68,gexf
Rand.Uni.500.25.68.gexf,5,19.93332141189518,1,Rand,Uni,500,25,68,gexf
Rand.Uni.500.25.68.gexf,10,19.93332141189518,1,Rand,Uni,500,25,68,gexf
Rand.Uni.500.25.68.gexf,50,F,F,Rand,Uni,500,25,68,gexf
Rand.Uni.1000.5.68.gexf,2,0.7222851255176562,3,Rand,Uni,1000,5,68,gexf
Rand.Uni.1000.5.68.gexf,3,0.4815234170117707,3,Rand,Uni,1000,5,68,gexf
Rand.Uni.1000.5.68.gexf,5,F,F,Rand,Uni,1000,5,68,gexf
Rand.Uni.1000.5.68.gexf,10,F,F,Rand,Uni,1000,5,68,gexf
Rand.Uni.1000.5.68.gexf,50,F,F,Rand,Uni,1000,5,68,gexf
Rand.Uni.1000.10.68.gexf,2,13.015820665458127,1,Rand,Uni,1000,10,68,gexf
Rand.Uni.1000.10.68.gexf,3,13.015820665458127,1,Rand,Uni,1000,10,68,gexf
Rand.Uni.1000.10.68.gexf,5,13.015820665458127,1,Rand,Uni,1000,10,68,gexf
Rand.Uni.1000.10.68.gexf,10,13.015820665458127,1,Rand,Uni,1000,10,68,gexf
Rand.Uni.1000.10.68.gexf,50,F,F,Rand,Uni,1000,10,68,gexf
Rand.Uni.1000.25.68.gexf,2,23.239844702680895,1,Rand,Uni,1000,25,68,gexf
Rand.Uni.1000.25.68.gexf,3,23.239844702680895,1,Rand,Uni,1000,25,68,gexf
Rand.Uni.1000.25.68.gexf,5,23.239844702680895,1,Rand,Uni,1000,25,68,gexf
Rand.Uni.1000.25.68.gexf,10,23.239844702680895,2,Rand,Uni,1000,25,68,gexf
Rand.Uni.1000.25.68.gexf,50,F,F,Rand,Uni,1000,25,68,gexf
Rand.Uni.50.5.69.gexf,2,4.858594848921308,1,Rand,Uni,50,5,69,gexf
Rand.Uni.50.5.69.gexf,3,4.858594848921308,1,Rand,Uni,50,5,69,gexf
Rand.Uni.50.5.69.gexf,5,4.745031572186119,2,Rand,Uni,50,5,69,gexf
Rand.Uni.50.5.69.gexf,10,F,F,Rand,Uni,50,5,69,gexf
Rand.Uni.50.5.69.gexf,50,F,F,Rand,Uni,50,5,69,gexf
Rand.Uni.50.10.69.gexf,2,9.626138250452241,1,Rand,Uni,50,10,69,gexf
Rand.Uni.50.10.69.gexf,3,9.626138250452241,1,Rand,Uni,50,10,69,gexf
Rand.Uni.50.10.69.gexf,5,9.626138250452241,1,Rand,Uni,50,10,69,gexf
Rand.Uni.50.10.69.gexf,10,9.446690707603562,3,Rand,Uni,50,10,69,gexf
Rand.Uni.50.10.69.gexf,50,F,F,Rand,Uni,50,10,69,gexf
Rand.Uni.50.25.69.gexf,2,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,3,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,5,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,10,17.16114755211686,1,Rand,Uni,50,25,69,gexf
Rand.Uni.50.25.69.gexf,50,F,F,Rand,Uni,50,25,69,gexf
Rand.Uni.100.5.69.gexf,2,4.151508355818254,1,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,3,4.151508355818254,1,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,5,0.9861801619316419,6,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,10,F,F,Rand,Uni,100,5,69,gexf
Rand.Uni.100.5.69.gexf,50,F,F,Rand,Uni,100,5,69,gexf
Rand.Uni.100.10.69.gexf,2,7.599187364111761,2,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,3,7.599187364111761,1,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,5,7.599187364111761,3,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,10,6.715601752381219,6,Rand,Uni,100,10,69,gexf
Rand.Uni.100.10.69.gexf,50,F,F,Rand,Uni,100,10,69,gexf
Rand.Uni.100.25.69.gexf,2,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,3,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,5,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,10,22.63780766479126,1,Rand,Uni,100,25,69,gexf
Rand.Uni.100.25.69.gexf,50,F,F,Rand,Uni,100,25,69,gexf
Rand.Uni.500.5.69.gexf,2,2.08487047643089,2,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,3,0.7420090649336943,4,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,5,F,F,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,10,F,F,Rand,Uni,500,5,69,gexf
Rand.Uni.500.5.69.gexf,50,F,F,Rand,Uni,500,5,69,gexf
Rand.Uni.500.10.69.gexf,2,9.86983318377032,1,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,3,9.86983318377032,1,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,5,9.86983318377032,1,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,10,9.784782708811349,2,Rand,Uni,500,10,69,gexf
Rand.Uni.500.10.69.gexf,50,F,F,Rand,Uni,500,10,69,gexf
Rand.Uni.500.25.69.gexf,2,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,3,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,5,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,10,24.179494886598413,1,Rand,Uni,500,25,69,gexf
Rand.Uni.500.25.69.gexf,50,5.2910545511594425,46,Rand,Uni,500,25,69,gexf
Rand.Uni.1000.5.69.gexf,2,3.7284067725150343,2,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.5.69.gexf,3,3.7284067725150343,1,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.5.69.gexf,5,3.459189189179395,4,Rand,Uni,1000,5,69,gexf
Rand.Uni.1000.5.69.gexf,10,F,F,Rand,Uni,1000,5,69,gexf
