construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	max.c	ex	k.4	mem	constant	best
1	cut	cap	first	Complete.50.1.1.gexf	50	2450	2	1	[49, 49, 49, 49]	24.0950247029912	22.1647546072247	22.164754607224694	inf	245	0	0	0	0	[24.095024702991203, 22.164754607224694]	Complete	50	1	1	gexf	24.0950247029912	1.08708736595429	0.5
2	cut	cap	first	Complete.50.1.1.gexf	50	2450	3	2	[49, 49, 49, 49]	24.0950247029912	21.2338864267154	21.23388642671538	inf	192	0	0	0	0	[24.095024702991203, 21.23388642671538]	Complete	50	1	1	gexf	24.0950247029912	1.13474397568012	0.5
3	cut	cap	first	Complete.50.1.1.gexf	50	2450	5	3	[49, 49, 49, 49]	24.0950247029912	19.5205223664531	19.52052236645312	inf	248	0	0	0	0	[24.095024702991203, 19.52052236645312]	Complete	50	1	1	gexf	24.0950247029912	1.23434323378557	0.5
4	cut	cap	first	Complete.50.1.1.gexf	50	2450	10	4	[49, 49, 49, 49]	24.0950247029912	15.7457538685053	15.745753868505256	inf	334	0	0	0	0	[24.095024702991203, 15.745753868505256]	Complete	50	1	1	gexf	24.0950247029912	1.53025538848198	0.5
6	cut	cap	first	Complete.50.20.1.gexf	50	2450	2	1	[49, 49, 49, 49]	446	409	409	inf	159	0	0	0	0	[446, 409]	Complete	50	20	1	gexf	446	1.09046454767726	0.5
7	cut	cap	first	Complete.50.20.1.gexf	50	2450	3	2	[49, 49, 49, 49]	446	391	391	inf	172	0	0	0	0	[446, 391]	Complete	50	20	1	gexf	446	1.14066496163683	0.5
8	cut	cap	first	Complete.50.20.1.gexf	50	2450	5	3	[49, 49, 49, 49]	446	355	355	inf	246	0	0	0	0	[446, 355]	Complete	50	20	1	gexf	446	1.25633802816901	0.5
9	cut	cap	first	Complete.50.20.1.gexf	50	2450	10	4	[49, 49, 49, 49]	446	277	277	inf	340	0	0	0	0	[446, 277]	Complete	50	20	1	gexf	446	1.6101083032491	0.5
11	cut	cap	first	Complete.50.1.2.gexf	50	2450	2	1	[49, 49, 49, 49]	22.5002994966135	20.579103829518	20.579103829518044	inf	93	0	0	0	0	[22.500299496613483, 20.579103829518044]	Complete	50	1	2	gexf	22.5002994966135	1.09335662441917	0.5
12	cut	cap	first	Complete.50.1.2.gexf	50	2450	3	2	[49, 49, 49, 49]	22.5002994966135	19.6510258869987	19.65102588699868	inf	186	0	0	0	0	[22.500299496613483, 19.65102588699868]	Complete	50	1	2	gexf	22.5002994966135	1.14499363168108	0.5
