path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4	small_1	constant1	uni_2	constant2	best.constant	best.alg
1	Complete.50.1.1.gexf	2	24.0950247029912	1	Complete	50	1	1	gexf	22.1647546072247	1.08708736595429	22.1647546072247	1.08708736595429	1.08708736595429	NA
2	Complete.50.1.1.gexf	3	24.0950247029912	1	Complete	50	1	1	gexf	21.2338864267154	1.13474397568012	21.2338864267154	1.13474397568012	1.13474397568012	NA
3	Complete.50.1.1.gexf	5	24.0950247029912	1	Complete	50	1	1	gexf	19.5205223664531	1.23434323378557	19.5205223664531	1.23434323378557	1.23434323378557	NA
4	Complete.50.1.1.gexf	10	24.0950247029912	1	Complete	50	1	1	gexf	15.7457538685053	1.53025538848198	15.7457538685053	1.53025538848198	1.53025538848198	NA
6	Complete.50.20.1.gexf	2	446	1	Complete	50	20	1	gexf	409	1.09046454767726	409	1.09046454767726	1.09046454767726	NA
7	Complete.50.20.1.gexf	3	446	1	Complete	50	20	1	gexf	391	1.14066496163683	391	1.14066496163683	1.14066496163683	NA
8	Complete.50.20.1.gexf	5	446	1	Complete	50	20	1	gexf	355	1.25633802816901	355	1.25633802816901	1.25633802816901	NA
9	Complete.50.20.1.gexf	10	446	1	Complete	50	20	1	gexf	277	1.6101083032491	277	1.6101083032491	1.6101083032491	NA
11	Complete.100.1.1.gexf	2	48.7803799332268	1	Complete	100	1	1	gexf	46.8119139834221	1.0420505333429	48.1868901211593	1.01231641657254	1.0420505333429	NA
12	Complete.100.1.1.gexf	3	48.7803799332268	1	Complete	100	1	1	gexf	45.8294662847893	1.06438900313829	47.1951130015229	1.03358964161507	1.06438900313829	NA
13	Complete.100.1.1.gexf	5	48.7803799332268	1	Complete	100	1	1	gexf	43.8705555817538	1.11191616532696	45.2734645660517	1.07746072452791	1.11191616532696	NA
14	Complete.100.1.1.gexf	10	48.7803799332268	1	Complete	100	1	1	gexf	39.1191057593839	1.24697073172552	40.6068907833912	1.20128330419178	1.24697073172552	NA
15	Complete.100.1.1.gexf	50	48.6238739915142	7	Complete	100	1	1	gexf	11.817127963457	4.11469471616772	12.2833744016515	3.95851110627849	4.11469471616772	NA
16	Complete.100.20.1.gexf	2	899	1	Complete	100	20	1	gexf	861	1.04413472706156	883	1.01812004530011	1.04413472706156	NA
17	Complete.100.20.1.gexf	3	899	1	Complete	100	20	1	gexf	842	1.06769596199525	881	1.02043132803632	1.06769596199525	NA
18	Complete.100.20.1.gexf	5	899	1	Complete	100	20	1	gexf	805	1.1167701863354	899	1	1.1167701863354	NA
19	Complete.100.20.1.gexf	10	899	2	Complete	100	20	1	gexf	715	1.25734265734266	857	1.049008168028	1.25734265734266	NA
20	Complete.100.20.1.gexf	50	888.675	12	Complete	100	20	1	gexf	207	4.29311594202899	313	2.83921725239617	4.29311594202899	NA
21	Complete.500.1.1.gexf	2	237.310190592602	2	Complete	500	1	1	gexf	235.31842241108	1.00846414046599	237.310190592602	1	1.00846414046599	NA
22	Complete.500.1.1.gexf	3	237.310190592602	1	Complete	500	1	1	gexf	234.326289478952	1.01273395793654	237.310190592602	1	1.01273395793654	NA
23	Complete.500.1.1.gexf	5	237.310190592602	3	Complete	500	1	1	gexf	232.351325505374	1.02134209941106	235.49804807987	1.00769493644431	1.02134209941106	NA
24	Complete.500.1.1.gexf	10	237.310190592602	1	Complete	500	1	1	gexf	227.44052157146	1.04339450575012	230.570973225062	1.02922838583399	1.04339450575012	NA
25	Complete.500.1.1.gexf	50	237.310190592602	2	Complete	500	1	1	gexf	190.91641937694	1.24300566377197	193.046796091832	1.22928841812902	1.24300566377197	NA
26	Complete.500.20.1.gexf	2	4873	1	Complete	500	20	1	gexf	4835	1.00785935884178	4835	1.00785935884178	1.00785935884178	NA
27	Complete.500.20.1.gexf	3	4873	1	Complete	500	20	1	gexf	4816	1.01183554817276	4816	1.01183554817276	1.01183554817276	NA
28	Complete.500.20.1.gexf	5	4873	1	Complete	500	20	1	gexf	4778	1.01988279614902	4778	1.01988279614902	1.01988279614902	NA
29	Complete.500.20.1.gexf	10	4873	1	Complete	500	20	1	gexf	4683	1.04057228272475	4683	1.04057228272475	1.04057228272475	NA
