path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4
1	Complete.50.1.1.gexf	2	24.0950247029912	1	Complete	50	1	1	gexf
2	Complete.50.1.1.gexf	3	24.0950247029912	1	Complete	50	1	1	gexf
3	Complete.50.1.1.gexf	5	24.0950247029912	1	Complete	50	1	1	gexf
4	Complete.50.1.1.gexf	10	24.0950247029912	1	Complete	50	1	1	gexf
6	Complete.50.20.1.gexf	2	446	1	Complete	50	20	1	gexf
7	Complete.50.20.1.gexf	3	446	1	Complete	50	20	1	gexf
8	Complete.50.20.1.gexf	5	446	1	Complete	50	20	1	gexf
9	Complete.50.20.1.gexf	10	446	1	Complete	50	20	1	gexf
11	Complete.100.1.1.gexf	2	48.7803799332268	1	Complete	100	1	1	gexf
12	Complete.100.1.1.gexf	3	48.7803799332268	1	Complete	100	1	1	gexf
13	Complete.100.1.1.gexf	5	48.7803799332268	1	Complete	100	1	1	gexf
14	Complete.100.1.1.gexf	10	48.7803799332268	1	Complete	100	1	1	gexf
15	Complete.100.1.1.gexf	50	48.6238739915142	7	Complete	100	1	1	gexf
16	Complete.100.20.1.gexf	2	899	1	Complete	100	20	1	gexf
17	Complete.100.20.1.gexf	3	899	1	Complete	100	20	1	gexf
18	Complete.100.20.1.gexf	5	899	1	Complete	100	20	1	gexf
19	Complete.100.20.1.gexf	10	899	2	Complete	100	20	1	gexf
20	Complete.100.20.1.gexf	50	888.675	12	Complete	100	20	1	gexf
21	Complete.500.1.1.gexf	2	237.310190592602	2	Complete	500	1	1	gexf
22	Complete.500.1.1.gexf	3	237.310190592602	1	Complete	500	1	1	gexf
23	Complete.500.1.1.gexf	5	237.310190592602	3	Complete	500	1	1	gexf
24	Complete.500.1.1.gexf	10	237.310190592602	1	Complete	500	1	1	gexf
25	Complete.500.1.1.gexf	50	237.310190592602	2	Complete	500	1	1	gexf
26	Complete.500.20.1.gexf	2	4873	1	Complete	500	20	1	gexf
27	Complete.500.20.1.gexf	3	4873	1	Complete	500	20	1	gexf
28	Complete.500.20.1.gexf	5	4873	1	Complete	500	20	1	gexf
29	Complete.500.20.1.gexf	10	4873	1	Complete	500	20	1	gexf
30	Complete.500.20.1.gexf	50	4873	1	Complete	500	20	1	gexf
31	Complete.1000.1.1.gexf	2	504.684031170327	1	Complete	1000	1	1	gexf
32	Complete.1000.1.1.gexf	3	504.684031170327	1	Complete	1000	1	1	gexf
33	Complete.1000.1.1.gexf	5	504.684031170327	1	Complete	1000	1	1	gexf
34	Complete.1000.1.1.gexf	10	504.684031170327	1	Complete	1000	1	1	gexf
35	Complete.1000.1.1.gexf	50	504.684031170327	1	Complete	1000	1	1	gexf
36	Complete.1000.20.1.gexf	2	9964	1	Complete	1000	20	1	gexf
37	Complete.1000.20.1.gexf	3	9964	1	Complete	1000	20	1	gexf
38	Complete.1000.20.1.gexf	5	9964	1	Complete	1000	20	1	gexf
39	Complete.1000.20.1.gexf	10	9964	1	Complete	1000	20	1	gexf
40	Complete.1000.20.1.gexf	50	9964	1	Complete	1000	20	1	gexf
41	Complete.50.1.2.gexf	2	22.5002994966135	1	Complete	50	1	2	gexf
42	Complete.50.1.2.gexf	3	22.5002994966135	1	Complete	50	1	2	gexf
43	Complete.50.1.2.gexf	5	22.5002994966135	1	Complete	50	1	2	gexf
44	Complete.50.1.2.gexf	10	22.5002994966135	1	Complete	50	1	2	gexf
46	Complete.50.20.2.gexf	2	421	1	Complete	50	20	2	gexf
47	Complete.50.20.2.gexf	3	421	1	Complete	50	20	2	gexf
48	Complete.50.20.2.gexf	5	421	1	Complete	50	20	2	gexf
49	Complete.50.20.2.gexf	10	421	1	Complete	50	20	2	gexf
51	Complete.100.1.2.gexf	2	52.5259650767411	1	Complete	100	1	2	gexf
52	Complete.100.1.2.gexf	3	52.5259650767411	1	Complete	100	1	2	gexf
53	Complete.100.1.2.gexf	5	52.5259650767411	1	Complete	100	1	2	gexf
54	Complete.100.1.2.gexf	10	52.5259650767411	1	Complete	100	1	2	gexf
55	Complete.100.1.2.gexf	50	52.5259650767411	1	Complete	100	1	2	gexf
