path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4	small_1	constant1	rmat_2	constant2	best.constant	best.alg
1	R-MAT.50.5.1.gexf	2	14	1	R-MAT	50	5	1	gexf	10	1.4	10	1.4	1.4	NA
2	R-MAT.50.5.1.gexf	3	14	1	R-MAT	50	5	1	gexf	8	1.75	7	2	2	2
3	R-MAT.50.5.1.gexf	5	14	1	R-MAT	50	5	1	gexf	6	2.33333333333333	5	2.8	2.8	2
6	R-MAT.50.10.1.gexf	2	25	1	R-MAT	50	10	1	gexf	19	1.31578947368421	19	1.31578947368421	1.31578947368421	NA
7	R-MAT.50.10.1.gexf	3	25	1	R-MAT	50	10	1	gexf	16	1.5625	16	1.5625	1.5625	NA
8	R-MAT.50.10.1.gexf	5	25	1	R-MAT	50	10	1	gexf	12	2.08333333333333	12	2.08333333333333	2.08333333333333	NA
9	R-MAT.50.10.1.gexf	10	22	5	R-MAT	50	10	1	gexf	6	3.66666666666667	4	5.5	5.5	2
11	R-MAT.50.25.1.gexf	2	70	1	R-MAT	50	25	1	gexf	54	1.2962962962963	55	1.27272727272727	1.2962962962963	NA
12	R-MAT.50.25.1.gexf	3	70	1	R-MAT	50	25	1	gexf	47	1.48936170212766	53	1.32075471698113	1.48936170212766	NA
13	R-MAT.50.25.1.gexf	5	70	1	R-MAT	50	25	1	gexf	37	1.89189189189189	44	1.59090909090909	1.89189189189189	NA
14	R-MAT.50.25.1.gexf	10	64.4285714285714	6	R-MAT	50	25	1	gexf	25	2.57714285714286	24	2.68452380952381	2.68452380952381	2
16	R-MAT.100.5.1.gexf	2	21	1	R-MAT	100	5	1	gexf	16	1.3125	16	1.3125	1.3125	NA
17	R-MAT.100.5.1.gexf	3	21	1	R-MAT	100	5	1	gexf	14	1.5	14	1.5	1.5	NA
18	R-MAT.100.5.1.gexf	5	21	1	R-MAT	100	5	1	gexf	10	2.1	10	2.1	2.1	NA
19	R-MAT.100.5.1.gexf	10	18.3333333333333	6	R-MAT	100	5	1	gexf	7	2.61904761904762	5	3.66666666666667	3.66666666666667	2
21	R-MAT.100.10.1.gexf	2	54	1	R-MAT	100	10	1	gexf	45	1.2	46	1.17391304347826	1.2	NA
22	R-MAT.100.10.1.gexf	3	54	1	R-MAT	100	10	1	gexf	41	1.31707317073171	41	1.31707317073171	1.31707317073171	NA
23	R-MAT.100.10.1.gexf	5	54	1	R-MAT	100	10	1	gexf	33	1.63636363636364	35	1.54285714285714	1.63636363636364	NA
24	R-MAT.100.10.1.gexf	10	53.9	3	R-MAT	100	10	1	gexf	22	2.45	21	2.56666666666667	2.56666666666667	2
26	R-MAT.100.25.1.gexf	2	118	1	R-MAT	100	25	1	gexf	95	1.24210526315789	95	1.24210526315789	1.24210526315789	NA
