path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4
1	R-MAT.50.5.1.gexf	2	14	1	R-MAT	50	5	1	gexf
2	R-MAT.50.5.1.gexf	3	14	1	R-MAT	50	5	1	gexf
3	R-MAT.50.5.1.gexf	5	14	1	R-MAT	50	5	1	gexf
6	R-MAT.50.10.1.gexf	2	25	1	R-MAT	50	10	1	gexf
7	R-MAT.50.10.1.gexf	3	25	1	R-MAT	50	10	1	gexf
8	R-MAT.50.10.1.gexf	5	25	1	R-MAT	50	10	1	gexf
9	R-MAT.50.10.1.gexf	10	22	5	R-MAT	50	10	1	gexf
11	R-MAT.50.25.1.gexf	2	70	1	R-MAT	50	25	1	gexf
12	R-MAT.50.25.1.gexf	3	70	1	R-MAT	50	25	1	gexf
13	R-MAT.50.25.1.gexf	5	70	1	R-MAT	50	25	1	gexf
14	R-MAT.50.25.1.gexf	10	64.4285714285714	6	R-MAT	50	25	1	gexf
16	R-MAT.100.5.1.gexf	2	21	1	R-MAT	100	5	1	gexf
17	R-MAT.100.5.1.gexf	3	21	1	R-MAT	100	5	1	gexf
18	R-MAT.100.5.1.gexf	5	21	1	R-MAT	100	5	1	gexf
19	R-MAT.100.5.1.gexf	10	18.3333333333333	6	R-MAT	100	5	1	gexf
21	R-MAT.100.10.1.gexf	2	54	1	R-MAT	100	10	1	gexf
22	R-MAT.100.10.1.gexf	3	54	1	R-MAT	100	10	1	gexf
23	R-MAT.100.10.1.gexf	5	54	1	R-MAT	100	10	1	gexf
24	R-MAT.100.10.1.gexf	10	53.9	3	R-MAT	100	10	1	gexf
26	R-MAT.100.25.1.gexf	2	118	1	R-MAT	100	25	1	gexf
27	R-MAT.100.25.1.gexf	3	118	1	R-MAT	100	25	1	gexf
28	R-MAT.100.25.1.gexf	5	118	1	R-MAT	100	25	1	gexf
29	R-MAT.100.25.1.gexf	10	116.111111111111	3	R-MAT	100	25	1	gexf
31	R-MAT.500.5.1.gexf	2	45	1	R-MAT	500	5	1	gexf
32	R-MAT.500.5.1.gexf	3	45	1	R-MAT	500	5	1	gexf
33	R-MAT.500.5.1.gexf	5	45	1	R-MAT	500	5	1	gexf
34	R-MAT.500.5.1.gexf	10	44	2	R-MAT	500	5	1	gexf
36	R-MAT.500.10.1.gexf	2	103	1	R-MAT	500	10	1	gexf
37	R-MAT.500.10.1.gexf	3	103	1	R-MAT	500	10	1	gexf
38	R-MAT.500.10.1.gexf	5	103	1	R-MAT	500	10	1	gexf
39	R-MAT.500.10.1.gexf	10	103	1	R-MAT	500	10	1	gexf
40	R-MAT.500.10.1.gexf	50	82.875	20	R-MAT	500	10	1	gexf
41	R-MAT.500.25.1.gexf	2	250	1	R-MAT	500	25	1	gexf
42	R-MAT.500.25.1.gexf	3	250	1	R-MAT	500	25	1	gexf
43	R-MAT.500.25.1.gexf	5	250	1	R-MAT	500	25	1	gexf
44	R-MAT.500.25.1.gexf	10	250	1	R-MAT	500	25	1	gexf
45	R-MAT.500.25.1.gexf	50	206.318181818182	9	R-MAT	500	25	1	gexf
46	R-MAT.1000.5.1.gexf	2	87	1	R-MAT	1000	5	1	gexf
47	R-MAT.1000.5.1.gexf	3	87	1	R-MAT	1000	5	1	gexf
48	R-MAT.1000.5.1.gexf	5	87	1	R-MAT	1000	5	1	gexf
49	R-MAT.1000.5.1.gexf	10	87	1	R-MAT	1000	5	1	gexf
50	R-MAT.1000.5.1.gexf	50	75.225	12	R-MAT	1000	5	1	gexf
51	R-MAT.1000.10.1.gexf	2	151	1	R-MAT	1000	10	1	gexf
52	R-MAT.1000.10.1.gexf	3	151	1	R-MAT	1000	10	1	gexf
53	R-MAT.1000.10.1.gexf	5	151	1	R-MAT	1000	10	1	gexf
54	R-MAT.1000.10.1.gexf	10	151	1	R-MAT	1000	10	1	gexf
55	R-MAT.1000.10.1.gexf	50	128.714285714286	11	R-MAT	1000	10	1	gexf
56	R-MAT.1000.25.1.gexf	2	343	1	R-MAT	1000	25	1	gexf
57	R-MAT.1000.25.1.gexf	3	343	1	R-MAT	1000	25	1	gexf
58	R-MAT.1000.25.1.gexf	5	343	1	R-MAT	1000	25	1	gexf
59	R-MAT.1000.25.1.gexf	10	343	1	R-MAT	1000	25	1	gexf
60	R-MAT.1000.25.1.gexf	50	328.3125	4	R-MAT	1000	25	1	gexf
61	R-MAT.50.5.2.gexf	2	11	1	R-MAT	50	5	2	gexf
62	R-MAT.50.5.2.gexf	3	11	1	R-MAT	50	5	2	gexf
63	R-MAT.50.5.2.gexf	5	10.8	2	R-MAT	50	5	2	gexf
66	R-MAT.50.10.2.gexf	2	29	1	R-MAT	50	10	2	gexf
67	R-MAT.50.10.2.gexf	3	29	1	R-MAT	50	10	2	gexf
68	R-MAT.50.10.2.gexf	5	27.6	2	R-MAT	50	10	2	gexf
69	R-MAT.50.10.2.gexf	10	19.25	8	R-MAT	50	10	2	gexf
71	R-MAT.50.25.2.gexf	2	59	1	R-MAT	50	25	2	gexf
72	R-MAT.50.25.2.gexf	3	59	1	R-MAT	50	25	2	gexf
73	R-MAT.50.25.2.gexf	5	54	2	R-MAT	50	25	2	gexf
74	R-MAT.50.25.2.gexf	10	36.6666666666667	6	R-MAT	50	25	2	gexf
76	R-MAT.100.5.2.gexf	2	19	1	R-MAT	100	5	2	gexf
77	R-MAT.100.5.2.gexf	3	19	1	R-MAT	100	5	2	gexf
78	R-MAT.100.5.2.gexf	5	19	1	R-MAT	100	5	2	gexf
79	R-MAT.100.5.2.gexf	10	15.125	4	R-MAT	100	5	2	gexf
81	R-MAT.100.10.2.gexf	2	41	1	R-MAT	100	10	2	gexf
82	R-MAT.100.10.2.gexf	3	41	1	R-MAT	100	10	2	gexf
83	R-MAT.100.10.2.gexf	5	39.6	2	R-MAT	100	10	2	gexf
84	R-MAT.100.10.2.gexf	10	34.375	4	R-MAT	100	10	2	gexf
86	R-MAT.100.25.2.gexf	2	103	1	R-MAT	100	25	2	gexf
87	R-MAT.100.25.2.gexf	3	103	1	R-MAT	100	25	2	gexf
88	R-MAT.100.25.2.gexf	5	103	1	R-MAT	100	25	2	gexf
89	R-MAT.100.25.2.gexf	10	102.3	2	R-MAT	100	25	2	gexf
91	R-MAT.500.5.2.gexf	2	58	1	R-MAT	500	5	2	gexf
92	R-MAT.500.5.2.gexf	3	58	1	R-MAT	500	5	2	gexf
93	R-MAT.500.5.2.gexf	5	58	1	R-MAT	500	5	2	gexf
94	R-MAT.500.5.2.gexf	10	58	1	R-MAT	500	5	2	gexf
96	R-MAT.500.10.2.gexf	2	94	1	R-MAT	500	10	2	gexf
97	R-MAT.500.10.2.gexf	3	94	1	R-MAT	500	10	2	gexf
98	R-MAT.500.10.2.gexf	5	94	1	R-MAT	500	10	2	gexf
99	R-MAT.500.10.2.gexf	10	94	1	R-MAT	500	10	2	gexf
100	R-MAT.500.10.2.gexf	50	64.5	18	R-MAT	500	10	2	gexf
101	R-MAT.500.25.2.gexf	2	273	1	R-MAT	500	25	2	gexf
102	R-MAT.500.25.2.gexf	3	273	1	R-MAT	500	25	2	gexf
103	R-MAT.500.25.2.gexf	5	273	1	R-MAT	500	25	2	gexf
104	R-MAT.500.25.2.gexf	10	273	1	R-MAT	500	25	2	gexf
105	R-MAT.500.25.2.gexf	50	219.3	12	R-MAT	500	25	2	gexf
106	R-MAT.1000.5.2.gexf	2	69	1	R-MAT	1000	5	2	gexf
107	R-MAT.1000.5.2.gexf	3	69	1	R-MAT	1000	5	2	gexf
108	R-MAT.1000.5.2.gexf	5	69	1	R-MAT	1000	5	2	gexf
109	R-MAT.1000.5.2.gexf	10	69	1	R-MAT	1000	5	2	gexf
111	R-MAT.1000.10.2.gexf	2	147	1	R-MAT	1000	10	2	gexf
112	R-MAT.1000.10.2.gexf	3	147	1	R-MAT	1000	10	2	gexf
113	R-MAT.1000.10.2.gexf	5	147	1	R-MAT	1000	10	2	gexf
114	R-MAT.1000.10.2.gexf	10	147	1	R-MAT	1000	10	2	gexf
115	R-MAT.1000.10.2.gexf	50	123.857142857143	10	R-MAT	1000	10	2	gexf
116	R-MAT.1000.25.2.gexf	2	372	1	R-MAT	1000	25	2	gexf
117	R-MAT.1000.25.2.gexf	3	372	1	R-MAT	1000	25	2	gexf
118	R-MAT.1000.25.2.gexf	5	372	1	R-MAT	1000	25	2	gexf
119	R-MAT.1000.25.2.gexf	10	372	1	R-MAT	1000	25	2	gexf
120	R-MAT.1000.25.2.gexf	50	329.071428571429	10	R-MAT	1000	25	2	gexf
121	R-MAT.50.5.3.gexf	2	13	1	R-MAT	50	5	3	gexf
122	R-MAT.50.5.3.gexf	3	13	1	R-MAT	50	5	3	gexf
123	R-MAT.50.5.3.gexf	5	12	2	R-MAT	50	5	3	gexf
126	R-MAT.50.10.3.gexf	2	20	1	R-MAT	50	10	3	gexf
127	R-MAT.50.10.3.gexf	3	20	1	R-MAT	50	10	3	gexf
128	R-MAT.50.10.3.gexf	5	18	3	R-MAT	50	10	3	gexf
129	R-MAT.50.10.3.gexf	10	12.8333333333333	6	R-MAT	50	10	3	gexf
131	R-MAT.50.25.3.gexf	2	68	1	R-MAT	50	25	3	gexf
132	R-MAT.50.25.3.gexf	3	68	1	R-MAT	50	25	3	gexf
133	R-MAT.50.25.3.gexf	5	68	1	R-MAT	50	25	3	gexf
134	R-MAT.50.25.3.gexf	10	53.1666666666667	6	R-MAT	50	25	3	gexf
136	R-MAT.100.5.3.gexf	2	15	1	R-MAT	100	5	3	gexf
137	R-MAT.100.5.3.gexf	3	15	1	R-MAT	100	5	3	gexf
138	R-MAT.100.5.3.gexf	5	15	1	R-MAT	100	5	3	gexf
139	R-MAT.100.5.3.gexf	10	13.4444444444444	3	R-MAT	100	5	3	gexf
141	R-MAT.100.10.3.gexf	2	40	1	R-MAT	100	10	3	gexf
142	R-MAT.100.10.3.gexf	3	40	1	R-MAT	100	10	3	gexf
143	R-MAT.100.10.3.gexf	5	39.6	3	R-MAT	100	10	3	gexf
144	R-MAT.100.10.3.gexf	10	34.375	4	R-MAT	100	10	3	gexf
146	R-MAT.100.25.3.gexf	2	106	1	R-MAT	100	25	3	gexf
147	R-MAT.100.25.3.gexf	3	106	1	R-MAT	100	25	3	gexf
148	R-MAT.100.25.3.gexf	5	106	1	R-MAT	100	25	3	gexf
149	R-MAT.100.25.3.gexf	10	102.3	3	R-MAT	100	25	3	gexf
