path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5	small_1	constant1	small_2	constant2	best.constant	best.alg
1	Small.50.6.2.1.gexf	2	6	1	Small	50	6	2	1	gexf	4	1.5	4	1.5	1.5	NA
2	Small.50.6.2.1.gexf	3	6	1	Small	50	6	2	1	gexf	3	2	3	2	2	NA
3	Small.50.6.2.1.gexf	5	6	1	Small	50	6	2	1	gexf	1	6	1	6	6	NA
6	Small.50.6.5.1.gexf	2	5	1	Small	50	6	5	1	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
7	Small.50.6.5.1.gexf	3	5	1	Small	50	6	5	1	gexf	2	2.5	2	2.5	2.5	NA
11	Small.50.10.2.1.gexf	2	9	1	Small	50	10	2	1	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
12	Small.50.10.2.1.gexf	3	9	1	Small	50	10	2	1	gexf	6	1.5	6	1.5	1.5	NA
13	Small.50.10.2.1.gexf	5	9	1	Small	50	10	2	1	gexf	4	2.25	4	2.25	2.25	NA
16	Small.50.10.5.1.gexf	2	9	1	Small	50	10	5	1	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
17	Small.50.10.5.1.gexf	3	9	1	Small	50	10	5	1	gexf	6	1.5	6	1.5	1.5	NA
18	Small.50.10.5.1.gexf	5	9	1	Small	50	10	5	1	gexf	4	2.25	4	2.25	2.25	NA
21	Small.50.24.2.1.gexf	2	21	1	Small	50	24	2	1	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
22	Small.50.24.2.1.gexf	3	21	1	Small	50	24	2	1	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
23	Small.50.24.2.1.gexf	5	21	1	Small	50	24	2	1	gexf	16	1.3125	16	1.3125	1.3125	NA
24	Small.50.24.2.1.gexf	10	21	1	Small	50	24	2	1	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
26	Small.50.24.5.1.gexf	2	24	1	Small	50	24	5	1	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
27	Small.50.24.5.1.gexf	3	24	1	Small	50	24	5	1	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
28	Small.50.24.5.1.gexf	5	24	1	Small	50	24	5	1	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
29	Small.50.24.5.1.gexf	10	24	1	Small	50	24	5	1	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
31	Small.100.6.2.1.gexf	2	5	1	Small	100	6	2	1	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
32	Small.100.6.2.1.gexf	3	5	1	Small	100	6	2	1	gexf	2	2.5	2	2.5	2.5	NA
36	Small.100.6.5.1.gexf	2	6	1	Small	100	6	5	1	gexf	4	1.5	4	1.5	1.5	NA
37	Small.100.6.5.1.gexf	3	6	1	Small	100	6	5	1	gexf	3	2	3	2	2	NA
38	Small.100.6.5.1.gexf	5	6	1	Small	100	6	5	1	gexf	1	6	1	6	6	NA
41	Small.100.10.2.1.gexf	2	9	1	Small	100	10	2	1	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
42	Small.100.10.2.1.gexf	3	9	1	Small	100	10	2	1	gexf	6	1.5	6	1.5	1.5	NA
43	Small.100.10.2.1.gexf	5	9	1	Small	100	10	2	1	gexf	4	2.25	4	2.25	2.25	NA
46	Small.100.10.5.1.gexf	2	9	1	Small	100	10	5	1	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
47	Small.100.10.5.1.gexf	3	9	1	Small	100	10	5	1	gexf	6	1.5	6	1.5	1.5	NA
48	Small.100.10.5.1.gexf	5	9	1	Small	100	10	5	1	gexf	4	2.25	4	2.25	2.25	NA
51	Small.100.24.2.1.gexf	2	23	1	Small	100	24	2	1	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
52	Small.100.24.2.1.gexf	3	23	1	Small	100	24	2	1	gexf	20	1.15	20	1.15	1.15	NA
53	Small.100.24.2.1.gexf	5	23	1	Small	100	24	2	1	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
54	Small.100.24.2.1.gexf	10	23	1	Small	100	24	2	1	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
56	Small.100.24.5.1.gexf	2	23	1	Small	100	24	5	1	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
57	Small.100.24.5.1.gexf	3	23	1	Small	100	24	5	1	gexf	20	1.15	20	1.15	1.15	NA
58	Small.100.24.5.1.gexf	5	23	1	Small	100	24	5	1	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
59	Small.100.24.5.1.gexf	10	23	1	Small	100	24	5	1	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
61	Small.500.6.2.1.gexf	2	6	1	Small	500	6	2	1	gexf	4	1.5	4	1.5	1.5	NA
62	Small.500.6.2.1.gexf	3	6	1	Small	500	6	2	1	gexf	3	2	3	2	2	NA
63	Small.500.6.2.1.gexf	5	6	1	Small	500	6	2	1	gexf	1	6	1	6	6	NA
66	Small.500.6.5.1.gexf	2	5	1	Small	500	6	5	1	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
67	Small.500.6.5.1.gexf	3	5	1	Small	500	6	5	1	gexf	2	2.5	2	2.5	2.5	NA
71	Small.500.10.2.1.gexf	2	10	1	Small	500	10	2	1	gexf	8	1.25	8	1.25	1.25	NA
72	Small.500.10.2.1.gexf	3	10	1	Small	500	10	2	1	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
73	Small.500.10.2.1.gexf	5	10	1	Small	500	10	2	1	gexf	5	2	5	2	2	NA
76	Small.500.10.5.1.gexf	2	8	1	Small	500	10	5	1	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
77	Small.500.10.5.1.gexf	3	8	1	Small	500	10	5	1	gexf	5	1.6	5	1.6	1.6	NA
78	Small.500.10.5.1.gexf	5	8	1	Small	500	10	5	1	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
81	Small.500.24.2.1.gexf	2	22	1	Small	500	24	2	1	gexf	20	1.1	20	1.1	1.1	NA
82	Small.500.24.2.1.gexf	3	22	1	Small	500	24	2	1	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
83	Small.500.24.2.1.gexf	5	22	1	Small	500	24	2	1	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
84	Small.500.24.2.1.gexf	10	22	1	Small	500	24	2	1	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
