path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
1	Small.50.6.2.1.gexf	2	6	1	Small	50	6	2	1	gexf
2	Small.50.6.2.1.gexf	3	6	1	Small	50	6	2	1	gexf
3	Small.50.6.2.1.gexf	5	6	1	Small	50	6	2	1	gexf
6	Small.50.6.5.1.gexf	2	5	1	Small	50	6	5	1	gexf
7	Small.50.6.5.1.gexf	3	5	1	Small	50	6	5	1	gexf
11	Small.50.10.2.1.gexf	2	9	1	Small	50	10	2	1	gexf
12	Small.50.10.2.1.gexf	3	9	1	Small	50	10	2	1	gexf
13	Small.50.10.2.1.gexf	5	9	1	Small	50	10	2	1	gexf
16	Small.50.10.5.1.gexf	2	9	1	Small	50	10	5	1	gexf
17	Small.50.10.5.1.gexf	3	9	1	Small	50	10	5	1	gexf
18	Small.50.10.5.1.gexf	5	9	1	Small	50	10	5	1	gexf
21	Small.50.24.2.1.gexf	2	21	1	Small	50	24	2	1	gexf
22	Small.50.24.2.1.gexf	3	21	1	Small	50	24	2	1	gexf
23	Small.50.24.2.1.gexf	5	21	1	Small	50	24	2	1	gexf
24	Small.50.24.2.1.gexf	10	21	1	Small	50	24	2	1	gexf
26	Small.50.24.5.1.gexf	2	24	1	Small	50	24	5	1	gexf
27	Small.50.24.5.1.gexf	3	24	1	Small	50	24	5	1	gexf
28	Small.50.24.5.1.gexf	5	24	1	Small	50	24	5	1	gexf
29	Small.50.24.5.1.gexf	10	24	1	Small	50	24	5	1	gexf
31	Small.100.6.2.1.gexf	2	5	1	Small	100	6	2	1	gexf
32	Small.100.6.2.1.gexf	3	5	1	Small	100	6	2	1	gexf
36	Small.100.6.5.1.gexf	2	6	1	Small	100	6	5	1	gexf
37	Small.100.6.5.1.gexf	3	6	1	Small	100	6	5	1	gexf
38	Small.100.6.5.1.gexf	5	6	1	Small	100	6	5	1	gexf
41	Small.100.10.2.1.gexf	2	9	1	Small	100	10	2	1	gexf
42	Small.100.10.2.1.gexf	3	9	1	Small	100	10	2	1	gexf
43	Small.100.10.2.1.gexf	5	9	1	Small	100	10	2	1	gexf
46	Small.100.10.5.1.gexf	2	9	1	Small	100	10	5	1	gexf
47	Small.100.10.5.1.gexf	3	9	1	Small	100	10	5	1	gexf
48	Small.100.10.5.1.gexf	5	9	1	Small	100	10	5	1	gexf
51	Small.100.24.2.1.gexf	2	23	1	Small	100	24	2	1	gexf
52	Small.100.24.2.1.gexf	3	23	1	Small	100	24	2	1	gexf
53	Small.100.24.2.1.gexf	5	23	1	Small	100	24	2	1	gexf
54	Small.100.24.2.1.gexf	10	23	1	Small	100	24	2	1	gexf
56	Small.100.24.5.1.gexf	2	23	1	Small	100	24	5	1	gexf
57	Small.100.24.5.1.gexf	3	23	1	Small	100	24	5	1	gexf
58	Small.100.24.5.1.gexf	5	23	1	Small	100	24	5	1	gexf
59	Small.100.24.5.1.gexf	10	23	1	Small	100	24	5	1	gexf
61	Small.500.6.2.1.gexf	2	6	1	Small	500	6	2	1	gexf
62	Small.500.6.2.1.gexf	3	6	1	Small	500	6	2	1	gexf
63	Small.500.6.2.1.gexf	5	6	1	Small	500	6	2	1	gexf
66	Small.500.6.5.1.gexf	2	5	1	Small	500	6	5	1	gexf
67	Small.500.6.5.1.gexf	3	5	1	Small	500	6	5	1	gexf
71	Small.500.10.2.1.gexf	2	10	1	Small	500	10	2	1	gexf
72	Small.500.10.2.1.gexf	3	10	1	Small	500	10	2	1	gexf
73	Small.500.10.2.1.gexf	5	10	1	Small	500	10	2	1	gexf
76	Small.500.10.5.1.gexf	2	8	1	Small	500	10	5	1	gexf
77	Small.500.10.5.1.gexf	3	8	1	Small	500	10	5	1	gexf
78	Small.500.10.5.1.gexf	5	8	1	Small	500	10	5	1	gexf
81	Small.500.24.2.1.gexf	2	22	1	Small	500	24	2	1	gexf
82	Small.500.24.2.1.gexf	3	22	1	Small	500	24	2	1	gexf
83	Small.500.24.2.1.gexf	5	22	1	Small	500	24	2	1	gexf
84	Small.500.24.2.1.gexf	10	22	1	Small	500	24	2	1	gexf
86	Small.500.24.5.1.gexf	2	20	1	Small	500	24	5	1	gexf
87	Small.500.24.5.1.gexf	3	20	1	Small	500	24	5	1	gexf
88	Small.500.24.5.1.gexf	5	20	1	Small	500	24	5	1	gexf
89	Small.500.24.5.1.gexf	10	20	1	Small	500	24	5	1	gexf
91	Small.1000.6.2.1.gexf	2	6	1	Small	1000	6	2	1	gexf
92	Small.1000.6.2.1.gexf	3	6	1	Small	1000	6	2	1	gexf
93	Small.1000.6.2.1.gexf	5	6	1	Small	1000	6	2	1	gexf
96	Small.1000.6.5.1.gexf	2	8	1	Small	1000	6	5	1	gexf
97	Small.1000.6.5.1.gexf	3	8	1	Small	1000	6	5	1	gexf
98	Small.1000.6.5.1.gexf	5	8	1	Small	1000	6	5	1	gexf
101	Small.1000.10.2.1.gexf	2	9	1	Small	1000	10	2	1	gexf
102	Small.1000.10.2.1.gexf	3	9	1	Small	1000	10	2	1	gexf
103	Small.1000.10.2.1.gexf	5	9	1	Small	1000	10	2	1	gexf
106	Small.1000.10.5.1.gexf	2	11	1	Small	1000	10	5	1	gexf
107	Small.1000.10.5.1.gexf	3	11	1	Small	1000	10	5	1	gexf
108	Small.1000.10.5.1.gexf	5	11	1	Small	1000	10	5	1	gexf
109	Small.1000.10.5.1.gexf	10	11	1	Small	1000	10	5	1	gexf
111	Small.1000.24.2.1.gexf	2	23	1	Small	1000	24	2	1	gexf
112	Small.1000.24.2.1.gexf	3	23	1	Small	1000	24	2	1	gexf
113	Small.1000.24.2.1.gexf	5	23	1	Small	1000	24	2	1	gexf
114	Small.1000.24.2.1.gexf	10	23	1	Small	1000	24	2	1	gexf
116	Small.1000.24.5.1.gexf	2	22	1	Small	1000	24	5	1	gexf
117	Small.1000.24.5.1.gexf	3	22	1	Small	1000	24	5	1	gexf
118	Small.1000.24.5.1.gexf	5	22	1	Small	1000	24	5	1	gexf
119	Small.1000.24.5.1.gexf	10	22	1	Small	1000	24	5	1	gexf
121	Small.50.6.2.2.gexf	2	5	1	Small	50	6	2	2	gexf
122	Small.50.6.2.2.gexf	3	5	1	Small	50	6	2	2	gexf
126	Small.50.6.5.2.gexf	2	4	1	Small	50	6	5	2	gexf
127	Small.50.6.5.2.gexf	3	4	1	Small	50	6	5	2	gexf
131	Small.50.10.2.2.gexf	2	8	1	Small	50	10	2	2	gexf
132	Small.50.10.2.2.gexf	3	8	1	Small	50	10	2	2	gexf
133	Small.50.10.2.2.gexf	5	8	1	Small	50	10	2	2	gexf
136	Small.50.10.5.2.gexf	2	9	1	Small	50	10	5	2	gexf
137	Small.50.10.5.2.gexf	3	9	1	Small	50	10	5	2	gexf
138	Small.50.10.5.2.gexf	5	9	1	Small	50	10	5	2	gexf
141	Small.50.24.2.2.gexf	2	23	1	Small	50	24	2	2	gexf
142	Small.50.24.2.2.gexf	3	23	1	Small	50	24	2	2	gexf
143	Small.50.24.2.2.gexf	5	23	1	Small	50	24	2	2	gexf
144	Small.50.24.2.2.gexf	10	23	1	Small	50	24	2	2	gexf
146	Small.50.24.5.2.gexf	2	24	1	Small	50	24	5	2	gexf
147	Small.50.24.5.2.gexf	3	24	1	Small	50	24	5	2	gexf
148	Small.50.24.5.2.gexf	5	24	1	Small	50	24	5	2	gexf
149	Small.50.24.5.2.gexf	10	24	1	Small	50	24	5	2	gexf
151	Small.100.6.2.2.gexf	2	5	1	Small	100	6	2	2	gexf
152	Small.100.6.2.2.gexf	3	5	1	Small	100	6	2	2	gexf
156	Small.100.6.5.2.gexf	2	5	1	Small	100	6	5	2	gexf
157	Small.100.6.5.2.gexf	3	5	1	Small	100	6	5	2	gexf
161	Small.100.10.2.2.gexf	2	10	1	Small	100	10	2	2	gexf
162	Small.100.10.2.2.gexf	3	10	1	Small	100	10	2	2	gexf
163	Small.100.10.2.2.gexf	5	10	1	Small	100	10	2	2	gexf
166	Small.100.10.5.2.gexf	2	6	1	Small	100	10	5	2	gexf
167	Small.100.10.5.2.gexf	3	6	1	Small	100	10	5	2	gexf
