path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5	small_1	constant1	uni_2	constant2	best.constant	best.alg
1	Rand.Uni.50.5.1.gexf	2	1.61689139970921	3	Rand	Uni	50	5	1	gexf	0.538963799903071	3	0.538963799903071	3	3	2
2	Rand.Uni.50.5.1.gexf	3	1.07792759980614	4	Rand	Uni	50	5	1	gexf	0.352118082733799	3.06126737779909	0.352118082733799	3.06126737779909	3.06126737779909	NA
3	Rand.Uni.50.5.1.gexf	5	0.661508013558391	6	Rand	Uni	50	5	1	gexf	0.119499208758679	5.53566856575814	0.110251335593065	6	6	2
6	Rand.Uni.50.10.1.gexf	2	9.83071312570605	1	Rand	Uni	50	10	1	gexf	7.94147988509273	1.23789435570562	7.94147988509273	1.23789435570562	1.23789435570562	NA
7	Rand.Uni.50.10.1.gexf	3	9.83071312570605	1	Rand	Uni	50	10	1	gexf	7.07541506416245	1.38941857637433	7.07541506416245	1.38941857637433	1.38941857637433	2
8	Rand.Uni.50.10.1.gexf	5	9.83071312570605	1	Rand	Uni	50	10	1	gexf	5.53589082579548	1.77581412550588	5.53589082579548	1.77581412550588	1.77581412550588	NA
9	Rand.Uni.50.10.1.gexf	10	9.70625319289112	3	Rand	Uni	50	10	1	gexf	2.47548937467465	3.92094318488715	2.47548937467465	3.92094318488715	3.92094318488715	NA
11	Rand.Uni.50.25.1.gexf	2	18.9397851432323	1	Rand	Uni	50	25	1	gexf	17.0294172604192	1.11218046123359	17.5286947703493	1.08050173680188	1.11218046123359	NA
12	Rand.Uni.50.25.1.gexf	3	18.9397851432323	1	Rand	Uni	50	25	1	gexf	16.1138556885347	1.17537264260771	16.8124843689485	1.12653101871207	1.17537264260771	NA
13	Rand.Uni.50.25.1.gexf	5	18.9397851432323	1	Rand	Uni	50	25	1	gexf	14.4115148531296	1.31421195733073	15.7765798185133	1.20050006789222	1.31421195733073	NA
14	Rand.Uni.50.25.1.gexf	10	18.9397851432323	1	Rand	Uni	50	25	1	gexf	10.6112031499994	1.78488573590577	11.7729636397349	1.60875253868182	1.78488573590577	NA
16	Rand.Uni.100.5.1.gexf	2	1.12315687792456	3	Rand	Uni	100	5	1	gexf	0.514832686198247	2.18159590102649	0.514832686198247	2.18159590102649	2.18159590102649	2
17	Rand.Uni.100.5.1.gexf	3	0.998361669266271	2	Rand	Uni	100	5	1	gexf	0.313603397136677	3.18351675518094	0.313603397136677	3.18351675518094	3.18351675518094	NA
18	Rand.Uni.100.5.1.gexf	5	0.379778859336005	6	Rand	Uni	100	5	1	gexf	0.0632964765560008	6	0.0632964765560008	6	6	NA
21	Rand.Uni.100.10.1.gexf	2	7.46574092548016	1	Rand	Uni	100	10	1	gexf	5.56473907922493	1.34161562998566	5.56473907922493	1.34161562998566	1.34161562998566	2
22	Rand.Uni.100.10.1.gexf	3	7.46574092548016	1	Rand	Uni	100	10	1	gexf	4.67803740844202	1.59591304507472	4.67803740844202	1.59591304507472	1.59591304507472	NA
23	Rand.Uni.100.10.1.gexf	5	7.46574092548016	1	Rand	Uni	100	10	1	gexf	3.49531249609972	2.13592945804156	3.49531249609972	2.13592945804156	2.13592945804156	2
24	Rand.Uni.100.10.1.gexf	10	6.39215736249079	5	Rand	Uni	100	10	1	gexf	1.49864865362174	4.26528082285536	1.49864865362174	4.26528082285536	4.26528082285536	NA
26	Rand.Uni.100.25.1.gexf	2	23.50385236609	1	Rand	Uni	100	25	1	gexf	21.5811184029005	1.08909334202675	21.5811184029005	1.08909334202676	1.08909334202676	2
27	Rand.Uni.100.25.1.gexf	3	23.50385236609	1	Rand	Uni	100	25	1	gexf	20.6262174812479	1.13951345599154	20.6262174812479	1.13951345599154	1.13951345599154	2
28	Rand.Uni.100.25.1.gexf	5	23.50385236609	1	Rand	Uni	100	25	1	gexf	18.7483300581044	1.25365044743971	18.7483300581044	1.25365044743971	1.25365044743971	NA
29	Rand.Uni.100.25.1.gexf	10	23.50385236609	1	Rand	Uni	100	25	1	gexf	14.3704414546018	1.63556926489293	14.3704414546018	1.63556926489293	1.63556926489293	2
31	Rand.Uni.500.5.1.gexf	2	5.47220353575208	1	Rand	Uni	500	5	1	gexf	3.89306541256041	1.40562845877103	4.48196716147464	1.22093789146631	1.40562845877103	NA
32	Rand.Uni.500.5.1.gexf	3	5.47220353575208	1	Rand	Uni	500	5	1	gexf	3.15869168595465	1.73242724514223	3.6970539809299	1.48015245759968	1.73242724514223	NA
33	Rand.Uni.500.5.1.gexf	5	5.47220353575208	1	Rand	Uni	500	5	1	gexf	1.91760113316196	2.85367141326669	2.34075026385964	2.33779896140181	2.85367141326669	NA
36	Rand.Uni.500.10.1.gexf	2	4.63421345531744	1	Rand	Uni	500	10	1	gexf	2.95422935220557	1.56867084536197	2.95422935220557	1.56867084536197	1.56867084536197	2
37	Rand.Uni.500.10.1.gexf	3	4.63421345531744	1	Rand	Uni	500	10	1	gexf	2.42503681193324	1.91098684874109	2.42503681193324	1.91098684874109	1.91098684874109	NA
38	Rand.Uni.500.10.1.gexf	5	4.4262200539433	2	Rand	Uni	500	10	1	gexf	1.54702108156971	2.86112458755388	1.54702108156971	2.86112458755388	2.86112458755388	NA
39	Rand.Uni.500.10.1.gexf	10	1.84817002477032	10	Rand	Uni	500	10	1	gexf	0.170936865739657	10.8120036995715	0.170936865739657	10.8120036995715	10.8120036995715	NA
41	Rand.Uni.500.25.1.gexf	2	14.8605615310174	1	Rand	Uni	500	25	1	gexf	13.0028691782323	1.14286787995183	13.0028691782323	1.14286787995183	1.14286787995183	NA
42	Rand.Uni.500.25.1.gexf	3	14.8605615310174	1	Rand	Uni	500	25	1	gexf	12.1125435347546	1.22687373534534	12.1125435347546	1.22687373534534	1.22687373534534	NA
43	Rand.Uni.500.25.1.gexf	5	14.8605615310174	1	Rand	Uni	500	25	1	gexf	10.4161388272207	1.42668620085804	10.4161388272207	1.42668620085804	1.42668620085804	NA
44	Rand.Uni.500.25.1.gexf	10	14.8605615310174	1	Rand	Uni	500	25	1	gexf	7.31229866770504	2.03226949641013	7.31229866770504	2.03226949641013	2.03226949641013	NA
46	Rand.Uni.1000.5.1.gexf	2	4.82118594115714	1	Rand	Uni	1000	5	1	gexf	3.08384836240788	1.56336673356816	3.08384836240788	1.56336673356816	1.56336673356816	NA
47	Rand.Uni.1000.5.1.gexf	3	4.82118594115714	1	Rand	Uni	1000	5	1	gexf	2.33935573124932	2.06090329775643	2.33935573124932	2.06090329775643	2.06090329775643	NA
48	Rand.Uni.1000.5.1.gexf	5	4.59878773950506	2	Rand	Uni	1000	5	1	gexf	1.0863538199346	4.23323198677748	1.0863538199346	4.23323198677748	4.23323198677748	NA
51	Rand.Uni.1000.10.1.gexf	2	8.62746284830862	1	Rand	Uni	1000	10	1	gexf	6.84947001256367	1.25958108181854	7.12229194538966	1.21133237930429	1.25958108181854	NA
52	Rand.Uni.1000.10.1.gexf	3	8.62746284830862	1	Rand	Uni	1000	10	1	gexf	6.02036403939669	1.43304670479249	6.24947778150273	1.38050940413682	1.43304670479249	NA
53	Rand.Uni.1000.10.1.gexf	5	8.62746284830862	1	Rand	Uni	1000	10	1	gexf	4.39257763354776	1.96410025457887	4.6728628655311	1.84629061382225	1.96410025457887	NA
54	Rand.Uni.1000.10.1.gexf	10	7.97017903104017	8	Rand	Uni	1000	10	1	gexf	1.52995412508228	5.20942353785383	1.66998535135308	4.77260415762476	5.20942353785383	NA
56	Rand.Uni.1000.25.1.gexf	2	19.7095277805389	1	Rand	Uni	1000	25	1	gexf	17.7563048707914	1.1100016542834	17.7563048707914	1.1100016542834	1.1100016542834	NA
57	Rand.Uni.1000.25.1.gexf	3	19.7095277805389	1	Rand	Uni	1000	25	1	gexf	16.8083933416786	1.17260034197716	16.8083933416786	1.17260034197716	1.17260034197716	NA
58	Rand.Uni.1000.25.1.gexf	5	19.7095277805389	1	Rand	Uni	1000	25	1	gexf	15.0594278201683	1.30878330942581	15.0594278201683	1.30878330942581	1.30878330942581	NA
59	Rand.Uni.1000.25.1.gexf	10	19.7095277805389	1	Rand	Uni	1000	25	1	gexf	11.1470626126855	1.76813645579681	11.1470626126855	1.76813645579682	1.76813645579682	2
66	Rand.Uni.50.10.2.gexf	2	10.0650495413847	1	Rand	Uni	50	10	2	gexf	8.159420663198	1.233549532111	8.159420663198	1.233549532111	1.233549532111	NA
67	Rand.Uni.50.10.2.gexf	3	10.0650495413847	1	Rand	Uni	50	10	2	gexf	7.25078563256451	1.38813227302996	7.25078563256451	1.38813227302996	1.38813227302996	2
68	Rand.Uni.50.10.2.gexf	5	10.0650495413847	1	Rand	Uni	50	10	2	gexf	5.7297527450664	1.75662894878862	5.7297527450664	1.75662894878862	1.75662894878862	2
