path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5
1	Rand.Uni.50.5.1.gexf	2	1.61689139970921	3	Rand	Uni	50	5	1	gexf
2	Rand.Uni.50.5.1.gexf	3	1.07792759980614	4	Rand	Uni	50	5	1	gexf
3	Rand.Uni.50.5.1.gexf	5	0.661508013558391	6	Rand	Uni	50	5	1	gexf
6	Rand.Uni.50.10.1.gexf	2	9.83071312570605	1	Rand	Uni	50	10	1	gexf
7	Rand.Uni.50.10.1.gexf	3	9.83071312570605	1	Rand	Uni	50	10	1	gexf
8	Rand.Uni.50.10.1.gexf	5	9.83071312570605	1	Rand	Uni	50	10	1	gexf
9	Rand.Uni.50.10.1.gexf	10	9.70625319289112	3	Rand	Uni	50	10	1	gexf
11	Rand.Uni.50.25.1.gexf	2	18.9397851432323	1	Rand	Uni	50	25	1	gexf
12	Rand.Uni.50.25.1.gexf	3	18.9397851432323	1	Rand	Uni	50	25	1	gexf
13	Rand.Uni.50.25.1.gexf	5	18.9397851432323	1	Rand	Uni	50	25	1	gexf
14	Rand.Uni.50.25.1.gexf	10	18.9397851432323	1	Rand	Uni	50	25	1	gexf
16	Rand.Uni.100.5.1.gexf	2	1.12315687792456	3	Rand	Uni	100	5	1	gexf
17	Rand.Uni.100.5.1.gexf	3	0.998361669266271	2	Rand	Uni	100	5	1	gexf
18	Rand.Uni.100.5.1.gexf	5	0.379778859336005	6	Rand	Uni	100	5	1	gexf
21	Rand.Uni.100.10.1.gexf	2	7.46574092548016	1	Rand	Uni	100	10	1	gexf
22	Rand.Uni.100.10.1.gexf	3	7.46574092548016	1	Rand	Uni	100	10	1	gexf
23	Rand.Uni.100.10.1.gexf	5	7.46574092548016	1	Rand	Uni	100	10	1	gexf
24	Rand.Uni.100.10.1.gexf	10	6.39215736249079	5	Rand	Uni	100	10	1	gexf
26	Rand.Uni.100.25.1.gexf	2	23.50385236609	1	Rand	Uni	100	25	1	gexf
27	Rand.Uni.100.25.1.gexf	3	23.50385236609	1	Rand	Uni	100	25	1	gexf
28	Rand.Uni.100.25.1.gexf	5	23.50385236609	1	Rand	Uni	100	25	1	gexf
29	Rand.Uni.100.25.1.gexf	10	23.50385236609	1	Rand	Uni	100	25	1	gexf
31	Rand.Uni.500.5.1.gexf	2	5.47220353575208	1	Rand	Uni	500	5	1	gexf
32	Rand.Uni.500.5.1.gexf	3	5.47220353575208	1	Rand	Uni	500	5	1	gexf
33	Rand.Uni.500.5.1.gexf	5	5.47220353575208	1	Rand	Uni	500	5	1	gexf
36	Rand.Uni.500.10.1.gexf	2	4.63421345531744	1	Rand	Uni	500	10	1	gexf
37	Rand.Uni.500.10.1.gexf	3	4.63421345531744	1	Rand	Uni	500	10	1	gexf
38	Rand.Uni.500.10.1.gexf	5	4.4262200539433	2	Rand	Uni	500	10	1	gexf
39	Rand.Uni.500.10.1.gexf	10	1.84817002477032	10	Rand	Uni	500	10	1	gexf
41	Rand.Uni.500.25.1.gexf	2	14.8605615310174	1	Rand	Uni	500	25	1	gexf
42	Rand.Uni.500.25.1.gexf	3	14.8605615310174	1	Rand	Uni	500	25	1	gexf
43	Rand.Uni.500.25.1.gexf	5	14.8605615310174	1	Rand	Uni	500	25	1	gexf
44	Rand.Uni.500.25.1.gexf	10	14.8605615310174	1	Rand	Uni	500	25	1	gexf
46	Rand.Uni.1000.5.1.gexf	2	4.82118594115714	1	Rand	Uni	1000	5	1	gexf
47	Rand.Uni.1000.5.1.gexf	3	4.82118594115714	1	Rand	Uni	1000	5	1	gexf
48	Rand.Uni.1000.5.1.gexf	5	4.59878773950506	2	Rand	Uni	1000	5	1	gexf
51	Rand.Uni.1000.10.1.gexf	2	8.62746284830862	1	Rand	Uni	1000	10	1	gexf
52	Rand.Uni.1000.10.1.gexf	3	8.62746284830862	1	Rand	Uni	1000	10	1	gexf
53	Rand.Uni.1000.10.1.gexf	5	8.62746284830862	1	Rand	Uni	1000	10	1	gexf
54	Rand.Uni.1000.10.1.gexf	10	7.97017903104017	8	Rand	Uni	1000	10	1	gexf
56	Rand.Uni.1000.25.1.gexf	2	19.7095277805389	1	Rand	Uni	1000	25	1	gexf
57	Rand.Uni.1000.25.1.gexf	3	19.7095277805389	1	Rand	Uni	1000	25	1	gexf
58	Rand.Uni.1000.25.1.gexf	5	19.7095277805389	1	Rand	Uni	1000	25	1	gexf
59	Rand.Uni.1000.25.1.gexf	10	19.7095277805389	1	Rand	Uni	1000	25	1	gexf
66	Rand.Uni.50.10.2.gexf	2	10.0650495413847	1	Rand	Uni	50	10	2	gexf
67	Rand.Uni.50.10.2.gexf	3	10.0650495413847	1	Rand	Uni	50	10	2	gexf
68	Rand.Uni.50.10.2.gexf	5	10.0650495413847	1	Rand	Uni	50	10	2	gexf
69	Rand.Uni.50.10.2.gexf	10	9.9698302447762	4	Rand	Uni	50	10	2	gexf
71	Rand.Uni.50.25.2.gexf	2	15.8084323845438	1	Rand	Uni	50	25	2	gexf
72	Rand.Uni.50.25.2.gexf	3	15.8084323845438	1	Rand	Uni	50	25	2	gexf
73	Rand.Uni.50.25.2.gexf	5	15.8084323845438	1	Rand	Uni	50	25	2	gexf
74	Rand.Uni.50.25.2.gexf	10	15.8084323845438	1	Rand	Uni	50	25	2	gexf
76	Rand.Uni.100.5.2.gexf	2	3.20829673847684	1	Rand	Uni	100	5	2	gexf
77	Rand.Uni.100.5.2.gexf	3	3.13733412190107	2	Rand	Uni	100	5	2	gexf
78	Rand.Uni.100.5.2.gexf	5	2.65007718472437	6	Rand	Uni	100	5	2	gexf
81	Rand.Uni.100.10.2.gexf	2	8.16283311457571	1	Rand	Uni	100	10	2	gexf
82	Rand.Uni.100.10.2.gexf	3	8.16283311457571	1	Rand	Uni	100	10	2	gexf
83	Rand.Uni.100.10.2.gexf	5	8.16283311457571	1	Rand	Uni	100	10	2	gexf
84	Rand.Uni.100.10.2.gexf	10	6.25915517218236	7	Rand	Uni	100	10	2	gexf
86	Rand.Uni.100.25.2.gexf	2	19.0109807324756	1	Rand	Uni	100	25	2	gexf
87	Rand.Uni.100.25.2.gexf	3	19.0109807324756	1	Rand	Uni	100	25	2	gexf
88	Rand.Uni.100.25.2.gexf	5	19.0109807324756	1	Rand	Uni	100	25	2	gexf
89	Rand.Uni.100.25.2.gexf	10	19.0109807324756	1	Rand	Uni	100	25	2	gexf
91	Rand.Uni.500.5.2.gexf	2	7.6847652444047	1	Rand	Uni	500	5	2	gexf
92	Rand.Uni.500.5.2.gexf	3	7.6847652444047	1	Rand	Uni	500	5	2	gexf
93	Rand.Uni.500.5.2.gexf	5	7.6847652444047	1	Rand	Uni	500	5	2	gexf
94	Rand.Uni.500.5.2.gexf	10	6.54853492651476	8	Rand	Uni	500	5	2	gexf
96	Rand.Uni.500.10.2.gexf	2	11.1420558695813	1	Rand	Uni	500	10	2	gexf
97	Rand.Uni.500.10.2.gexf	3	11.1420558695813	1	Rand	Uni	500	10	2	gexf
98	Rand.Uni.500.10.2.gexf	5	11.1420558695813	1	Rand	Uni	500	10	2	gexf
99	Rand.Uni.500.10.2.gexf	10	11.1420558695813	1	Rand	Uni	500	10	2	gexf
101	Rand.Uni.500.25.2.gexf	2	19.7630268388129	1	Rand	Uni	500	25	2	gexf
102	Rand.Uni.500.25.2.gexf	3	19.7630268388129	1	Rand	Uni	500	25	2	gexf
103	Rand.Uni.500.25.2.gexf	5	19.7630268388129	1	Rand	Uni	500	25	2	gexf
104	Rand.Uni.500.25.2.gexf	10	19.7630268388129	1	Rand	Uni	500	25	2	gexf
106	Rand.Uni.1000.5.2.gexf	2	4.42892918005967	1	Rand	Uni	1000	5	2	gexf
107	Rand.Uni.1000.5.2.gexf	3	4.42892918005967	1	Rand	Uni	1000	5	2	gexf
108	Rand.Uni.1000.5.2.gexf	5	4.15743384237932	2	Rand	Uni	1000	5	2	gexf
111	Rand.Uni.1000.10.2.gexf	2	9.90875472016985	1	Rand	Uni	1000	10	2	gexf
112	Rand.Uni.1000.10.2.gexf	3	9.90875472016985	1	Rand	Uni	1000	10	2	gexf
113	Rand.Uni.1000.10.2.gexf	5	9.90875472016985	1	Rand	Uni	1000	10	2	gexf
114	Rand.Uni.1000.10.2.gexf	10	9.73714015043428	3	Rand	Uni	1000	10	2	gexf
116	Rand.Uni.1000.25.2.gexf	2	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
117	Rand.Uni.1000.25.2.gexf	3	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
118	Rand.Uni.1000.25.2.gexf	5	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
119	Rand.Uni.1000.25.2.gexf	10	25.6018940758452	1	Rand	Uni	1000	25	2	gexf
