construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
card,tabu,sim,Complete.1000.1.51.gexf,1000,999000,2,1,"[999, 999, 999, 999]",492.0915633962749,492.09156339627503,492.09156339627503,492.09156339627503,2,2,2,0,0,"[492.0915633962749, 492.09156339627503, 492.09156339627503, 492.09156339627503]",Complete,1000,1,51,gexf
card,tabu,sim,Complete.1000.1.51.gexf,1000,999000,3,2,"[999, 999, 999, 999]",492.0915633962749,492.09156339627555,492.09156339627555,492.09156339627555,2,2,2,0,0,"[492.0915633962749, 492.09156339627555, 492.09156339627555, 492.09156339627555]",Complete,1000,1,51,gexf
card,tabu,sim,Complete.1000.1.51.gexf,1000,999000,5,3,"[999, 999, 999, 999]",492.0915633962749,492.091563396275,492.091563396275,492.091563396275,2,2,2,0,0,"[492.0915633962749, 492.091563396275, 492.091563396275, 492.091563396275]",Complete,1000,1,51,gexf
card,tabu,sim,Complete.1000.1.51.gexf,1000,999000,10,4,"[999, 999, 999, 999]",492.0915633962749,492.0915633962755,492.0915633962755,492.0915633962755,2,2,2,1,0,"[492.0915633962749, 492.0915633962755, 492.0915633962755, 492.0915633962755]",Complete,1000,1,51,gexf
card,tabu,sim,Complete.1000.1.51.gexf,1000,999000,50,5,"[999, 999, 999, 999]",492.0915633962749,466.0760389863988,466.0760389863988,467.0302516020012,1,1,1,0,0,"[492.0915633962749, 466.0760389863988, 467.0302516020012]",Complete,1000,1,51,gexf
card,tabu,sim,Complete.1000.20.51.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9957,9957,9957,9957,2,2,2,0,0,"[9957, 9957, 9957, 9957]",Complete,1000,20,51,gexf
card,tabu,sim,Complete.1000.20.51.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9957,9957,9957,9957,2,2,2,0,0,"[9957, 9957, 9957, 9957]",Complete,1000,20,51,gexf
card,tabu,sim,Complete.1000.20.51.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9957,9937,9937,inf,1,0,0,0,0,"[9957, 9937]",Complete,1000,20,51,gexf
card,tabu,sim,Complete.1000.20.51.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9957,9842,9842,inf,1,0,0,0,0,"[9957, 9842]",Complete,1000,20,51,gexf
card,tabu,sim,Complete.1000.20.51.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9957,9082,9082,inf,1,0,0,0,0,"[9957, 9082]",Complete,1000,20,51,gexf
