construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4,k:5
cut,cap,first,Rand.Uni.500.5.1.gexf,500,2500,2,1,"[10, 10, 10, 10]",5.472203535752074,3.8930654125604063,3.8930654125604063,inf,60,0,0,0,0,"[5.472203535752074, 3.8930654125604063]",Rand,Uni,500,5,1,gexf
cut,cap,first,Rand.Uni.500.5.1.gexf,500,2500,3,2,"[10, 10, 10, 10]",5.472203535752074,3.1586916859546506,3.1586916859546506,inf,67,0,0,0,0,"[5.472203535752074, 3.1586916859546506]",Rand,Uni,500,5,1,gexf
cut,cap,first,Rand.Uni.500.5.1.gexf,500,2500,5,3,"[10, 10, 10, 10]",5.472203535752074,1.9176011331619556,1.9176011331619556,inf,108,0,0,0,0,"[5.472203535752074, 1.9176011331619556]",Rand,Uni,500,5,1,gexf
cut,cap,first,Rand.Uni.500.5.1.gexf,500,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,1,gexf
cut,cap,first,Rand.Uni.500.5.1.gexf,500,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,1,gexf
cut,cap,first,Rand.Uni.500.10.1.gexf,500,5000,2,1,"[14, 14, 14, 14]",4.634213455317441,2.9542293522055703,2.9542293522055703,inf,72,0,0,0,0,"[4.634213455317441, 2.9542293522055703]",Rand,Uni,500,10,1,gexf
cut,cap,first,Rand.Uni.500.10.1.gexf,500,5000,3,2,"[14, 14, 14, 14]",4.634213455317441,2.425036811933242,2.425036811933242,inf,92,0,0,0,0,"[4.634213455317441, 2.425036811933242]",Rand,Uni,500,10,1,gexf
cut,cap,first,Rand.Uni.500.10.1.gexf,500,5000,5,3,"[14, 14, 14, 14]",4.634213455317441,1.5470210815697119,1.5470210815697119,inf,92,0,0,0,0,"[4.634213455317441, 1.5470210815697119]",Rand,Uni,500,10,1,gexf
cut,cap,first,Rand.Uni.500.10.1.gexf,500,5000,10,4,"[14, 14, 14, 14]",4.634213455317441,0.17093686573965694,0.17093686573965694,inf,208,0,0,0,0,"[4.634213455317441, 0.17093686573965694]",Rand,Uni,500,10,1,gexf
cut,cap,first,Rand.Uni.500.10.1.gexf,500,F,50,5,"[14, 14, 14, 14]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,10,1,gexf
