construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4,k:5
card,tabu,sim,Rand.Uni.1000.5.73.gexf,1000,5000,2,1,"[8, 8, 8, 8]",4.399191922594885,2.7685317812341914,2.7685317812341914,3.457779151554729,242,242,242,0,2,"[4.399191922594885, 2.7685317812341914, 3.457779151554729, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884, 4.399191922594884]",Rand,Uni,1000,5,73,gexf
card,tabu,sim,Rand.Uni.1000.5.73.gexf,1000,5000,3,2,"[8, 8, 8, 8]",4.399191922594885,1.923852020947538,1.923852020947538,2.6130993912680758,242,242,242,0,1,"[4.399191922594885, 1.923852020947538, 2.6130993912680758, 3.45777915155473, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885]",Rand,Uni,1000,5,73,gexf
card,tabu,sim,Rand.Uni.1000.5.73.gexf,1000,5000,5,3,"[8, 8, 8, 8]",4.399191922594885,0.7020614264635995,0.7020614264635995,1.1759837899184857,243,243,243,52,1,"[4.399191922594885, 0.7020614264635995, 1.1759837899184857, 1.8652311602390237, 2.613099391268076, 3.554512162308231, 3.554512162308231, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885, 4.399191922594885]",Rand,Uni,1000,5,73,gexf
card,tabu,sim,Rand.Uni.1000.5.73.gexf,1000,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,1000,5,73,gexf
card,tabu,sim,Rand.Uni.1000.5.73.gexf,1000,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,1000,5,73,gexf
card,tabu,sim,Rand.Uni.1000.10.73.gexf,1000,10000,2,1,"[22, 22, 22, 22]",10.259198662981554,8.351921081185163,8.351921081185163,9.281418559496556,128,128,128,0,0,"[10.259198662981554, 8.351921081185163, 9.281418559496556, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554]",Rand,Uni,1000,10,73,gexf
card,tabu,sim,Rand.Uni.1000.10.73.gexf,1000,10000,3,2,"[22, 22, 22, 22]",10.259198662981554,7.430654759955723,7.430654759955723,8.40843486344072,108,107,106,0,0,"[10.259198662981554, 7.430654759955723, 8.40843486344072, 9.32970118467016, 9.32970118467016, 9.32970118467016, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 9.924072424877917, 9.924072424877917, 9.924072424877917, 9.924072424877917, 9.924072424877917, 9.924072424877917, 9.924072424877917, 9.924072424877917, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554]",Rand,Uni,1000,10,73,gexf
card,tabu,sim,Rand.Uni.1000.10.73.gexf,1000,10000,5,3,"[22, 22, 22, 22]",10.259198662981554,5.829378693566847,5.829378693566847,6.8071587970518435,103,101,100,33,0,"[10.259198662981554, 5.829378693566847, 6.8071587970518435, 7.566556148012089, 7.566556148012089, 8.48782246924153, 9.329701184670162, 9.329701184670162, 9.329701184670162, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.259198662981555, 10.208772686783616, 10.208772686783616, 10.208772686783616, 10.208772686783616, 10.208772686783616, 10.208772686783616, 10.208772686783616, 10.208772686783616, 10.208772686783616, 10.208772686783616]",Rand,Uni,1000,10,73,gexf
card,tabu,sim,Rand.Uni.1000.10.73.gexf,1000,10000,10,4,"[22, 22, 22, 22]",10.259198662981554,3.1438377409958758,3.1438377409958758,3.6465048348887823,91,90,90,17,0,"[10.259198662981554, 3.1438377409958758, 3.6465048348887823, 4.223735803500422, 5.201515906985419, 5.201515906985419, 5.201515906985419, 5.201515906985419, 6.131013385296812, 6.131013385296812, 6.7048955864391635, 7.212738407198059, 7.212738407198059, 7.212738407198059, 7.212738407198059, 8.1340047284275, 8.1340047284275, 8.1340047284275, 8.1340047284275, 8.1340047284275, 8.1340047284275, 8.1340047284275, 8.1340047284275, 8.1340047284275, 8.975883443856132, 8.975883443856132, 8.975883443856132, 8.975883443856132, 8.975883443856132, 8.975883443856132, 9.735280794816378, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554, 10.259198662981554]",Rand,Uni,1000,10,73,gexf
card,tabu,sim,Rand.Uni.1000.10.73.gexf,1000,F,50,5,"[22, 22, 22, 22]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,1000,10,73,gexf
