construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4	mem	constant	best
1	cut	cap	first	R-MAT.50.5.1.gexf	50	199	2	1	[10, 10, 10, 10]	14	10	10.0	inf	2770	0	0	0	0	[14.0, 10.0]	R-MAT	50	5	1	gexf	14	1.4	0.5
2	cut	cap	first	R-MAT.50.5.1.gexf	50	199	3	2	[10, 10, 10, 10]	14	8	8.0	inf	3260	0	0	0	0	[14.0, 8.0]	R-MAT	50	5	1	gexf	14	1.75	0
3	cut	cap	first	R-MAT.50.5.1.gexf	50	199	5	3	[10, 10, 10, 10]	14	6	6.0	inf	4901	0	0	0	0	[14.0, 6.0]	R-MAT	50	5	1	gexf	14	2.33333333333333	0
6	cut	cap	first	R-MAT.50.10.1.gexf	50	315	2	1	[14, 14, 14, 14]	25	19	19.0	inf	1855	0	0	0	0	[25.0, 19.0]	R-MAT	50	10	1	gexf	25	1.31578947368421	0.5
7	cut	cap	first	R-MAT.50.10.1.gexf	50	315	3	2	[14, 14, 14, 14]	25	16	16.0	inf	1700	0	0	0	0	[25.0, 16.0]	R-MAT	50	10	1	gexf	25	1.5625	0.5
8	cut	cap	first	R-MAT.50.10.1.gexf	50	315	5	3	[14, 14, 14, 14]	25	12	12.0	inf	1951	0	0	0	0	[25.0, 12.0]	R-MAT	50	10	1	gexf	25	2.08333333333333	0.5
9	cut	cap	first	R-MAT.50.10.1.gexf	50	315	10	4	[14, 14, 14, 14]	25	6	6.0	inf	3380	0	0	0	0	[25.0, 6.0]	R-MAT	50	10	1	gexf	22	3.66666666666667	0
11	cut	cap	first	R-MAT.50.25.1.gexf	50	581	2	1	[28, 28, 28, 28]	70	54	54.0	inf	597	0	0	0	0	[70.0, 54.0]	R-MAT	50	25	1	gexf	70	1.2962962962963	0.5
12	cut	cap	first	R-MAT.50.25.1.gexf	50	581	3	2	[28, 28, 28, 28]	70	47	47.0	inf	513	0	0	0	0	[70.0, 47.0]	R-MAT	50	25	1	gexf	70	1.48936170212766	0.5
13	cut	cap	first	R-MAT.50.25.1.gexf	50	581	5	3	[28, 28, 28, 28]	70	37	37.0	inf	669	0	0	0	0	[70.0, 37.0]	R-MAT	50	25	1	gexf	70	1.89189189189189	0.5
14	cut	cap	first	R-MAT.50.25.1.gexf	50	581	10	4	[28, 28, 28, 28]	70	25	25.0	inf	1341	0	0	0	0	[70.0, 25.0]	R-MAT	50	25	1	gexf	64.4285714285714	2.57714285714286	0
16	cut	cap	first	R-MAT.50.5.2.gexf	50	197	2	1	[10, 10, 10, 10]	11	9	9.0	inf	4601	0	0	0	0	[11.0, 9.0]	R-MAT	50	5	2	gexf	11	1.22222222222222	0
17	cut	cap	first	R-MAT.50.5.2.gexf	50	197	3	2	[10, 10, 10, 10]	11	8	8.0	inf	4683	0	0	0	0	[11.0, 8.0]	R-MAT	50	5	2	gexf	11	1.375	0
18	cut	cap	first	R-MAT.50.5.2.gexf	50	197	5	3	[10, 10, 10, 10]	11	6	6.0	inf	4754	0	0	0	0	[11.0, 6.0]	R-MAT	50	5	2	gexf	10.8	1.8	0
21	cut	cap	first	R-MAT.50.10.2.gexf	50	323	2	1	[14, 14, 14, 14]	29	19	19.0	inf	2657	0	0	0	0	[29.0, 19.0]	R-MAT	50	10	2	gexf	29	1.52631578947368	0.5
22	cut	cap	first	R-MAT.50.10.2.gexf	50	323	3	2	[14, 14, 14, 14]	29	15	15.0	inf	2228	0	0	0	0	[29.0, 15.0]	R-MAT	50	10	2	gexf	29	1.93333333333333	0.5
23	cut	cap	first	R-MAT.50.10.2.gexf	50	323	5	3	[14, 14, 14, 14]	29	11	11.0	inf	1928	0	0	0	0	[29.0, 11.0]	R-MAT	50	10	2	gexf	27.6	2.50909090909091	0.5
24	cut	cap	first	R-MAT.50.10.2.gexf	50	323	10	4	[14, 14, 14, 14]	29	4	4.0	inf	3416	0	0	0	0	[29.0, 4.0]	R-MAT	50	10	2	gexf	19.25	4.8125	0.5
26	cut	cap	first	R-MAT.50.25.2.gexf	50	566	2	1	[20, 20, 20, 20]	59	36	36.0	inf	1866	0	0	0	0	[59.0, 36.0]	R-MAT	50	25	2	gexf	59	1.63888888888889	0.5
27	cut	cap	first	R-MAT.50.25.2.gexf	50	566	3	2	[20, 20, 20, 20]	59	30	30.0	inf	565	0	0	0	0	[59.0, 30.0]	R-MAT	50	25	2	gexf	59	1.96666666666667	0.5
28	cut	cap	first	R-MAT.50.25.2.gexf	50	566	5	3	[20, 20, 20, 20]	59	20	20.0	inf	906	0	0	0	0	[59.0, 20.0]	R-MAT	50	25	2	gexf	54	2.7	0.5
29	cut	cap	first	R-MAT.50.25.2.gexf	50	566	10	4	[20, 20, 20, 20]	59	10	10.0	inf	1683	0	0	0	0	[59.0, 10.0]	R-MAT	50	25	2	gexf	36.6666666666667	3.66666666666667	0.5
