construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4
1	cut	cap	first	R-MAT.50.5.1.gexf	50	199	2	1	[10, 10, 10, 10]	14	10	10.0	inf	2770	0	0	0	0	[14.0, 10.0]	R-MAT	50	5	1	gexf
2	cut	cap	first	R-MAT.50.5.1.gexf	50	199	3	2	[10, 10, 10, 10]	14	8	8.0	inf	3260	0	0	0	0	[14.0, 8.0]	R-MAT	50	5	1	gexf
3	cut	cap	first	R-MAT.50.5.1.gexf	50	199	5	3	[10, 10, 10, 10]	14	6	6.0	inf	4901	0	0	0	0	[14.0, 6.0]	R-MAT	50	5	1	gexf
6	cut	cap	first	R-MAT.50.10.1.gexf	50	315	2	1	[14, 14, 14, 14]	25	19	19.0	inf	1855	0	0	0	0	[25.0, 19.0]	R-MAT	50	10	1	gexf
7	cut	cap	first	R-MAT.50.10.1.gexf	50	315	3	2	[14, 14, 14, 14]	25	16	16.0	inf	1700	0	0	0	0	[25.0, 16.0]	R-MAT	50	10	1	gexf
8	cut	cap	first	R-MAT.50.10.1.gexf	50	315	5	3	[14, 14, 14, 14]	25	12	12.0	inf	1951	0	0	0	0	[25.0, 12.0]	R-MAT	50	10	1	gexf
9	cut	cap	first	R-MAT.50.10.1.gexf	50	315	10	4	[14, 14, 14, 14]	25	6	6.0	inf	3380	0	0	0	0	[25.0, 6.0]	R-MAT	50	10	1	gexf
11	cut	cap	first	R-MAT.50.25.1.gexf	50	581	2	1	[28, 28, 28, 28]	70	54	54.0	inf	597	0	0	0	0	[70.0, 54.0]	R-MAT	50	25	1	gexf
12	cut	cap	first	R-MAT.50.25.1.gexf	50	581	3	2	[28, 28, 28, 28]	70	47	47.0	inf	513	0	0	0	0	[70.0, 47.0]	R-MAT	50	25	1	gexf
13	cut	cap	first	R-MAT.50.25.1.gexf	50	581	5	3	[28, 28, 28, 28]	70	37	37.0	inf	669	0	0	0	0	[70.0, 37.0]	R-MAT	50	25	1	gexf
14	cut	cap	first	R-MAT.50.25.1.gexf	50	581	10	4	[28, 28, 28, 28]	70	25	25.0	inf	1341	0	0	0	0	[70.0, 25.0]	R-MAT	50	25	1	gexf
16	cut	cap	first	R-MAT.50.5.2.gexf	50	197	2	1	[10, 10, 10, 10]	11	9	9.0	inf	4601	0	0	0	0	[11.0, 9.0]	R-MAT	50	5	2	gexf
17	cut	cap	first	R-MAT.50.5.2.gexf	50	197	3	2	[10, 10, 10, 10]	11	8	8.0	inf	4683	0	0	0	0	[11.0, 8.0]	R-MAT	50	5	2	gexf
18	cut	cap	first	R-MAT.50.5.2.gexf	50	197	5	3	[10, 10, 10, 10]	11	6	6.0	inf	4754	0	0	0	0	[11.0, 6.0]	R-MAT	50	5	2	gexf
21	cut	cap	first	R-MAT.50.10.2.gexf	50	323	2	1	[14, 14, 14, 14]	29	19	19.0	inf	2657	0	0	0	0	[29.0, 19.0]	R-MAT	50	10	2	gexf
22	cut	cap	first	R-MAT.50.10.2.gexf	50	323	3	2	[14, 14, 14, 14]	29	15	15.0	inf	2228	0	0	0	0	[29.0, 15.0]	R-MAT	50	10	2	gexf
23	cut	cap	first	R-MAT.50.10.2.gexf	50	323	5	3	[14, 14, 14, 14]	29	11	11.0	inf	1928	0	0	0	0	[29.0, 11.0]	R-MAT	50	10	2	gexf
24	cut	cap	first	R-MAT.50.10.2.gexf	50	323	10	4	[14, 14, 14, 14]	29	4	4.0	inf	3416	0	0	0	0	[29.0, 4.0]	R-MAT	50	10	2	gexf
26	cut	cap	first	R-MAT.50.25.2.gexf	50	566	2	1	[20, 20, 20, 20]	59	36	36.0	inf	1866	0	0	0	0	[59.0, 36.0]	R-MAT	50	25	2	gexf
27	cut	cap	first	R-MAT.50.25.2.gexf	50	566	3	2	[20, 20, 20, 20]	59	30	30.0	inf	565	0	0	0	0	[59.0, 30.0]	R-MAT	50	25	2	gexf
28	cut	cap	first	R-MAT.50.25.2.gexf	50	566	5	3	[20, 20, 20, 20]	59	20	20.0	inf	906	0	0	0	0	[59.0, 20.0]	R-MAT	50	25	2	gexf
29	cut	cap	first	R-MAT.50.25.2.gexf	50	566	10	4	[20, 20, 20, 20]	59	10	10.0	inf	1683	0	0	0	0	[59.0, 10.0]	R-MAT	50	25	2	gexf
31	cut	cap	first	R-MAT.50.5.3.gexf	50	197	2	1	[9, 9, 9, 9]	13	8	8.0	inf	2732	0	0	0	0	[13.0, 8.0]	R-MAT	50	5	3	gexf
32	cut	cap	first	R-MAT.50.5.3.gexf	50	197	3	2	[9, 9, 9, 9]	13	6	7.0	6.0	2871	1	0	0	0	[13.0, 7.0, 6.0]	R-MAT	50	5	3	gexf
33	cut	cap	first	R-MAT.50.5.3.gexf	50	197	5	3	[9, 9, 9, 9]	13	5	5.0	inf	4967	0	0	0	0	[13.0, 5.0]	R-MAT	50	5	3	gexf
36	cut	cap	first	R-MAT.50.10.3.gexf	50	314	2	1	[12, 12, 12, 12]	20	13	13.0	inf	3203	0	0	0	0	[20.0, 13.0]	R-MAT	50	10	3	gexf
37	cut	cap	first	R-MAT.50.10.3.gexf	50	314	3	2	[12, 12, 12, 12]	20	11	11.0	inf	2535	0	0	0	0	[20.0, 11.0]	R-MAT	50	10	3	gexf
38	cut	cap	first	R-MAT.50.10.3.gexf	50	314	5	3	[12, 12, 12, 12]	20	7	7.0	inf	2154	0	0	0	0	[20.0, 7.0]	R-MAT	50	10	3	gexf
39	cut	cap	first	R-MAT.50.10.3.gexf	50	314	10	4	[12, 12, 12, 12]	20	2	2.0	inf	3680	0	0	0	0	[20.0, 2.0]	R-MAT	50	10	3	gexf
41	cut	cap	first	R-MAT.50.25.3.gexf	50	573	2	1	[24, 24, 24, 24]	68	48	48.0	inf	356	0	0	0	0	[68.0, 48.0]	R-MAT	50	25	3	gexf
42	cut	cap	first	R-MAT.50.25.3.gexf	50	573	3	2	[24, 24, 24, 24]	68	39	39.0	inf	343	0	0	0	0	[68.0, 39.0]	R-MAT	50	25	3	gexf
43	cut	cap	first	R-MAT.50.25.3.gexf	50	573	5	3	[24, 24, 24, 24]	68	29	29.0	inf	1019	0	0	0	0	[68.0, 29.0]	R-MAT	50	25	3	gexf
44	cut	cap	first	R-MAT.50.25.3.gexf	50	573	10	4	[24, 24, 24, 24]	68	17	17.0	inf	1570	0	0	0	0	[68.0, 17.0]	R-MAT	50	25	3	gexf
46	cut	cap	first	R-MAT.50.5.4.gexf	50	190	2	1	[7, 7, 7, 7]	7	5	5.0	inf	5081	0	0	0	0	[7.0, 5.0]	R-MAT	50	5	4	gexf
47	cut	cap	first	R-MAT.50.5.4.gexf	50	190	3	2	[7, 7, 7, 7]	7	4	4.0	inf	5134	0	0	0	0	[7.0, 4.0]	R-MAT	50	5	4	gexf
48	cut	cap	first	R-MAT.50.5.4.gexf	50	190	5	3	[7, 7, 7, 7]	7	2	2.0	inf	5337	0	0	0	0	[7.0, 2.0]	R-MAT	50	5	4	gexf
51	cut	cap	first	R-MAT.50.10.4.gexf	50	324	2	1	[16, 16, 16, 16]	30	20	20.0	inf	2748	0	0	0	0	[30.0, 20.0]	R-MAT	50	10	4	gexf
52	cut	cap	first	R-MAT.50.10.4.gexf	50	324	3	2	[16, 16, 16, 16]	30	17	17.0	inf	1371	0	0	0	0	[30.0, 17.0]	R-MAT	50	10	4	gexf
