construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5
1	cut	cap	first	Small.50.6.2.1.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3508	0	0	0	0	[6.0, 4.0]	Small	50	6	2	1	gexf
2	cut	cap	first	Small.50.6.2.1.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3537	0	0	0	0	[6.0, 3.0]	Small	50	6	2	1	gexf
3	cut	cap	first	Small.50.6.2.1.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3659	0	0	0	0	[6.0, 1.0]	Small	50	6	2	1	gexf
6	cut	cap	first	Small.50.6.5.1.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3570	0	0	0	0	[5.0, 3.0]	Small	50	6	5	1	gexf
7	cut	cap	first	Small.50.6.5.1.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3538	0	0	0	0	[5.0, 2.0]	Small	50	6	5	1	gexf
11	cut	cap	first	Small.50.10.2.1.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2346	0	0	0	0	[9.0, 7.0]	Small	50	10	2	1	gexf
12	cut	cap	first	Small.50.10.2.1.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2333	0	0	0	0	[9.0, 6.0]	Small	50	10	2	1	gexf
13	cut	cap	first	Small.50.10.2.1.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2366	0	0	0	0	[9.0, 4.0]	Small	50	10	2	1	gexf
16	cut	cap	first	Small.50.10.5.1.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2305	0	0	0	0	[9.0, 7.0]	Small	50	10	5	1	gexf
17	cut	cap	first	Small.50.10.5.1.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2339	0	0	0	0	[9.0, 6.0]	Small	50	10	5	1	gexf
18	cut	cap	first	Small.50.10.5.1.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2390	0	0	0	0	[9.0, 4.0]	Small	50	10	5	1	gexf
21	cut	cap	first	Small.50.24.2.1.gexf	50	1200	2	1	[21, 21, 21, 21]	21	19	19.0	inf	1043	0	0	0	0	[21.0, 19.0]	Small	50	24	2	1	gexf
22	cut	cap	first	Small.50.24.2.1.gexf	50	1200	3	2	[21, 21, 21, 21]	21	18	18.0	inf	1043	0	0	0	0	[21.0, 18.0]	Small	50	24	2	1	gexf
23	cut	cap	first	Small.50.24.2.1.gexf	50	1200	5	3	[21, 21, 21, 21]	21	16	16.0	inf	1047	0	0	0	0	[21.0, 16.0]	Small	50	24	2	1	gexf
24	cut	cap	first	Small.50.24.2.1.gexf	50	1200	10	4	[21, 21, 21, 21]	21	11	11.0	inf	1055	0	0	0	0	[21.0, 11.0]	Small	50	24	2	1	gexf
26	cut	cap	first	Small.50.24.5.1.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1030	0	0	0	0	[24.0, 22.0]	Small	50	24	5	1	gexf
27	cut	cap	first	Small.50.24.5.1.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1042	0	0	0	0	[24.0, 21.0]	Small	50	24	5	1	gexf
28	cut	cap	first	Small.50.24.5.1.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1041	0	0	0	0	[24.0, 19.0]	Small	50	24	5	1	gexf
29	cut	cap	first	Small.50.24.5.1.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1049	0	0	0	0	[24.0, 14.0]	Small	50	24	5	1	gexf
31	cut	cap	first	Small.50.6.2.2.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3665	0	0	0	0	[5.0, 3.0]	Small	50	6	2	2	gexf
32	cut	cap	first	Small.50.6.2.2.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3700	0	0	0	0	[5.0, 2.0]	Small	50	6	2	2	gexf
36	cut	cap	first	Small.50.6.5.2.gexf	50	300	2	1	[4, 4, 4, 4]	4	2	2.0	inf	3678	0	0	0	0	[4.0, 2.0]	Small	50	6	5	2	gexf
37	cut	cap	first	Small.50.6.5.2.gexf	50	300	3	2	[4, 4, 4, 4]	4	1	1.0	inf	3723	0	0	0	0	[4.0, 1.0]	Small	50	6	5	2	gexf
41	cut	cap	first	Small.50.10.2.2.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2359	0	0	0	0	[8.0, 6.0]	Small	50	10	2	2	gexf
42	cut	cap	first	Small.50.10.2.2.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2358	0	0	0	0	[8.0, 5.0]	Small	50	10	2	2	gexf
43	cut	cap	first	Small.50.10.2.2.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2382	0	0	0	0	[8.0, 3.0]	Small	50	10	2	2	gexf
46	cut	cap	first	Small.50.10.5.2.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2326	0	0	0	0	[9.0, 7.0]	Small	50	10	5	2	gexf
47	cut	cap	first	Small.50.10.5.2.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2347	0	0	0	0	[9.0, 6.0]	Small	50	10	5	2	gexf
48	cut	cap	first	Small.50.10.5.2.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2332	0	0	0	0	[9.0, 4.0]	Small	50	10	5	2	gexf
51	cut	cap	first	Small.50.24.2.2.gexf	50	1200	2	1	[23, 23, 23, 23]	23	21	21.0	inf	1028	0	0	0	0	[23.0, 21.0]	Small	50	24	2	2	gexf
