construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5	mem	constant	best
1	cut	cap	first	Rand.Uni.50.5.1.gexf	50	250	2	1	[6, 6, 6, 6]	1.93954388475988	0.538963799903071	0.5389637999030709	inf	2284	0	0	0	0	[1.9395438847598765, 0.5389637999030709]	Rand	Uni	50	5	1	gexf	1.61689139970921	3	0
2	cut	cap	first	Rand.Uni.50.5.1.gexf	50	250	3	2	[6, 6, 6, 6]	1.93954388475988	0.352118082733799	0.3521180827337993	inf	3841	0	0	0	0	[1.9395438847598765, 0.3521180827337993]	Rand	Uni	50	5	1	gexf	1.07792759980614	3.06126737779909	0.5
3	cut	cap	first	Rand.Uni.50.5.1.gexf	50	250	5	3	[6, 6, 6, 6]	1.93954388475988	0.119499208758679	0.11949920875867948	inf	1783	0	0	0	0	[1.9395438847598765, 0.11949920875867948]	Rand	Uni	50	5	1	gexf	0.661508013558391	5.53566856575814	0
6	cut	cap	first	Rand.Uni.50.10.1.gexf	50	500	2	1	[19, 19, 19, 19]	9.83071312570605	7.94147988509273	7.9414798850927335	inf	649	0	0	0	0	[9.830713125706048, 7.9414798850927335]	Rand	Uni	50	10	1	gexf	9.83071312570605	1.23789435570562	0.5
7	cut	cap	first	Rand.Uni.50.10.1.gexf	50	500	3	2	[19, 19, 19, 19]	9.83071312570605	7.07541506416245	7.0754150641624465	inf	867	0	0	0	0	[9.830713125706048, 7.0754150641624465]	Rand	Uni	50	10	1	gexf	9.83071312570605	1.38941857637433	0
8	cut	cap	first	Rand.Uni.50.10.1.gexf	50	500	5	3	[19, 19, 19, 19]	9.83071312570605	5.53589082579548	5.53589082579548	inf	708	0	0	0	0	[9.830713125706048, 5.53589082579548]	Rand	Uni	50	10	1	gexf	9.83071312570605	1.77581412550588	0.5
9	cut	cap	first	Rand.Uni.50.10.1.gexf	50	500	10	4	[19, 19, 19, 19]	9.83071312570605	2.47548937467465	2.47548937467465	inf	959	0	0	0	0	[9.830713125706048, 2.47548937467465]	Rand	Uni	50	10	1	gexf	9.70625319289112	3.92094318488715	0.5
11	cut	cap	first	Rand.Uni.50.25.1.gexf	50	1250	2	1	[39, 39, 39, 39]	18.9397851432323	17.0294172604192	17.02941726041923	inf	187	0	0	0	0	[18.939785143232328, 17.02941726041923]	Rand	Uni	50	25	1	gexf	18.9397851432323	1.11218046123359	0.5
12	cut	cap	first	Rand.Uni.50.25.1.gexf	50	1250	3	2	[39, 39, 39, 39]	18.9397851432323	16.1138556885347	16.113855688534713	inf	216	0	0	0	0	[18.939785143232328, 16.113855688534713]	Rand	Uni	50	25	1	gexf	18.9397851432323	1.17537264260771	0.5
13	cut	cap	first	Rand.Uni.50.25.1.gexf	50	1250	5	3	[39, 39, 39, 39]	18.9397851432323	14.4115148531296	14.41151485312959	inf	538	0	0	0	0	[18.939785143232328, 14.41151485312959]	Rand	Uni	50	25	1	gexf	18.9397851432323	1.31421195733073	0.5
