path,k,max multirute flow,iterations
Complete.50.1.1.gexf,2,24.09502470299121,1
Complete.50.1.1.gexf,3,24.09502470299121,1
Complete.50.1.1.gexf,5,24.09502470299121,1
Complete.50.1.1.gexf,10,24.09502470299121,1
Complete.50.1.1.gexf,50,F,F
Complete.50.20.1.gexf,2,446,1
Complete.50.20.1.gexf,3,446,1
Complete.50.20.1.gexf,5,446,1
Complete.50.20.1.gexf,10,446,1
Complete.50.20.1.gexf,50,F,F
Complete.100.1.1.gexf,2,48.780379933226754,1
Complete.100.1.1.gexf,3,48.780379933226754,1
Complete.100.1.1.gexf,5,48.780379933226754,1
Complete.100.1.1.gexf,10,48.780379933226754,1
Complete.100.1.1.gexf,50,48.6238739915142,7
Complete.100.20.1.gexf,2,899,1
Complete.100.20.1.gexf,3,899,1
Complete.100.20.1.gexf,5,899,1
Complete.100.20.1.gexf,10,899,2
Complete.100.20.1.gexf,50,888.675,13
Complete.500.1.1.gexf,2,237.31019059260245,1
Complete.500.1.1.gexf,3,237.31019059260245,1
Complete.500.1.1.gexf,5,237.31019059260245,1
Complete.500.1.1.gexf,10,237.31019059260245,1
Complete.500.1.1.gexf,50,237.31019059260245,1
Complete.500.20.1.gexf,2,4873,1
Complete.500.20.1.gexf,3,4873,1
Complete.500.20.1.gexf,5,4873,1
Complete.500.20.1.gexf,10,4873,1
Complete.500.20.1.gexf,50,4873,1
Complete.1000.1.1.gexf,2,504.6840311703267,1
Complete.1000.1.1.gexf,3,504.6840311703267,1
Complete.1000.1.1.gexf,5,504.6840311703267,1
Complete.1000.1.1.gexf,10,504.6840311703267,1
Complete.1000.1.1.gexf,50,504.6840311703267,1
Complete.1000.20.1.gexf,2,9964,1
Complete.1000.20.1.gexf,3,9964,1
Complete.1000.20.1.gexf,5,9964,1
Complete.1000.20.1.gexf,10,9964,1
Complete.1000.20.1.gexf,50,9964,1
Complete.50.1.2.gexf,2,22.500299496613486,1
Complete.50.1.2.gexf,3,22.500299496613486,1
Complete.50.1.2.gexf,5,22.500299496613486,1
Complete.50.1.2.gexf,10,22.500299496613486,1
Complete.50.1.2.gexf,50,F,F
Complete.50.20.2.gexf,2,421,1
Complete.50.20.2.gexf,3,421,1
Complete.50.20.2.gexf,5,421,1
Complete.50.20.2.gexf,10,421,1
Complete.50.20.2.gexf,50,F,F
Complete.100.1.2.gexf,2,52.525965076741116,1
Complete.100.1.2.gexf,3,52.525965076741116,1
Complete.100.1.2.gexf,5,52.525965076741116,1
Complete.100.1.2.gexf,10,52.525965076741116,1
Complete.100.1.2.gexf,50,52.525965076741116,1
Complete.100.20.2.gexf,2,925,1
Complete.100.20.2.gexf,3,925,1
Complete.100.20.2.gexf,5,925,1
Complete.100.20.2.gexf,10,925,1
Complete.100.20.2.gexf,50,922.25,4
Complete.500.1.2.gexf,2,243.40515300575424,1
Complete.500.1.2.gexf,3,243.40515300575424,1
Complete.500.1.2.gexf,5,243.40515300575424,1
Complete.500.1.2.gexf,10,243.40515300575424,1
Complete.500.1.2.gexf,50,243.40515300575424,1
Complete.500.20.2.gexf,2,4813,1
Complete.500.20.2.gexf,3,4813,1
Complete.500.20.2.gexf,5,4813,1
Complete.500.20.2.gexf,10,4813,1
Complete.500.20.2.gexf,50,4813,1
Complete.1000.1.2.gexf,2,492.5248345706732,1
Complete.1000.1.2.gexf,3,492.5248345706732,1
Complete.1000.1.2.gexf,5,492.5248345706732,1
Complete.1000.1.2.gexf,10,492.5248345706732,2
Complete.1000.1.2.gexf,50,492.5248345706732,1
Complete.1000.20.2.gexf,2,9860,1
Complete.1000.20.2.gexf,3,9860,1
Complete.1000.20.2.gexf,5,9860,1
Complete.1000.20.2.gexf,10,9860,1
Complete.1000.20.2.gexf,50,9860,1
Complete.50.1.3.gexf,2,24.341771101624996,1
Complete.50.1.3.gexf,3,24.341771101624996,1
Complete.50.1.3.gexf,5,24.341771101624996,1
Complete.50.1.3.gexf,10,24.341771101624996,1
Complete.50.1.3.gexf,50,F,F
Complete.50.20.3.gexf,2,478,1
Complete.50.20.3.gexf,3,478,1
Complete.50.20.3.gexf,5,478,1
Complete.50.20.3.gexf,10,478,1
Complete.50.20.3.gexf,50,F,F
Complete.100.1.3.gexf,2,48.440949114928905,1
Complete.100.1.3.gexf,3,48.440949114928905,1
Complete.100.1.3.gexf,5,48.440949114928905,1
Complete.100.1.3.gexf,10,48.440949114928905,2
