path,k,max multirute flow,iterations
Complete.50.1.1.gexf,2,24.09502470299121,1
Complete.50.1.1.gexf,3,24.09502470299121,1
Complete.50.1.1.gexf,5,24.09502470299121,1
Complete.50.1.1.gexf,10,24.09502470299121,1
Complete.50.1.1.gexf,50,F,F
Complete.50.20.1.gexf,2,446,1
Complete.50.20.1.gexf,3,446,1
Complete.50.20.1.gexf,5,446,1
Complete.50.20.1.gexf,10,446,1
Complete.50.20.1.gexf,50,F,F
Complete.100.1.1.gexf,2,48.78037993322676,1
Complete.100.1.1.gexf,3,48.78037993322676,1
Complete.100.1.1.gexf,5,48.78037993322676,1
Complete.100.1.1.gexf,10,48.78037993322676,2
Complete.100.1.1.gexf,50,48.62387399151421,7
Complete.100.20.1.gexf,2,899,1
Complete.100.20.1.gexf,3,899,1
Complete.100.20.1.gexf,5,899,1
Complete.100.20.1.gexf,10,899,2
Complete.100.20.1.gexf,50,888.6750000000001,12
Complete.500.1.1.gexf,2,237.3101905926021,1
Complete.500.1.1.gexf,3,237.3101905926021,1
Complete.500.1.1.gexf,5,237.3101905926021,1
Complete.500.1.1.gexf,10,237.3101905926021,1
Complete.500.1.1.gexf,50,237.3101905926021,4
Complete.500.20.1.gexf,2,4873,1
Complete.500.20.1.gexf,3,4873,1
Complete.500.20.1.gexf,5,4873,1
Complete.500.20.1.gexf,10,4873,1
Complete.500.20.1.gexf,50,4873,1
Complete.1000.1.1.gexf,2,504.68403117032705,1
Complete.1000.1.1.gexf,3,504.68403117032705,1
Complete.1000.1.1.gexf,5,504.68403117032705,1
Complete.1000.1.1.gexf,10,504.68403117032705,2
Complete.1000.1.1.gexf,50,504.68403117032705,1
Complete.1000.20.1.gexf,2,9964,1
Complete.1000.20.1.gexf,3,9964,1
Complete.1000.20.1.gexf,5,9964,1
Complete.1000.20.1.gexf,10,9964,1
Complete.1000.20.1.gexf,50,9964,1
Complete.50.1.2.gexf,2,22.500299496613493,1
Complete.50.1.2.gexf,3,22.500299496613493,1
Complete.50.1.2.gexf,5,22.500299496613493,1
Complete.50.1.2.gexf,10,22.500299496613493,1
Complete.50.1.2.gexf,50,F,F
Complete.50.20.2.gexf,2,421,1
Complete.50.20.2.gexf,3,421,1
Complete.50.20.2.gexf,5,421,1
Complete.50.20.2.gexf,10,421,1
Complete.50.20.2.gexf,50,F,F
Complete.100.1.2.gexf,2,52.52596507674111,2
Complete.100.1.2.gexf,3,52.52596507674111,1
Complete.100.1.2.gexf,5,52.52596507674111,3
Complete.100.1.2.gexf,10,52.52596507674111,1
Complete.100.1.2.gexf,50,52.52596507674111,1
Complete.100.20.2.gexf,2,925,1
Complete.100.20.2.gexf,3,925,1
Complete.100.20.2.gexf,5,925,1
Complete.100.20.2.gexf,10,925,1
Complete.100.20.2.gexf,50,922.25,4
Complete.500.1.2.gexf,2,243.40515300575444,1
Complete.500.1.2.gexf,3,243.40515300575444,1
Complete.500.1.2.gexf,5,243.40515300575444,1
Complete.500.1.2.gexf,10,243.40515300575444,1
Complete.500.1.2.gexf,50,243.40515300575444,1
Complete.500.20.2.gexf,2,4813,1
Complete.500.20.2.gexf,3,4813,1
Complete.500.20.2.gexf,5,4813,1
Complete.500.20.2.gexf,10,4813,1
Complete.500.20.2.gexf,50,4813,1
Complete.1000.1.2.gexf,2,492.5248345706733,1
Complete.1000.1.2.gexf,3,492.5248345706733,1
Complete.1000.1.2.gexf,5,492.5248345706733,1
Complete.1000.1.2.gexf,10,492.5248345706733,1
Complete.1000.1.2.gexf,50,492.5248345706733,1
Complete.1000.20.2.gexf,2,9860,1
Complete.1000.20.2.gexf,3,9860,1
Complete.1000.20.2.gexf,5,9860,1
Complete.1000.20.2.gexf,10,9860,1
Complete.1000.20.2.gexf,50,9860,1
Complete.50.1.3.gexf,2,24.34177110162501,2
Complete.50.1.3.gexf,3,24.34177110162501,1
Complete.50.1.3.gexf,5,24.34177110162501,3
Complete.50.1.3.gexf,10,24.34177110162501,1
Complete.50.1.3.gexf,50,F,F
Complete.50.20.3.gexf,2,478,1
Complete.50.20.3.gexf,3,478,1
Complete.50.20.3.gexf,5,478,1
Complete.50.20.3.gexf,10,478,1
Complete.50.20.3.gexf,50,F,F
Complete.100.1.3.gexf,2,48.44094911492889,2
Complete.100.1.3.gexf,3,48.44094911492889,1
Complete.100.1.3.gexf,5,48.44094911492889,3
Complete.100.1.3.gexf,10,48.44094911492889,1
