path,k,max multirute flow,iterations
Rand.Exp.50.5.1.gexf,2,4.475046880646631,1
Rand.Exp.50.5.1.gexf,3,4.0440502568586085,4
Rand.Exp.50.5.1.gexf,5,2.653695362552545,6
Rand.Exp.50.5.1.gexf,10,F,F
Rand.Exp.50.5.1.gexf,50,F,F
Rand.Exp.50.10.1.gexf,2,5.37953500299663,1
Rand.Exp.50.10.1.gexf,3,5.2888667491893,2
Rand.Exp.50.10.1.gexf,5,4.75998007427037,2
Rand.Exp.50.10.1.gexf,10,2.4665612461703335,11
Rand.Exp.50.10.1.gexf,50,F,F
Rand.Exp.50.25.1.gexf,2,21.05530685236836,1
Rand.Exp.50.25.1.gexf,3,21.05530685236836,1
Rand.Exp.50.25.1.gexf,5,21.05530685236836,1
Rand.Exp.50.25.1.gexf,10,20.470239635666744,2
Rand.Exp.50.25.1.gexf,50,F,F
Rand.Exp.100.5.1.gexf,2,3.751230133169526,1
Rand.Exp.100.5.1.gexf,3,3.489042031128838,2
Rand.Exp.100.5.1.gexf,5,3.116334736678429,4
Rand.Exp.100.5.1.gexf,10,F,F
Rand.Exp.100.5.1.gexf,50,F,F
Rand.Exp.100.10.1.gexf,2,11.616688784000626,1
Rand.Exp.100.10.1.gexf,3,11.616688784000626,1
Rand.Exp.100.10.1.gexf,5,11.616688784000626,1
Rand.Exp.100.10.1.gexf,10,10.305242054847401,4
Rand.Exp.100.10.1.gexf,50,F,F
Rand.Exp.100.25.1.gexf,2,14.049105546279849,1
Rand.Exp.100.25.1.gexf,3,14.049105546279849,1
Rand.Exp.100.25.1.gexf,5,14.049105546279849,1
Rand.Exp.100.25.1.gexf,10,13.127114371729515,2
Rand.Exp.100.25.1.gexf,50,F,F
