path,k,max multirute flow,iterations
Rand.Gauss01.50.5.1.gexf,2,3.683755286311224,1
Rand.Gauss01.50.5.1.gexf,3,3.683755286311224,1
Rand.Gauss01.50.5.1.gexf,5,3.521907759293369,4
Rand.Gauss01.50.5.1.gexf,10,F,F
Rand.Gauss01.50.5.1.gexf,50,F,F
Rand.Gauss01.50.10.1.gexf,2,8.86274499340561,1
Rand.Gauss01.50.10.1.gexf,3,8.86274499340561,1
Rand.Gauss01.50.10.1.gexf,5,8.86274499340561,1
Rand.Gauss01.50.10.1.gexf,10,8.86274499340561,1
Rand.Gauss01.50.10.1.gexf,50,F,F
Rand.Gauss01.50.25.1.gexf,2,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,3,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,5,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,10,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,50,F,F
Rand.Gauss01.100.5.1.gexf,2,4.265404137628327,1
Rand.Gauss01.100.5.1.gexf,3,4.265404137628327,1
Rand.Gauss01.100.5.1.gexf,5,4.265404137628327,1
Rand.Gauss01.100.5.1.gexf,10,F,F
Rand.Gauss01.100.5.1.gexf,50,F,F
Rand.Gauss01.100.10.1.gexf,2,5.742015883892611,1
Rand.Gauss01.100.10.1.gexf,3,5.742015883892611,1
Rand.Gauss01.100.10.1.gexf,5,5.742015883892611,1
Rand.Gauss01.100.10.1.gexf,10,4.544521839631379,11
Rand.Gauss01.100.10.1.gexf,50,F,F
Rand.Gauss01.100.25.1.gexf,2,20.883240587135067,1
Rand.Gauss01.100.25.1.gexf,3,20.883240587135067,1
Rand.Gauss01.100.25.1.gexf,5,20.883240587135067,1
Rand.Gauss01.100.25.1.gexf,10,20.883240587135067,1
Rand.Gauss01.100.25.1.gexf,50,F,F
Rand.Gauss01.500.5.1.gexf,2,3.96678695713634,1
Rand.Gauss01.500.5.1.gexf,3,3.96678695713634,1
Rand.Gauss01.500.5.1.gexf,5,3.9667869571363403,1
Rand.Gauss01.500.5.1.gexf,10,F,F
Rand.Gauss01.500.5.1.gexf,50,F,F
Rand.Gauss01.500.10.1.gexf,2,4.969579515257966,1
Rand.Gauss01.500.10.1.gexf,3,4.969579515257966,1
Rand.Gauss01.500.10.1.gexf,5,4.969579515257966,1
Rand.Gauss01.500.10.1.gexf,10,3.222623306580643,11
Rand.Gauss01.500.10.1.gexf,50,F,F
Rand.Gauss01.500.25.1.gexf,2,23.770781901101298,1
Rand.Gauss01.500.25.1.gexf,3,23.770781901101298,1
Rand.Gauss01.500.25.1.gexf,5,23.770781901101298,1
Rand.Gauss01.500.25.1.gexf,10,23.770781901101298,1
Rand.Gauss01.500.25.1.gexf,50,F,F
Rand.Gauss01.1000.5.1.gexf,2,2.25188819631717,1
Rand.Gauss01.1000.5.1.gexf,3,2.25188819631717,1
Rand.Gauss01.1000.5.1.gexf,5,F,F
Rand.Gauss01.1000.5.1.gexf,10,F,F
Rand.Gauss01.1000.5.1.gexf,50,F,F
Rand.Gauss01.1000.10.1.gexf,2,10.395742035874736,1
Rand.Gauss01.1000.10.1.gexf,3,10.395742035874736,1
Rand.Gauss01.1000.10.1.gexf,5,10.395742035874736,1
Rand.Gauss01.1000.10.1.gexf,10,10.395742035874736,1
Rand.Gauss01.1000.10.1.gexf,50,F,F
Rand.Gauss01.1000.25.1.gexf,2,20.786606680844947,1
Rand.Gauss01.1000.25.1.gexf,3,20.786606680844947,1
Rand.Gauss01.1000.25.1.gexf,5,20.786606680844947,1
Rand.Gauss01.1000.25.1.gexf,10,20.786606680844947,1
Rand.Gauss01.1000.25.1.gexf,50,F,F
Rand.Gauss01.50.5.2.gexf,2,3.2162025485670966,1
Rand.Gauss01.50.5.2.gexf,3,3.2162025485670966,1
Rand.Gauss01.50.5.2.gexf,5,3.2012753474704123,2
Rand.Gauss01.50.5.2.gexf,10,F,F
Rand.Gauss01.50.5.2.gexf,50,F,F
Rand.Gauss01.50.10.2.gexf,2,8.642115919440313,1
Rand.Gauss01.50.10.2.gexf,3,8.642115919440313,1
Rand.Gauss01.50.10.2.gexf,5,8.642115919440313,1
Rand.Gauss01.50.10.2.gexf,10,8.642115919440313,1
Rand.Gauss01.50.10.2.gexf,50,F,F
Rand.Gauss01.50.25.2.gexf,2,18.32258632442232,1
Rand.Gauss01.50.25.2.gexf,3,18.32258632442232,1
Rand.Gauss01.50.25.2.gexf,5,18.32258632442232,1
Rand.Gauss01.50.25.2.gexf,10,18.32258632442232,1
Rand.Gauss01.50.25.2.gexf,50,F,F
Rand.Gauss01.100.5.2.gexf,2,5.242030857861762,1
Rand.Gauss01.100.5.2.gexf,3,5.242030857861762,1
Rand.Gauss01.100.5.2.gexf,5,5.242030857861762,1
Rand.Gauss01.100.5.2.gexf,10,F,F
Rand.Gauss01.100.5.2.gexf,50,F,F
Rand.Gauss01.100.10.2.gexf,2,5.489908975309958,1
Rand.Gauss01.100.10.2.gexf,3,5.489908975309958,1
Rand.Gauss01.100.10.2.gexf,5,5.489908975309958,1
Rand.Gauss01.100.10.2.gexf,10,4.6927783787097015,11
Rand.Gauss01.100.10.2.gexf,50,F,F
Rand.Gauss01.100.25.2.gexf,2,22.59569242179157,1
Rand.Gauss01.100.25.2.gexf,3,22.59569242179157,1
Rand.Gauss01.100.25.2.gexf,5,22.59569242179157,1
Rand.Gauss01.100.25.2.gexf,10,22.59569242179157,1
Rand.Gauss01.100.25.2.gexf,50,F,F
Rand.Gauss01.500.5.2.gexf,2,3.4895709715782135,2
Rand.Gauss01.500.5.2.gexf,3,3.4895709715782135,1
Rand.Gauss01.500.5.2.gexf,5,3.4525614270512595,2
Rand.Gauss01.500.5.2.gexf,10,F,F
Rand.Gauss01.500.5.2.gexf,50,F,F
Rand.Gauss01.500.10.2.gexf,2,9.47320664629944,1
Rand.Gauss01.500.10.2.gexf,3,9.47320664629944,1
Rand.Gauss01.500.10.2.gexf,5,9.47320664629944,1
Rand.Gauss01.500.10.2.gexf,10,9.47320664629944,1
Rand.Gauss01.500.10.2.gexf,50,F,F
Rand.Gauss01.500.25.2.gexf,2,19.58006575130099,1
Rand.Gauss01.500.25.2.gexf,3,19.58006575130099,1
Rand.Gauss01.500.25.2.gexf,5,19.58006575130099,1
Rand.Gauss01.500.25.2.gexf,10,19.58006575130099,1
Rand.Gauss01.500.25.2.gexf,50,F,F
Rand.Gauss01.1000.5.2.gexf,2,3.1234917449495527,1
Rand.Gauss01.1000.5.2.gexf,3,3.1234917449495527,1
Rand.Gauss01.1000.5.2.gexf,5,2.904454159274749,3
Rand.Gauss01.1000.5.2.gexf,10,F,F
Rand.Gauss01.1000.5.2.gexf,50,F,F
Rand.Gauss01.1000.10.2.gexf,2,6.024149904794129,1
Rand.Gauss01.1000.10.2.gexf,3,6.024149904794129,1
Rand.Gauss01.1000.10.2.gexf,5,6.024149904794129,1
Rand.Gauss01.1000.10.2.gexf,10,3.590464678780301,11
Rand.Gauss01.1000.10.2.gexf,50,F,F
Rand.Gauss01.1000.25.2.gexf,2,22.451287332443044,1
Rand.Gauss01.1000.25.2.gexf,3,22.451287332443044,1
Rand.Gauss01.1000.25.2.gexf,5,22.451287332443044,1
Rand.Gauss01.1000.25.2.gexf,10,22.451287332443044,1
Rand.Gauss01.1000.25.2.gexf,50,F,F
Rand.Gauss01.50.5.3.gexf,2,3.5980140940911483,1
Rand.Gauss01.50.5.3.gexf,3,3.5980140940911483,1
Rand.Gauss01.50.5.3.gexf,5,3.5980140940911483,1
Rand.Gauss01.50.5.3.gexf,10,F,F
Rand.Gauss01.50.5.3.gexf,50,F,F
Rand.Gauss01.50.10.3.gexf,2,9.659991029553897,1
Rand.Gauss01.50.10.3.gexf,3,9.659991029553897,1
Rand.Gauss01.50.10.3.gexf,5,9.659991029553897,1
Rand.Gauss01.50.10.3.gexf,10,9.659991029553897,1
Rand.Gauss01.50.10.3.gexf,50,F,F
Rand.Gauss01.50.25.3.gexf,2,16.795062035514675,1
Rand.Gauss01.50.25.3.gexf,3,16.795062035514675,1
Rand.Gauss01.50.25.3.gexf,5,16.795062035514675,1
Rand.Gauss01.50.25.3.gexf,10,16.795062035514675,1
Rand.Gauss01.50.25.3.gexf,50,F,F
Rand.Gauss01.100.5.3.gexf,2,2.657907079224928,1
Rand.Gauss01.100.5.3.gexf,3,2.657907079224928,1
Rand.Gauss01.100.5.3.gexf,5,F,F
Rand.Gauss01.100.5.3.gexf,10,F,F
Rand.Gauss01.100.5.3.gexf,50,F,F
Rand.Gauss01.100.10.3.gexf,2,11.113484770655905,1
Rand.Gauss01.100.10.3.gexf,3,11.113484770655905,1
Rand.Gauss01.100.10.3.gexf,5,11.113484770655905,1
Rand.Gauss01.100.10.3.gexf,10,11.113484770655905,1
Rand.Gauss01.100.10.3.gexf,50,F,F
Rand.Gauss01.100.25.3.gexf,2,18.38249681366145,1
Rand.Gauss01.100.25.3.gexf,3,18.38249681366145,1
Rand.Gauss01.100.25.3.gexf,5,18.38249681366145,1
Rand.Gauss01.100.25.3.gexf,10,18.38249681366145,1
Rand.Gauss01.100.25.3.gexf,50,F,F
Rand.Gauss01.500.5.3.gexf,2,1.8828704178298719,2
Rand.Gauss01.500.5.3.gexf,3,1.3309057599948613,4
Rand.Gauss01.500.5.3.gexf,5,F,F
Rand.Gauss01.500.5.3.gexf,10,F,F
Rand.Gauss01.500.5.3.gexf,50,F,F
Rand.Gauss01.500.10.3.gexf,2,9.338673278703443,1
Rand.Gauss01.500.10.3.gexf,3,9.338673278703443,1
Rand.Gauss01.500.10.3.gexf,5,9.338673278703443,1
Rand.Gauss01.500.10.3.gexf,10,9.338673278703443,1
Rand.Gauss01.500.10.3.gexf,50,F,F
Rand.Gauss01.500.25.3.gexf,2,23.635231312850074,1
Rand.Gauss01.500.25.3.gexf,3,23.635231312850074,1
Rand.Gauss01.500.25.3.gexf,5,23.635231312850074,1
Rand.Gauss01.500.25.3.gexf,10,23.635231312850074,1
