path,k,max multirute flow,iterations
R-MAT.64.2.1.gexf,2,10.0,1
R-MAT.64.2.1.gexf,3,9.333333333333334,2
R-MAT.64.2.1.gexf,5,5.999999999999998,4
R-MAT.64.2.1.gexf,10,F,F
R-MAT.64.2.1.gexf,50,F,F
R-MAT.64.4.1.gexf,2,13.0,1
R-MAT.64.4.1.gexf,3,13.0,1
R-MAT.64.4.1.gexf,5,13.0,1
R-MAT.64.4.1.gexf,10,F,F
R-MAT.64.4.1.gexf,50,F,F
R-MAT.64.8.1.gexf,2,21.0,1
R-MAT.64.8.1.gexf,3,21.0,1
R-MAT.64.8.1.gexf,5,21.0,1
R-MAT.64.8.1.gexf,10,16.5,8
R-MAT.64.8.1.gexf,50,F,F
R-MAT.64.16.1.gexf,2,47.0,1
R-MAT.64.16.1.gexf,3,47.0,1
R-MAT.64.16.1.gexf,5,47.0,1
R-MAT.64.16.1.gexf,10,42.625,4
R-MAT.64.16.1.gexf,50,F,F
R-MAT.64.32.1.gexf,2,92.0,1
R-MAT.64.32.1.gexf,3,92.0,1
R-MAT.64.32.1.gexf,5,92.0,1
R-MAT.64.32.1.gexf,10,84.33333333333334,3
R-MAT.64.32.1.gexf,50,F,F
R-MAT.64.64.1.gexf,2,197.0,1
R-MAT.64.64.1.gexf,3,197.0,1
R-MAT.64.64.1.gexf,5,197.0,1
R-MAT.64.64.1.gexf,10,194.7,2
R-MAT.64.64.1.gexf,50,F,F
R-MAT.64.128.1.gexf,2,421.0,1
R-MAT.64.128.1.gexf,3,421.0,1
R-MAT.64.128.1.gexf,5,421.0,1
R-MAT.64.128.1.gexf,10,401.5,2
R-MAT.64.128.1.gexf,50,84.99999999999908,49
R-MAT.64.256.1.gexf,2,804.0,1
R-MAT.64.256.1.gexf,3,804.0,1
R-MAT.64.256.1.gexf,5,804.0,1
R-MAT.64.256.1.gexf,10,756.8,2
R-MAT.64.256.1.gexf,50,265.1999999999996,38
R-MAT.64.512.1.gexf,2,1641.0,1
R-MAT.64.512.1.gexf,3,1641.0,1
R-MAT.64.512.1.gexf,5,1641.0,1
R-MAT.64.512.1.gexf,10,1565.3,3
R-MAT.64.512.1.gexf,50,560.9999999999985,41
R-MAT.128.2.1.gexf,2,7.0,1
R-MAT.128.2.1.gexf,3,7.0,1
R-MAT.128.2.1.gexf,5,7.0,1
R-MAT.128.2.1.gexf,10,F,F
R-MAT.128.2.1.gexf,50,F,F
R-MAT.128.4.1.gexf,2,23.0,1
R-MAT.128.4.1.gexf,3,23.0,1
R-MAT.128.4.1.gexf,5,23.0,1
R-MAT.128.4.1.gexf,10,22.0,2
R-MAT.128.4.1.gexf,50,F,F
R-MAT.128.8.1.gexf,2,37.0,1
R-MAT.128.8.1.gexf,3,37.0,1
R-MAT.128.8.1.gexf,5,37.0,1
R-MAT.128.8.1.gexf,10,36.3,2
R-MAT.128.8.1.gexf,50,F,F
R-MAT.128.16.1.gexf,2,67.0,1
R-MAT.128.16.1.gexf,3,67.0,1
R-MAT.128.16.1.gexf,5,67.0,1
R-MAT.128.16.1.gexf,10,64.9,2
R-MAT.128.16.1.gexf,50,F,F
R-MAT.128.32.1.gexf,2,118.0,1
R-MAT.128.32.1.gexf,3,118.0,1
R-MAT.128.32.1.gexf,5,118.0,1
R-MAT.128.32.1.gexf,10,111.1,2
R-MAT.128.32.1.gexf,50,59.16000000000005,27
R-MAT.128.64.1.gexf,2,269.0,1
R-MAT.128.64.1.gexf,3,269.0,1
R-MAT.128.64.1.gexf,5,269.0,1
R-MAT.128.64.1.gexf,10,269.0,1
R-MAT.128.64.1.gexf,50,188.17241379310357,23
R-MAT.128.128.1.gexf,2,600.0,1
R-MAT.128.128.1.gexf,3,600.0,1
R-MAT.128.128.1.gexf,5,600.0,1
R-MAT.128.128.1.gexf,10,599.5,2
R-MAT.128.128.1.gexf,50,444.9310344827585,24
R-MAT.128.256.1.gexf,2,1119.0,1
R-MAT.128.256.1.gexf,3,1119.0,1
R-MAT.128.256.1.gexf,5,1119.0,1
R-MAT.128.256.1.gexf,10,1111.0,2
R-MAT.128.256.1.gexf,50,853.8857142857141,17
R-MAT.128.512.1.gexf,2,2275.0,1
R-MAT.128.512.1.gexf,3,2275.0,1
R-MAT.128.512.1.gexf,5,2275.0,1
R-MAT.128.512.1.gexf,10,2275.0,1
R-MAT.128.512.1.gexf,50,1727.999999999999,18
R-MAT.64.2.2.gexf,2,7.0,1
R-MAT.64.2.2.gexf,3,6.666666666666667,2
R-MAT.64.2.2.gexf,5,6.0,2
R-MAT.64.2.2.gexf,10,F,F
R-MAT.64.2.2.gexf,50,F,F
R-MAT.64.4.2.gexf,2,9.0,1
R-MAT.64.4.2.gexf,3,8.0,2
R-MAT.64.4.2.gexf,5,6.0,3
R-MAT.64.4.2.gexf,10,F,F
R-MAT.64.4.2.gexf,50,F,F
