path,k,max multirute flow,iterations
R-MAT.50.5.26.gexf,2,10.5,2
R-MAT.50.5.26.gexf,3,9.333333333333334,2
R-MAT.50.5.26.gexf,5,8.4,2
R-MAT.50.5.26.gexf,10,F,F
R-MAT.50.5.26.gexf,50,F,F
R-MAT.50.10.26.gexf,2,29.0,1
R-MAT.50.10.26.gexf,3,29.0,1
R-MAT.50.10.26.gexf,5,28.8,2
R-MAT.50.10.26.gexf,10,25.666666666666668,3
R-MAT.50.10.26.gexf,50,F,F
R-MAT.50.25.26.gexf,2,75.0,1
R-MAT.50.25.26.gexf,3,75.0,1
R-MAT.50.25.26.gexf,5,75.0,1
R-MAT.50.25.26.gexf,10,56.57142857142857,6
R-MAT.50.25.26.gexf,50,F,F
R-MAT.100.5.26.gexf,2,15.0,1
R-MAT.100.5.26.gexf,3,15.0,1
R-MAT.100.5.26.gexf,5,14.4,2
R-MAT.100.5.26.gexf,10,11.0,4
R-MAT.100.5.26.gexf,50,F,F
R-MAT.100.10.26.gexf,2,43.0,1
R-MAT.100.10.26.gexf,3,43.0,1
R-MAT.100.10.26.gexf,5,42.0,3
R-MAT.100.10.26.gexf,10,37.888888888888886,4
R-MAT.100.10.26.gexf,50,F,F
R-MAT.100.25.26.gexf,2,114.0,1
R-MAT.100.25.26.gexf,3,114.0,1
R-MAT.100.25.26.gexf,5,114.0,1
R-MAT.100.25.26.gexf,10,111.22222222222223,3
R-MAT.100.25.26.gexf,50,F,F
R-MAT.500.5.26.gexf,2,53.0,1
R-MAT.500.5.26.gexf,3,53.0,1
R-MAT.500.5.26.gexf,5,53.0,1
R-MAT.500.5.26.gexf,10,52.8,2
R-MAT.500.5.26.gexf,50,F,F
R-MAT.500.10.26.gexf,2,117.0,1
R-MAT.500.10.26.gexf,3,117.0,1
R-MAT.500.10.26.gexf,5,117.0,1
R-MAT.500.10.26.gexf,10,110.0,3
R-MAT.500.10.26.gexf,50,69.54545454545458,19
R-MAT.500.25.26.gexf,2,252.0,1
R-MAT.500.25.26.gexf,3,252.0,1
R-MAT.500.25.26.gexf,5,252.0,1
R-MAT.500.25.26.gexf,10,251.9,2
R-MAT.500.25.26.gexf,50,199.74999999999994,17
R-MAT.50.5.27.gexf,2,14.0,1
R-MAT.50.5.27.gexf,3,13.333333333333334,2
R-MAT.50.5.27.gexf,5,10.5,4
R-MAT.50.5.27.gexf,10,F,F
R-MAT.50.5.27.gexf,50,F,F
R-MAT.50.10.27.gexf,2,37.0,1
R-MAT.50.10.27.gexf,3,37.0,1
R-MAT.50.10.27.gexf,5,36.0,3
R-MAT.50.10.27.gexf,10,27.5,6
R-MAT.50.10.27.gexf,50,F,F
