path,edge connectivity,k,max multirute flow,iterations
R-MAT.64.2.51.gexf,1,6,7.0,1
R-MAT.64.2.51.gexf,2,6,7.0,1
R-MAT.64.2.51.gexf,3,6,6.666666666666667,2
R-MAT.64.2.51.gexf,4,6,6.25,2
R-MAT.64.2.51.gexf,5,6,6.0,2
R-MAT.64.4.51.gexf,1,10,12.0,1
R-MAT.64.4.51.gexf,2,10,12.0,1
R-MAT.64.4.51.gexf,3,10,12.0,1
R-MAT.64.4.51.gexf,4,10,12.0,1
R-MAT.64.4.51.gexf,5,10,12.0,1
R-MAT.64.4.51.gexf,6,10,11.2,4
R-MAT.64.4.51.gexf,7,10,10.666666666666666,3
R-MAT.64.4.51.gexf,8,10,10.285714285714285,3
R-MAT.64.4.51.gexf,9,10,10.0,3
R-MAT.64.8.51.gexf,1,15,18.0,1
R-MAT.64.8.51.gexf,2,15,18.0,1
R-MAT.64.8.51.gexf,3,15,18.0,1
R-MAT.64.8.51.gexf,4,15,18.0,1
R-MAT.64.8.51.gexf,5,15,18.0,1
R-MAT.64.8.51.gexf,6,15,18.0,1
R-MAT.64.8.51.gexf,7,15,18.0,1
R-MAT.64.8.51.gexf,8,15,18.0,1
R-MAT.64.8.51.gexf,9,15,17.142857142857142,4
R-MAT.64.8.51.gexf,10,15,16.5,4
R-MAT.64.8.51.gexf,11,15,16.0,4
R-MAT.64.8.51.gexf,12,15,15.6,4
R-MAT.64.8.51.gexf,13,15,15.272727272727273,4
R-MAT.64.8.51.gexf,14,15,15.0,4
R-MAT.64.16.51.gexf,1,28,57.0,1
R-MAT.64.16.51.gexf,2,28,57.0,1
R-MAT.64.16.51.gexf,3,28,57.0,1
R-MAT.64.16.51.gexf,4,28,57.0,1
R-MAT.64.16.51.gexf,5,28,57.0,1
R-MAT.64.16.51.gexf,6,28,57.0,1
R-MAT.64.16.51.gexf,7,28,57.0,1
R-MAT.64.16.51.gexf,8,28,57.0,1
R-MAT.64.16.51.gexf,9,28,57.0,1
R-MAT.64.16.51.gexf,10,28,57.0,1
R-MAT.64.16.51.gexf,11,28,56.72727272727273,5
R-MAT.64.16.51.gexf,12,28,56.33333333333333,2
R-MAT.64.16.51.gexf,13,28,56.0,2
R-MAT.64.16.51.gexf,14,28,54.54545454545454,6
R-MAT.64.16.51.gexf,15,28,53.33333333333334,5
R-MAT.64.16.51.gexf,16,28,52.3076923076923,5
R-MAT.64.16.51.gexf,17,28,50.399999999999984,10
R-MAT.64.16.51.gexf,18,28,48.36363636363637,9
R-MAT.64.16.51.gexf,19,28,46.66666666666667,9
R-MAT.64.16.51.gexf,20,28,45.230769230769226,9
R-MAT.64.16.51.gexf,21,28,44.0,10
R-MAT.64.16.51.gexf,22,28,39.42857142857143,18
R-MAT.64.16.51.gexf,23,28,36.0,18
R-MAT.64.16.51.gexf,24,28,33.33333333333333,17
R-MAT.64.16.51.gexf,25,28,31.19999999999999,19
R-MAT.64.16.51.gexf,26,28,29.454545454545443,18
R-MAT.64.16.51.gexf,27,28,27.999999999999996,17
R-MAT.64.32.51.gexf,1,40,99.0,1
R-MAT.64.32.51.gexf,2,40,99.0,1
R-MAT.64.32.51.gexf,3,40,99.0,1
R-MAT.64.32.51.gexf,4,40,99.0,1
R-MAT.64.32.51.gexf,5,40,99.0,1
R-MAT.64.32.51.gexf,6,40,99.0,1
R-MAT.64.32.51.gexf,7,40,99.0,1
R-MAT.64.32.51.gexf,8,40,99.0,1
R-MAT.64.32.51.gexf,9,40,99.0,1
R-MAT.64.32.51.gexf,10,40,99.0,1
R-MAT.64.32.51.gexf,11,40,99.0,1
R-MAT.64.32.51.gexf,12,40,98.0909090909091,3
R-MAT.64.32.51.gexf,13,40,96.72727272727272,5
R-MAT.64.32.51.gexf,14,40,94.99999999999999,4
