path,k,max multirute flow,iterations
Small.50.10.2.1.gexf,2,9.0,1
Small.50.10.2.1.gexf,3,9.0,1
Small.50.10.2.1.gexf,5,9.0,1
Small.50.10.2.1.gexf,10,F,F
Small.50.10.2.1.gexf,50,F,F
Small.50.10.5.1.gexf,2,9.0,1
Small.50.10.5.1.gexf,3,9.0,1
Small.50.10.5.1.gexf,5,9.0,1
Small.50.10.5.1.gexf,10,F,F
Small.50.10.5.1.gexf,50,F,F
Small.100.10.2.1.gexf,2,9.0,1
Small.100.10.2.1.gexf,3,9.0,1
Small.100.10.2.1.gexf,5,9.0,1
Small.100.10.2.1.gexf,10,F,F
Small.100.10.2.1.gexf,50,F,F
Small.100.10.5.1.gexf,2,9.0,1
Small.100.10.5.1.gexf,3,9.0,1
Small.100.10.5.1.gexf,5,9.0,1
Small.100.10.5.1.gexf,10,F,F
Small.100.10.5.1.gexf,50,F,F
Small.500.10.2.1.gexf,2,10.0,1
Small.500.10.2.1.gexf,3,10.0,1
Small.500.10.2.1.gexf,5,10.0,1
Small.500.10.2.1.gexf,10,F,F
Small.500.10.2.1.gexf,50,F,F
Small.500.10.5.1.gexf,2,8.0,1
Small.500.10.5.1.gexf,3,8.0,1
Small.500.10.5.1.gexf,5,8.0,1
Small.500.10.5.1.gexf,10,F,F
Small.500.10.5.1.gexf,50,F,F
