path,k,max multirute flow,iterations
Rand.Uni.50.5.1.gexf,2,1.6168913997092123,3
Rand.Uni.50.5.1.gexf,3,1.0779275998061417,3
Rand.Uni.50.5.1.gexf,5,0.6615080135583913,6
Rand.Uni.50.5.1.gexf,10,F,F
Rand.Uni.50.5.1.gexf,50,F,F
Rand.Uni.50.10.1.gexf,2,9.830713125706044,1
Rand.Uni.50.10.1.gexf,3,9.830713125706044,1
Rand.Uni.50.10.1.gexf,5,9.830713125706044,1
Rand.Uni.50.10.1.gexf,10,9.706253192891117,3
Rand.Uni.50.10.1.gexf,50,F,F
Rand.Uni.50.25.1.gexf,2,18.939785143232335,1
Rand.Uni.50.25.1.gexf,3,18.939785143232335,1
Rand.Uni.50.25.1.gexf,5,18.939785143232335,1
Rand.Uni.50.25.1.gexf,10,18.939785143232335,1
Rand.Uni.50.25.1.gexf,50,F,F
Rand.Uni.100.5.1.gexf,2,1.123156877924555,3
Rand.Uni.100.5.1.gexf,3,0.9983616692662712,2
Rand.Uni.100.5.1.gexf,5,0.37977885933600475,6
Rand.Uni.100.5.1.gexf,10,F,F
Rand.Uni.100.5.1.gexf,50,F,F
Rand.Uni.100.10.1.gexf,2,7.465740925480165,2
Rand.Uni.100.10.1.gexf,3,7.465740925480165,1
Rand.Uni.100.10.1.gexf,5,7.465740925480165,3
Rand.Uni.100.10.1.gexf,10,6.392157362490785,6
Rand.Uni.100.10.1.gexf,50,F,F
Rand.Uni.100.25.1.gexf,2,23.50385236609002,1
Rand.Uni.100.25.1.gexf,3,23.50385236609002,1
Rand.Uni.100.25.1.gexf,5,23.50385236609002,1
Rand.Uni.100.25.1.gexf,10,23.50385236609002,1
Rand.Uni.100.25.1.gexf,50,F,F
Rand.Uni.500.5.1.gexf,2,5.472203535752074,1
Rand.Uni.500.5.1.gexf,3,5.472203535752074,1
Rand.Uni.500.5.1.gexf,5,5.472203535752074,1
Rand.Uni.500.5.1.gexf,10,F,F
Rand.Uni.500.5.1.gexf,50,F,F
Rand.Uni.500.10.1.gexf,2,4.634213455317441,1
Rand.Uni.500.10.1.gexf,3,4.634213455317441,1
Rand.Uni.500.10.1.gexf,5,4.426220053943299,3
Rand.Uni.500.10.1.gexf,10,1.8481700247703234,10
Rand.Uni.500.10.1.gexf,50,F,F
Rand.Uni.500.25.1.gexf,2,14.860561531017401,1
Rand.Uni.500.25.1.gexf,3,14.860561531017401,1
Rand.Uni.500.25.1.gexf,5,14.860561531017401,1
Rand.Uni.500.25.1.gexf,10,14.860561531017401,1
Rand.Uni.500.25.1.gexf,50,F,F
Rand.Uni.1000.5.1.gexf,2,4.821185941157137,1
Rand.Uni.1000.5.1.gexf,3,4.821185941157137,1
Rand.Uni.1000.5.1.gexf,5,4.598787739505062,2
Rand.Uni.1000.5.1.gexf,10,F,F
Rand.Uni.1000.5.1.gexf,50,F,F
Rand.Uni.1000.10.1.gexf,2,8.627462848308621,1
Rand.Uni.1000.10.1.gexf,3,8.627462848308621,1
Rand.Uni.1000.10.1.gexf,5,8.627462848308621,1
Rand.Uni.1000.10.1.gexf,10,7.970179031040169,9
Rand.Uni.1000.10.1.gexf,50,F,F
Rand.Uni.1000.25.1.gexf,2,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,3,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,5,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,10,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,50,F,F
Rand.Uni.50.5.2.gexf,2,F,F
Rand.Uni.50.5.2.gexf,3,F,F
Rand.Uni.50.5.2.gexf,5,F,F
Rand.Uni.50.5.2.gexf,10,F,F
Rand.Uni.50.5.2.gexf,50,F,F
Rand.Uni.50.10.2.gexf,2,10.065049541384733,1
Rand.Uni.50.10.2.gexf,3,10.065049541384733,1
Rand.Uni.50.10.2.gexf,5,10.065049541384733,1
Rand.Uni.50.10.2.gexf,10,9.969830244776203,4
Rand.Uni.50.10.2.gexf,50,F,F
Rand.Uni.50.25.2.gexf,2,15.808432384543805,2
Rand.Uni.50.25.2.gexf,3,15.808432384543805,1
Rand.Uni.50.25.2.gexf,5,15.808432384543805,3
Rand.Uni.50.25.2.gexf,10,15.808432384543805,1
Rand.Uni.50.25.2.gexf,50,F,F
Rand.Uni.100.5.2.gexf,2,3.208296738476843,1
