path,k,max multirute flow,iterations
Rand.Uni.50.5.68.gexf,2,1.5192158847702153,2
Rand.Uni.50.5.68.gexf,3,1.092072012653567,4
Rand.Uni.50.5.68.gexf,5,0.28114936134832647,6
Rand.Uni.50.5.68.gexf,10,F,F
Rand.Uni.50.5.68.gexf,50,F,F
Rand.Uni.50.10.68.gexf,2,9.06152072074202,1
Rand.Uni.50.10.68.gexf,3,9.06152072074202,1
Rand.Uni.50.10.68.gexf,5,9.06152072074202,1
Rand.Uni.50.10.68.gexf,10,8.21569303905419,7
Rand.Uni.50.10.68.gexf,50,F,F
Rand.Uni.50.25.68.gexf,2,19.524081630367483,1
Rand.Uni.50.25.68.gexf,3,19.524081630367483,1
Rand.Uni.50.25.68.gexf,5,19.524081630367483,1
Rand.Uni.50.25.68.gexf,10,19.524081630367483,1
Rand.Uni.50.25.68.gexf,50,F,F
Rand.Uni.100.5.68.gexf,2,2.7213911092143066,2
Rand.Uni.100.5.68.gexf,3,2.419014319301606,2
Rand.Uni.100.5.68.gexf,5,1.415492505413423,5
Rand.Uni.100.5.68.gexf,10,F,F
Rand.Uni.100.5.68.gexf,50,F,F
Rand.Uni.100.10.68.gexf,2,10.64351317078376,1
Rand.Uni.100.10.68.gexf,3,10.64351317078376,1
Rand.Uni.100.10.68.gexf,5,10.64351317078376,1
Rand.Uni.100.10.68.gexf,10,10.64351317078376,1
Rand.Uni.100.10.68.gexf,50,F,F
Rand.Uni.100.25.68.gexf,2,19.958456797991694,1
Rand.Uni.100.25.68.gexf,3,19.958456797991694,1
Rand.Uni.100.25.68.gexf,5,19.958456797991694,1
Rand.Uni.100.25.68.gexf,10,19.958456797991694,1
Rand.Uni.100.25.68.gexf,50,F,F
Rand.Uni.500.5.68.gexf,2,3.486506601056891,1
Rand.Uni.500.5.68.gexf,3,3.486506601056891,1
Rand.Uni.500.5.68.gexf,5,1.8681387607029203,5
Rand.Uni.500.5.68.gexf,10,F,F
Rand.Uni.500.5.68.gexf,50,F,F
Rand.Uni.500.10.68.gexf,2,7.843043547176206,1
Rand.Uni.500.10.68.gexf,3,7.843043547176206,1
Rand.Uni.500.10.68.gexf,5,7.843043547176206,1
Rand.Uni.500.10.68.gexf,10,6.837139748406141,7
Rand.Uni.500.10.68.gexf,50,F,F
Rand.Uni.500.25.68.gexf,2,19.933321411895182,1
Rand.Uni.500.25.68.gexf,3,19.933321411895182,1
Rand.Uni.500.25.68.gexf,5,19.933321411895182,1
Rand.Uni.500.25.68.gexf,10,19.933321411895182,1
Rand.Uni.500.25.68.gexf,50,F,F
Rand.Uni.1000.5.68.gexf,2,0.7222851255176558,3
Rand.Uni.1000.5.68.gexf,3,0.4815234170117708,3
Rand.Uni.1000.5.68.gexf,5,F,F
Rand.Uni.1000.5.68.gexf,10,F,F
Rand.Uni.1000.5.68.gexf,50,F,F
Rand.Uni.1000.10.68.gexf,2,13.015820665458126,1
Rand.Uni.1000.10.68.gexf,3,13.015820665458126,1
Rand.Uni.1000.10.68.gexf,5,13.015820665458126,1
Rand.Uni.1000.10.68.gexf,10,13.015820665458126,1
Rand.Uni.1000.10.68.gexf,50,F,F
Rand.Uni.1000.25.68.gexf,2,23.239844702680887,1
Rand.Uni.1000.25.68.gexf,3,23.239844702680887,1
Rand.Uni.1000.25.68.gexf,5,23.239844702680887,1
Rand.Uni.1000.25.68.gexf,10,23.239844702680887,1
Rand.Uni.1000.25.68.gexf,50,F,F
Rand.Uni.50.5.69.gexf,2,4.858594848921307,1
Rand.Uni.50.5.69.gexf,3,4.858594848921307,1
Rand.Uni.50.5.69.gexf,5,4.745031572186119,3
Rand.Uni.50.5.69.gexf,10,F,F
Rand.Uni.50.5.69.gexf,50,F,F
Rand.Uni.50.10.69.gexf,2,9.626138250452238,1
Rand.Uni.50.10.69.gexf,3,9.626138250452238,1
Rand.Uni.50.10.69.gexf,5,9.626138250452238,1
Rand.Uni.50.10.69.gexf,10,9.446690707603558,3
Rand.Uni.50.10.69.gexf,50,F,F
Rand.Uni.50.25.69.gexf,2,17.161147552116873,1
Rand.Uni.50.25.69.gexf,3,17.161147552116873,1
Rand.Uni.50.25.69.gexf,5,17.161147552116873,1
Rand.Uni.50.25.69.gexf,10,17.161147552116873,1
Rand.Uni.50.25.69.gexf,50,F,F
Rand.Uni.100.5.69.gexf,2,4.151508355818255,1
Rand.Uni.100.5.69.gexf,3,4.151508355818255,1
Rand.Uni.100.5.69.gexf,5,0.9861801619316406,6
Rand.Uni.100.5.69.gexf,10,F,F
Rand.Uni.100.5.69.gexf,50,F,F
Rand.Uni.100.10.69.gexf,2,7.599187364111759,1
Rand.Uni.100.10.69.gexf,3,7.599187364111759,1
Rand.Uni.100.10.69.gexf,5,7.599187364111759,1
Rand.Uni.100.10.69.gexf,10,6.715601752381223,5
Rand.Uni.100.10.69.gexf,50,F,F
Rand.Uni.100.25.69.gexf,2,22.63780766479127,1
Rand.Uni.100.25.69.gexf,3,22.63780766479127,1
Rand.Uni.100.25.69.gexf,5,22.63780766479127,1
Rand.Uni.100.25.69.gexf,10,22.63780766479127,1
Rand.Uni.100.25.69.gexf,50,F,F
Rand.Uni.500.5.69.gexf,2,2.08487047643089,2
Rand.Uni.500.5.69.gexf,3,0.7420090649336943,4
Rand.Uni.500.5.69.gexf,5,F,F
Rand.Uni.500.5.69.gexf,10,F,F
Rand.Uni.500.5.69.gexf,50,F,F
Rand.Uni.500.10.69.gexf,2,9.86983318377032,1
Rand.Uni.500.10.69.gexf,3,9.86983318377032,1
Rand.Uni.500.10.69.gexf,5,9.86983318377032,1
Rand.Uni.500.10.69.gexf,10,9.784782708811349,2
Rand.Uni.500.10.69.gexf,50,F,F
Rand.Uni.500.25.69.gexf,2,24.1794948865984,1
Rand.Uni.500.25.69.gexf,3,24.1794948865984,1
Rand.Uni.500.25.69.gexf,5,24.1794948865984,1
Rand.Uni.500.25.69.gexf,10,24.1794948865984,1
Rand.Uni.500.25.69.gexf,50,5.291054551159462,45
Rand.Uni.1000.5.69.gexf,2,3.7284067725150347,1
Rand.Uni.1000.5.69.gexf,3,3.7284067725150347,1
Rand.Uni.1000.5.69.gexf,5,3.459189189179393,6
Rand.Uni.1000.5.69.gexf,10,F,F
Rand.Uni.1000.5.69.gexf,50,F,F
Rand.Uni.1000.10.69.gexf,2,8.995552351497787,1
Rand.Uni.1000.10.69.gexf,3,8.995552351497787,1
Rand.Uni.1000.10.69.gexf,5,8.995552351497787,1
Rand.Uni.1000.10.69.gexf,10,7.921267168489712,6
Rand.Uni.1000.10.69.gexf,50,F,F
Rand.Uni.1000.25.69.gexf,2,22.378096487364896,1
Rand.Uni.1000.25.69.gexf,3,22.378096487364896,1
Rand.Uni.1000.25.69.gexf,5,22.378096487364896,1
Rand.Uni.1000.25.69.gexf,10,22.378096487364896,1
Rand.Uni.1000.25.69.gexf,50,F,F
Rand.Uni.50.5.70.gexf,2,4.345842781978916,1
Rand.Uni.50.5.70.gexf,3,4.345842781978916,1
Rand.Uni.50.5.70.gexf,5,3.8687255537156378,5
Rand.Uni.50.5.70.gexf,10,F,F
Rand.Uni.50.5.70.gexf,50,F,F
Rand.Uni.50.10.70.gexf,2,5.152000705187567,1
Rand.Uni.50.10.70.gexf,3,5.152000705187567,1
Rand.Uni.50.10.70.gexf,5,5.152000705187565,2
Rand.Uni.50.10.70.gexf,10,3.355084469798255,9
Rand.Uni.50.10.70.gexf,50,F,F
Rand.Uni.50.25.70.gexf,2,15.737697232364525,1
Rand.Uni.50.25.70.gexf,3,15.737697232364525,1
Rand.Uni.50.25.70.gexf,5,15.737697232364525,1
Rand.Uni.50.25.70.gexf,10,15.737697232364525,1
Rand.Uni.50.25.70.gexf,50,F,F
Rand.Uni.100.5.70.gexf,2,4.147548417428899,1
Rand.Uni.100.5.70.gexf,3,4.147548417428899,1
Rand.Uni.100.5.70.gexf,5,3.3743016011400155,4
Rand.Uni.100.5.70.gexf,10,F,F
Rand.Uni.100.5.70.gexf,50,F,F
Rand.Uni.100.10.70.gexf,2,8.086493298088426,1
Rand.Uni.100.10.70.gexf,3,8.086493298088426,1
Rand.Uni.100.10.70.gexf,5,8.086493298088426,1
Rand.Uni.100.10.70.gexf,10,6.864591507963,6
Rand.Uni.100.10.70.gexf,50,F,F
Rand.Uni.100.25.70.gexf,2,17.22347982192362,1
Rand.Uni.100.25.70.gexf,3,17.22347982192362,1
Rand.Uni.100.25.70.gexf,5,17.22347982192362,1
Rand.Uni.100.25.70.gexf,10,17.22347982192362,1
Rand.Uni.100.25.70.gexf,50,F,F
Rand.Uni.500.5.70.gexf,2,3.484429233964039,1
Rand.Uni.500.5.70.gexf,3,3.258879800817433,3
