path,k,max multirute flow,iterations
Rand.Uni.50.5.1.gexf,2,1.6168913997092123,3
Rand.Uni.50.5.1.gexf,3,1.0779275998061417,3
Rand.Uni.50.5.1.gexf,5,0.6615080135583913,6
Rand.Uni.50.5.1.gexf,10,F,F
Rand.Uni.50.5.1.gexf,50,F,F
Rand.Uni.50.10.1.gexf,2,9.830713125706048,1
Rand.Uni.50.10.1.gexf,3,9.830713125706048,1
Rand.Uni.50.10.1.gexf,5,9.830713125706048,1
Rand.Uni.50.10.1.gexf,10,9.70625319289112,4
Rand.Uni.50.10.1.gexf,50,F,F
Rand.Uni.50.25.1.gexf,2,18.93978514323233,1
Rand.Uni.50.25.1.gexf,3,18.93978514323233,1
Rand.Uni.50.25.1.gexf,5,18.93978514323233,1
Rand.Uni.50.25.1.gexf,10,18.93978514323233,1
Rand.Uni.50.25.1.gexf,50,F,F
Rand.Uni.100.5.1.gexf,2,1.123156877924555,2
Rand.Uni.100.5.1.gexf,3,0.9983616692662713,2
Rand.Uni.100.5.1.gexf,5,0.37977885933600475,6
Rand.Uni.100.5.1.gexf,10,F,F
Rand.Uni.100.5.1.gexf,50,F,F
Rand.Uni.100.10.1.gexf,2,7.465740925480164,1
Rand.Uni.100.10.1.gexf,3,7.465740925480164,1
Rand.Uni.100.10.1.gexf,5,7.465740925480164,1
Rand.Uni.100.10.1.gexf,10,6.392157362490786,5
Rand.Uni.100.10.1.gexf,50,F,F
Rand.Uni.100.25.1.gexf,2,23.50385236609001,1
Rand.Uni.100.25.1.gexf,3,23.50385236609001,1
Rand.Uni.100.25.1.gexf,5,23.50385236609001,1
Rand.Uni.100.25.1.gexf,10,23.50385236609001,1
Rand.Uni.100.25.1.gexf,50,F,F
Rand.Uni.500.5.1.gexf,2,5.472203535752075,1
Rand.Uni.500.5.1.gexf,3,5.472203535752075,1
Rand.Uni.500.5.1.gexf,5,5.472203535752076,1
Rand.Uni.500.5.1.gexf,10,F,F
Rand.Uni.500.5.1.gexf,50,F,F
Rand.Uni.500.10.1.gexf,2,4.634213455317443,1
Rand.Uni.500.10.1.gexf,3,4.634213455317443,1
Rand.Uni.500.10.1.gexf,5,4.426220053943301,2
Rand.Uni.500.10.1.gexf,10,1.8481700247703245,10
Rand.Uni.500.10.1.gexf,50,F,F
Rand.Uni.500.25.1.gexf,2,14.8605615310174,1
Rand.Uni.500.25.1.gexf,3,14.8605615310174,1
Rand.Uni.500.25.1.gexf,5,14.8605615310174,1
Rand.Uni.500.25.1.gexf,10,14.8605615310174,1
Rand.Uni.500.25.1.gexf,50,F,F
Rand.Uni.1000.5.1.gexf,2,4.821185941157137,1
Rand.Uni.1000.5.1.gexf,3,4.821185941157137,1
Rand.Uni.1000.5.1.gexf,5,4.598787739505064,2
Rand.Uni.1000.5.1.gexf,10,F,F
Rand.Uni.1000.5.1.gexf,50,F,F
Rand.Uni.1000.10.1.gexf,2,8.627462848308621,1
Rand.Uni.1000.10.1.gexf,3,8.627462848308621,1
Rand.Uni.1000.10.1.gexf,5,8.627462848308621,1
Rand.Uni.1000.10.1.gexf,10,7.9701790310401694,9
Rand.Uni.1000.10.1.gexf,50,F,F
,F,F
Rand.Uni.1000.25.1.gexf,2,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,3,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,5,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,10,19.709527780538927,1
Rand.Uni.1000.25.1.gexf,50,F,F
Rand.Uni.50.5.2.gexf,2,F,F
Rand.Uni.50.5.2.gexf,3,F,F
Rand.Uni.50.5.2.gexf,5,F,F
Rand.Uni.50.5.2.gexf,10,F,F
Rand.Uni.50.5.2.gexf,50,F,F
Rand.Uni.50.10.2.gexf,2,10.065049541384731,1
Rand.Uni.50.10.2.gexf,3,10.065049541384731,1
Rand.Uni.50.10.2.gexf,5,10.065049541384731,1
Rand.Uni.50.10.2.gexf,10,9.969830244776203,5
Rand.Uni.50.10.2.gexf,50,F,F
Rand.Uni.50.25.2.gexf,2,15.8084323845438,1
Rand.Uni.50.25.2.gexf,3,15.8084323845438,1
Rand.Uni.50.25.2.gexf,5,15.8084323845438,1
Rand.Uni.50.25.2.gexf,10,15.8084323845438,1
Rand.Uni.50.25.2.gexf,50,F,F
Rand.Uni.100.5.2.gexf,2,3.2082967384768417,1
