path,k,max multirute flow,iterations
Rand.Uni.50.5.26.gexf,2,4.010837438375473,1
Rand.Uni.50.5.26.gexf,3,4.010837438375473,1
Rand.Uni.50.5.26.gexf,5,3.604833259018264,4
Rand.Uni.50.5.26.gexf,10,F,F
Rand.Uni.50.5.26.gexf,50,F,F
Rand.Uni.50.10.26.gexf,2,6.141006988296266,1
Rand.Uni.50.10.26.gexf,3,6.141006988296266,1
Rand.Uni.50.10.26.gexf,5,6.141006988296266,1
Rand.Uni.50.10.26.gexf,10,3.3499475120539297,10
Rand.Uni.50.10.26.gexf,50,F,F
Rand.Uni.50.25.26.gexf,2,16.80875278625875,1
Rand.Uni.50.25.26.gexf,3,16.80875278625875,1
Rand.Uni.50.25.26.gexf,5,16.80875278625875,1
Rand.Uni.50.25.26.gexf,10,16.80875278625875,1
Rand.Uni.50.25.26.gexf,50,F,F
Rand.Uni.100.5.26.gexf,2,3.0872456899505596,1
Rand.Uni.100.5.26.gexf,3,2.9216795230397383,2
Rand.Uni.100.5.26.gexf,5,2.3943087561547953,4
Rand.Uni.100.5.26.gexf,10,F,F
Rand.Uni.100.5.26.gexf,50,F,F
Rand.Uni.100.10.26.gexf,2,7.453142112690916,1
Rand.Uni.100.10.26.gexf,3,7.453142112690916,1
Rand.Uni.100.10.26.gexf,5,7.453142112690916,1
Rand.Uni.100.10.26.gexf,10,6.82487519749185,7
Rand.Uni.100.10.26.gexf,50,F,F
Rand.Uni.100.25.26.gexf,2,23.835278606661923,1
Rand.Uni.100.25.26.gexf,3,23.835278606661923,1
Rand.Uni.100.25.26.gexf,5,23.835278606661923,1
Rand.Uni.100.25.26.gexf,10,23.835278606661923,1
Rand.Uni.100.25.26.gexf,50,F,F
Rand.Uni.500.5.26.gexf,2,3.503578167962738,1
Rand.Uni.500.5.26.gexf,3,3.503578167962738,1
Rand.Uni.500.5.26.gexf,5,1.8867691447626136,6
Rand.Uni.500.5.26.gexf,10,F,F
Rand.Uni.500.5.26.gexf,50,F,F
Rand.Uni.500.10.26.gexf,2,10.928941461656706,1
Rand.Uni.500.10.26.gexf,3,10.928941461656706,1
Rand.Uni.500.10.26.gexf,5,10.928941461656706,1
Rand.Uni.500.10.26.gexf,10,10.928941461656706,1
Rand.Uni.500.10.26.gexf,50,F,F
Rand.Uni.500.25.26.gexf,2,20.342470422377204,1
Rand.Uni.500.25.26.gexf,3,20.342470422377204,1
Rand.Uni.500.25.26.gexf,5,20.342470422377204,1
Rand.Uni.500.25.26.gexf,10,20.342470422377204,1
Rand.Uni.500.25.26.gexf,50,F,F
Rand.Uni.50.5.27.gexf,2,4.395610902466588,1
Rand.Uni.50.5.27.gexf,3,4.395610902466588,1
Rand.Uni.50.5.27.gexf,5,4.024074853422381,4
Rand.Uni.50.5.27.gexf,10,F,F
Rand.Uni.50.5.27.gexf,50,F,F
Rand.Uni.50.10.27.gexf,2,7.0117666036385975,1
Rand.Uni.50.10.27.gexf,3,7.0117666036385975,1
Rand.Uni.50.10.27.gexf,5,7.0117666036385975,1
Rand.Uni.50.10.27.gexf,10,5.3253232308284915,9
Rand.Uni.50.10.27.gexf,50,F,F
Rand.Uni.50.25.27.gexf,2,18.94116634820996,1
Rand.Uni.50.25.27.gexf,3,18.94116634820996,1
Rand.Uni.50.25.27.gexf,5,18.94116634820996,1
Rand.Uni.50.25.27.gexf,10,18.94116634820996,1
Rand.Uni.50.25.27.gexf,50,F,F
Rand.Uni.100.5.27.gexf,2,4.505104320025642,1
Rand.Uni.100.5.27.gexf,3,4.505104320025642,1
Rand.Uni.100.5.27.gexf,5,4.151932194702728,5
Rand.Uni.100.5.27.gexf,10,F,F
Rand.Uni.100.5.27.gexf,50,F,F
Rand.Uni.100.10.27.gexf,2,10.040529553350954,1
Rand.Uni.100.10.27.gexf,3,10.040529553350954,1
Rand.Uni.100.10.27.gexf,5,10.040529553350954,1
Rand.Uni.100.10.27.gexf,10,10.040529553350954,1
Rand.Uni.100.10.27.gexf,50,F,F
Rand.Uni.100.25.27.gexf,2,22.524627503674534,1
Rand.Uni.100.25.27.gexf,3,22.524627503674534,1
Rand.Uni.100.25.27.gexf,5,22.524627503674534,1
Rand.Uni.100.25.27.gexf,10,22.524627503674534,1
Rand.Uni.100.25.27.gexf,50,F,F
Rand.Uni.500.5.27.gexf,2,3.883479826243778,2
Rand.Uni.500.5.27.gexf,3,3.883479826243778,1
Rand.Uni.500.5.27.gexf,5,2.4259349356264224,6
Rand.Uni.500.5.27.gexf,10,F,F
Rand.Uni.500.5.27.gexf,50,F,F
Rand.Uni.500.10.27.gexf,2,9.320066618711945,1
Rand.Uni.500.10.27.gexf,3,9.320066618711945,1
Rand.Uni.500.10.27.gexf,5,9.320066618711945,1
