path,k,max multirute flow,iterations
Small.50.6.2.1.gexf,2,6.0,1
Small.50.6.2.1.gexf,3,6.0,1
Small.50.6.2.1.gexf,5,6.0,1
Small.50.6.2.1.gexf,10,F,F
Small.50.6.2.1.gexf,50,F,F
Small.50.6.5.1.gexf,2,5.0,1
Small.50.6.5.1.gexf,3,5.0,1
Small.50.6.5.1.gexf,5,F,F
Small.50.6.5.1.gexf,10,F,F
Small.50.6.5.1.gexf,50,F,F
Small.50.10.2.1.gexf,2,9.0,1
Small.50.10.2.1.gexf,3,9.0,1
Small.50.10.2.1.gexf,5,9.0,1
Small.50.10.2.1.gexf,10,F,F
Small.50.10.2.1.gexf,50,F,F
Small.50.10.5.1.gexf,2,9.0,1
Small.50.10.5.1.gexf,3,9.0,1
Small.50.10.5.1.gexf,5,9.0,1
Small.50.10.5.1.gexf,10,F,F
Small.50.10.5.1.gexf,50,F,F
Small.50.24.2.1.gexf,2,21.0,1
Small.50.24.2.1.gexf,3,21.0,1
Small.50.24.2.1.gexf,5,21.0,1
Small.50.24.2.1.gexf,10,21.0,1
Small.50.24.2.1.gexf,50,F,F
Small.50.24.5.1.gexf,2,24.0,1
Small.50.24.5.1.gexf,3,24.0,1
Small.50.24.5.1.gexf,5,24.0,1
Small.50.24.5.1.gexf,10,24.0,1
Small.50.24.5.1.gexf,50,F,F
R-MAT.50.5.1.gexf,2,14.0,1
R-MAT.50.5.1.gexf,3,14.0,1
R-MAT.50.5.1.gexf,5,14.0,1
R-MAT.50.5.1.gexf,10,F,F
R-MAT.50.5.1.gexf,50,F,F
R-MAT.50.10.1.gexf,2,25.0,1
R-MAT.50.10.1.gexf,3,25.0,1
R-MAT.50.10.1.gexf,5,25.0,1
R-MAT.50.10.1.gexf,10,22.0,4
R-MAT.50.10.1.gexf,50,F,F
R-MAT.50.25.1.gexf,2,70.0,1
R-MAT.50.25.1.gexf,3,70.0,1
R-MAT.50.25.1.gexf,5,70.0,1
R-MAT.50.25.1.gexf,10,64.42857142857143,5
R-MAT.50.25.1.gexf,50,F,F
Complete.50.1.1.gexf,2,24.0950247029912,1
Complete.50.1.1.gexf,3,24.0950247029912,1
Complete.50.1.1.gexf,5,24.0950247029912,1
Complete.50.1.1.gexf,10,24.0950247029912,1
Complete.50.1.1.gexf,50,F,F
Complete.50.20.1.gexf,2,446,1
Complete.50.20.1.gexf,3,446,1
Complete.50.20.1.gexf,5,446,1
Complete.50.20.1.gexf,10,446,1
Complete.50.20.1.gexf,50,F,F
Rand.Uni.50.5.1.gexf,2,1.6168913997092123,3
Rand.Uni.50.5.1.gexf,3,1.0779275998061417,3
Rand.Uni.50.5.1.gexf,5,0.6615080135583913,6
Rand.Uni.50.5.1.gexf,10,F,F
Rand.Uni.50.5.1.gexf,50,F,F
Rand.Uni.50.10.1.gexf,2,9.830713125706044,1
Rand.Uni.50.10.1.gexf,3,9.830713125706044,1
Rand.Uni.50.10.1.gexf,5,9.830713125706044,1
Rand.Uni.50.10.1.gexf,10,9.706253192891118,3
Rand.Uni.50.10.1.gexf,50,F,F
Rand.Uni.50.25.1.gexf,2,18.93978514323233,1
Rand.Uni.50.25.1.gexf,3,18.93978514323233,1
Rand.Uni.50.25.1.gexf,5,18.93978514323233,1
Rand.Uni.50.25.1.gexf,10,18.93978514323233,1
Rand.Uni.50.25.1.gexf,50,F,F
Rand.Exp.50.5.1.gexf,2,4.475046880646631,1
Rand.Exp.50.5.1.gexf,3,4.044050256858608,3
Rand.Exp.50.5.1.gexf,5,2.6536953625525475,5
Rand.Exp.50.5.1.gexf,10,F,F
Rand.Exp.50.5.1.gexf,50,F,F
Rand.Exp.50.10.1.gexf,2,5.379535002996628,2
Rand.Exp.50.10.1.gexf,3,5.2888667491892996,2
Rand.Exp.50.10.1.gexf,5,4.75998007427037,2
Rand.Exp.50.10.1.gexf,10,2.466561246170338,9
Rand.Exp.50.10.1.gexf,50,F,F
Rand.Exp.50.25.1.gexf,2,21.05530685236835,1
Rand.Exp.50.25.1.gexf,3,21.05530685236835,1
Rand.Exp.50.25.1.gexf,5,21.05530685236835,1
Rand.Exp.50.25.1.gexf,10,20.470239635666736,3
Rand.Exp.50.25.1.gexf,50,F,F
Rand.Gauss01.50.5.1.gexf,2,3.6837552863112237,1
Rand.Gauss01.50.5.1.gexf,3,3.6837552863112237,1
Rand.Gauss01.50.5.1.gexf,5,3.5219077592933696,3
Rand.Gauss01.50.5.1.gexf,10,F,F
Rand.Gauss01.50.5.1.gexf,50,F,F
Rand.Gauss01.50.10.1.gexf,2,8.862744993405606,1
Rand.Gauss01.50.10.1.gexf,3,8.862744993405606,1
Rand.Gauss01.50.10.1.gexf,5,8.862744993405606,1
Rand.Gauss01.50.10.1.gexf,10,8.862744993405606,1
Rand.Gauss01.50.10.1.gexf,50,F,F
Rand.Gauss01.50.25.1.gexf,2,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,3,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,5,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,10,18.31219560433308,1
Rand.Gauss01.50.25.1.gexf,50,F,F
Rand.Gauss025.50.5.1.gexf,2,2.503204632860383,1
Rand.Gauss025.50.5.1.gexf,3,2.503204632860383,1
Rand.Gauss025.50.5.1.gexf,5,1.8667720660697267,6
Rand.Gauss025.50.5.1.gexf,10,F,F
Rand.Gauss025.50.5.1.gexf,50,F,F
Rand.Gauss025.50.10.1.gexf,2,9.634516241492074,1
Rand.Gauss025.50.10.1.gexf,3,9.634516241492074,1
Rand.Gauss025.50.10.1.gexf,5,9.634516241492074,1
Rand.Gauss025.50.10.1.gexf,10,8.821092113914347,6
Rand.Gauss025.50.10.1.gexf,50,F,F
Rand.Gauss025.50.25.1.gexf,2,20.4309381903224,1
Rand.Gauss025.50.25.1.gexf,3,20.4309381903224,1
Rand.Gauss025.50.25.1.gexf,5,20.4309381903224,1
Rand.Gauss025.50.25.1.gexf,10,20.4309381903224,1
Rand.Gauss025.50.25.1.gexf,50,F,F
Small.100.6.2.1.gexf,2,5.0,1
Small.100.6.2.1.gexf,3,5.0,1
Small.100.6.2.1.gexf,5,F,F
Small.100.6.2.1.gexf,10,F,F
Small.100.6.2.1.gexf,50,F,F
Small.100.6.5.1.gexf,2,6.0,1
Small.100.6.5.1.gexf,3,6.0,1
Small.100.6.5.1.gexf,5,6.0,1
Small.100.6.5.1.gexf,10,F,F
Small.100.6.5.1.gexf,50,F,F
Small.100.10.2.1.gexf,2,9.0,1
Small.100.10.2.1.gexf,3,9.0,1
Small.100.10.2.1.gexf,5,9.0,1
Small.100.10.2.1.gexf,10,F,F
