construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,Complete.1000.1.1.gexf,1000,999000,2,1,"[999, 999, 999, 999]",504.6840311703271,502.68784861944613,502.68784861944613,inf,1,0,0,0,0,"[504.6840311703271, 502.68784861944613]"
cut,cap,first,Complete.1000.1.1.gexf,1000,999000,3,2,"[999, 999, 999, 999]",504.6840311703271,499.6971386834055,499.6971386834055,inf,1,0,0,0,0,"[504.6840311703271, 499.6971386834055]"
cut,cap,first,Complete.1000.1.1.gexf,1000,999000,5,3,"[999, 999, 999, 999]",504.6840311703271,494.7383846168054,494.7383846168054,inf,1,0,0,0,0,"[504.6840311703271, 494.7383846168054]"
cut,cap,first,Complete.1000.1.1.gexf,1000,999000,10,4,"[999, 999, 999, 999]",504.6840311703271,484.8872206539755,484.8872206539755,inf,1,0,0,0,0,"[504.6840311703271, 484.8872206539755]"
cut,cap,first,Complete.1000.1.1.gexf,1000,999000,50,5,"[999, 999, 999, 999]",504.6840311703271,437.32732473508423,437.32732473508423,inf,1,0,0,0,0,"[504.6840311703271, 437.32732473508423]"
cut,cap,first,Complete.1000.20.1.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9964,9926,9926,inf,1,0,0,0,0,"[9964, 9926]"
cut,cap,first,Complete.1000.20.1.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9964,9869,9869,inf,1,0,0,0,0,"[9964, 9869]"
cut,cap,first,Complete.1000.20.1.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9964,9774,9774,inf,1,0,0,0,0,"[9964, 9774]"
cut,cap,first,Complete.1000.20.1.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9964,9584,9584,inf,1,0,0,0,0,"[9964, 9584]"
cut,cap,first,Complete.1000.20.1.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9964,8651,8651,inf,1,0,0,0,0,"[9964, 8651]"
cut,cap,first,Complete.1000.1.2.gexf,1000,999000,2,1,"[999, 999, 999, 999]",492.52483457067274,490.5256044255961,490.5256044255961,inf,1,0,0,0,0,"[492.52483457067274, 490.5256044255961]"
cut,cap,first,Complete.1000.1.2.gexf,1000,999000,3,2,"[999, 999, 999, 999]",492.52483457067274,487.528166246005,487.528166246005,inf,1,0,0,0,0,"[492.52483457067274, 487.528166246005]"
cut,cap,first,Complete.1000.1.2.gexf,1000,999000,5,3,"[999, 999, 999, 999]",492.52483457067274,482.55070581413963,482.55070581413963,inf,1,0,0,0,0,"[492.52483457067274, 482.55070581413963]"
cut,cap,first,Complete.1000.1.2.gexf,1000,999000,10,4,"[999, 999, 999, 999]",492.52483457067274,472.670634170521,472.670634170521,inf,1,0,0,0,0,"[492.52483457067274, 472.670634170521]"
cut,cap,first,Complete.1000.1.2.gexf,1000,999000,50,5,"[999, 999, 999, 999]",492.52483457067274,424.96048698545815,424.96048698545815,inf,1,0,0,0,0,"[492.52483457067274, 424.96048698545815]"
cut,cap,first,Complete.1000.20.2.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9860,9822,9822,inf,1,0,0,0,0,"[9860, 9822]"
cut,cap,first,Complete.1000.20.2.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9860,9765,9765,inf,1,0,0,0,0,"[9860, 9765]"
cut,cap,first,Complete.1000.20.2.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9860,9670,9670,inf,1,0,0,0,0,"[9860, 9670]"
cut,cap,first,Complete.1000.20.2.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9860,9480,9480,inf,1,0,0,0,0,"[9860, 9480]"
cut,cap,first,Complete.1000.20.2.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9860,8556,8556,inf,1,0,0,0,0,"[9860, 8556]"
cut,cap,first,Complete.1000.1.3.gexf,1000,999000,2,1,"[999, 999, 999, 999]",489.121304456693,487.1223187985745,487.1223187985745,inf,1,0,0,0,0,"[489.121304456693, 487.1223187985745]"
cut,cap,first,Complete.1000.1.3.gexf,1000,999000,3,2,"[999, 999, 999, 999]",489.121304456693,484.1319946121643,484.1319946121643,inf,1,0,0,0,0,"[489.121304456693, 484.1319946121643]"
cut,cap,first,Complete.1000.1.3.gexf,1000,999000,5,3,"[999, 999, 999, 999]",489.121304456693,479.18272917620175,479.18272917620175,inf,1,0,0,0,0,"[489.121304456693, 479.18272917620175]"
cut,cap,first,Complete.1000.1.3.gexf,1000,999000,10,4,"[999, 999, 999, 999]",489.121304456693,469.3581454713785,469.3581454713785,inf,1,0,0,0,0,"[489.121304456693, 469.3581454713785]"
cut,cap,first,Complete.1000.1.3.gexf,1000,999000,50,5,"[999, 999, 999, 999]",489.121304456693,421.77450539780864,421.77450539780864,inf,1,0,0,0,0,"[489.121304456693, 421.77450539780864]"
cut,cap,first,Complete.1000.20.3.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9934,9896,9896,inf,1,0,0,0,0,"[9934, 9896]"
cut,cap,first,Complete.1000.20.3.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9934,9839,9839,inf,1,0,0,0,0,"[9934, 9839]"
cut,cap,first,Complete.1000.20.3.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9934,9744,9744,inf,1,0,0,0,0,"[9934, 9744]"
cut,cap,first,Complete.1000.20.3.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9934,9554,9554,inf,1,0,0,0,0,"[9934, 9554]"
cut,cap,first,Complete.1000.20.3.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9934,8610,8610,inf,1,0,0,0,0,"[9934, 8610]"
cut,cap,first,Complete.1000.1.4.gexf,1000,999000,2,1,"[999, 999, 999, 999]",498.68392839911075,496.68708488773433,496.68708488773433,inf,1,0,0,0,0,"[498.68392839911075, 496.68708488773433]"
cut,cap,first,Complete.1000.1.4.gexf,1000,999000,3,2,"[999, 999, 999, 999]",498.68392839911075,493.7070690392759,493.7070690392759,inf,1,0,0,0,0,"[498.68392839911075, 493.7070690392759]"
cut,cap,first,Complete.1000.1.4.gexf,1000,999000,5,3,"[999, 999, 999, 999]",498.68392839911075,488.7607899247283,488.7607899247283,inf,1,0,0,0,0,"[498.68392839911075, 488.7607899247283]"
cut,cap,first,Complete.1000.1.4.gexf,1000,999000,10,4,"[999, 999, 999, 999]",498.68392839911075,478.9377305126403,478.9377305126403,inf,1,0,0,0,0,"[498.68392839911075, 478.9377305126403]"
cut,cap,first,Complete.1000.1.4.gexf,1000,999000,50,5,"[999, 999, 999, 999]",498.68392839911075,431.40979136444025,431.40979136444025,inf,1,0,0,0,0,"[498.68392839911075, 431.40979136444025]"
cut,cap,first,Complete.1000.20.4.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9760,9722,9722,inf,1,0,0,0,0,"[9760, 9722]"
cut,cap,first,Complete.1000.20.4.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9760,9665,9665,inf,1,0,0,0,0,"[9760, 9665]"
cut,cap,first,Complete.1000.20.4.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9760,9570,9570,inf,1,0,0,0,0,"[9760, 9570]"
cut,cap,first,Complete.1000.20.4.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9760,9380,9380,inf,1,0,0,0,0,"[9760, 9380]"
cut,cap,first,Complete.1000.20.4.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9760,8441,8441,inf,1,0,0,0,0,"[9760, 8441]"
cut,cap,first,Complete.1000.1.5.gexf,1000,999000,2,1,"[999, 999, 999, 999]",506.2484090009397,504.24924572636735,504.24924572636735,inf,1,0,0,0,0,"[506.2484090009397, 504.24924572636735]"
cut,cap,first,Complete.1000.1.5.gexf,1000,999000,3,2,"[999, 999, 999, 999]",506.2484090009397,501.2606836044443,501.2606836044443,inf,1,0,0,0,0,"[506.2484090009397, 501.2606836044443]"
cut,cap,first,Complete.1000.1.5.gexf,1000,999000,5,3,"[999, 999, 999, 999]",506.2484090009397,496.30404386754407,496.30404386754407,inf,1,0,0,0,0,"[506.2484090009397, 496.30404386754407]"
cut,cap,first,Complete.1000.1.5.gexf,1000,999000,10,4,"[999, 999, 999, 999]",506.2484090009397,486.4746597863546,486.4746597863546,inf,1,0,0,0,0,"[506.2484090009397, 486.4746597863546]"
cut,cap,first,Complete.1000.1.5.gexf,1000,999000,50,5,"[999, 999, 999, 999]",506.2484090009397,438.62100516671956,438.62100516671956,inf,1,0,0,0,0,"[506.2484090009397, 438.62100516671956]"
cut,cap,first,Complete.1000.20.5.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9690,9652,9652,inf,1,0,0,0,0,"[9690, 9652]"
cut,cap,first,Complete.1000.20.5.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9690,9595,9595,inf,1,0,0,0,0,"[9690, 9595]"
cut,cap,first,Complete.1000.20.5.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9690,9500,9500,inf,1,0,0,0,0,"[9690, 9500]"
cut,cap,first,Complete.1000.20.5.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9690,9310,9310,inf,1,0,0,0,0,"[9690, 9310]"
cut,cap,first,Complete.1000.20.5.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9690,8386,8386,inf,1,0,0,0,0,"[9690, 8386]"
cut,cap,first,Complete.1000.1.6.gexf,1000,999000,2,1,"[999, 999, 999, 999]",488.11920182700703,486.1203898594983,486.1203898594983,inf,1,0,0,0,0,"[488.11920182700703, 486.1203898594983]"
cut,cap,first,Complete.1000.1.6.gexf,1000,999000,3,2,"[999, 999, 999, 999]",488.11920182700703,483.1339770042086,483.1339770042086,inf,1,0,0,0,0,"[488.11920182700703, 483.1339770042086]"
cut,cap,first,Complete.1000.1.6.gexf,1000,999000,5,3,"[999, 999, 999, 999]",488.11920182700703,478.1760101714514,478.1760101714514,inf,1,0,0,0,0,"[488.11920182700703, 478.1760101714514]"
cut,cap,first,Complete.1000.1.6.gexf,1000,999000,10,4,"[999, 999, 999, 999]",488.11920182700703,468.33613484366884,468.33613484366884,inf,1,0,0,0,0,"[488.11920182700703, 468.33613484366884]"
cut,cap,first,Complete.1000.1.6.gexf,1000,999000,50,5,"[999, 999, 999, 999]",488.11920182700703,420.2450963873201,420.2450963873201,inf,1,0,0,0,0,"[488.11920182700703, 420.2450963873201]"
cut,cap,first,Complete.1000.20.6.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9802,9764,9764,inf,1,0,0,0,0,"[9802, 9764]"
cut,cap,first,Complete.1000.20.6.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9802,9707,9707,inf,1,0,0,0,0,"[9802, 9707]"
cut,cap,first,Complete.1000.20.6.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9802,9612,9612,inf,1,0,0,0,0,"[9802, 9612]"
cut,cap,first,Complete.1000.20.6.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9802,9422,9422,inf,1,0,0,0,0,"[9802, 9422]"
cut,cap,first,Complete.1000.20.6.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9802,8492,8492,inf,1,0,0,0,0,"[9802, 8492]"
cut,cap,first,Complete.1000.1.7.gexf,1000,999000,2,1,"[999, 999, 999, 999]",497.0334036399743,495.0362778192463,495.0362778192463,inf,1,0,0,0,0,"[497.0334036399743, 495.0362778192463]"
cut,cap,first,Complete.1000.1.7.gexf,1000,999000,3,2,"[999, 999, 999, 999]",497.0334036399743,492.04586105404536,492.04586105404536,inf,1,0,0,0,0,"[497.0334036399743, 492.04586105404536]"
cut,cap,first,Complete.1000.1.7.gexf,1000,999000,5,3,"[999, 999, 999, 999]",497.0334036399743,487.08600530046846,487.08600530046846,inf,1,0,0,0,0,"[497.0334036399743, 487.08600530046846]"
cut,cap,first,Complete.1000.1.7.gexf,1000,999000,10,4,"[999, 999, 999, 999]",497.0334036399743,477.20919556283496,477.20919556283496,inf,1,0,0,0,0,"[497.0334036399743, 477.20919556283496]"
cut,cap,first,Complete.1000.1.7.gexf,1000,999000,50,5,"[999, 999, 999, 999]",497.0334036399743,429.2471444615173,429.2471444615173,inf,1,0,0,0,0,"[497.0334036399743, 429.2471444615173]"
cut,cap,first,Complete.1000.20.7.gexf,1000,999000,2,1,"[999, 999, 999, 999]",9609,9571,9571,inf,1,0,0,0,0,"[9609, 9571]"
cut,cap,first,Complete.1000.20.7.gexf,1000,999000,3,2,"[999, 999, 999, 999]",9609,9514,9514,inf,1,0,0,0,0,"[9609, 9514]"
cut,cap,first,Complete.1000.20.7.gexf,1000,999000,5,3,"[999, 999, 999, 999]",9609,9419,9419,inf,1,0,0,0,0,"[9609, 9419]"
cut,cap,first,Complete.1000.20.7.gexf,1000,999000,10,4,"[999, 999, 999, 999]",9609,9229,9229,inf,1,0,0,0,0,"[9609, 9229]"
cut,cap,first,Complete.1000.20.7.gexf,1000,999000,50,5,"[999, 999, 999, 999]",9609,8295,8295,inf,1,0,0,0,0,"[9609, 8295]"
cut,cap,first,Complete.1000.1.8.gexf,1000,999000,2,1,"[999, 999, 999, 999]",499.072993436636,497.078415393446,497.078415393446,inf,1,0,0,0,0,"[499.072993436636, 497.078415393446]"
cut,cap,first,Complete.1000.1.8.gexf,1000,999000,3,2,"[999, 999, 999, 999]",499.072993436636,494.0978329452705,494.0978329452705,inf,1,0,0,0,0,"[499.072993436636, 494.0978329452705]"
cut,cap,first,Complete.1000.1.8.gexf,1000,999000,5,3,"[999, 999, 999, 999]",499.072993436636,489.1411037248089,489.1411037248089,inf,1,0,0,0,0,"[499.072993436636, 489.1411037248089]"
cut,cap,first,Complete.1000.1.8.gexf,1000,999000,10,4,"[999, 999, 999, 999]",499.072993436636,479.31056084432146,479.31056084432146,inf,1,0,0,0,0,"[499.072993436636, 479.31056084432146]"
cut,cap,first,Complete.1000.1.8.gexf,1000,999000,50,5,"[999, 999, 999, 999]",499.072993436636,431.3407553147726,431.3407553147726,inf,1,0,0,0,0,"[499.072993436636, 431.3407553147726]"
cut,cap,first,Complete.1000.20.8.gexf,1000,999000,2,1,"[999, 999, 999, 999]",10101,10063,10063,inf,1,0,0,0,0,"[10101, 10063]"
cut,cap,first,Complete.1000.20.8.gexf,1000,999000,3,2,"[999, 999, 999, 999]",10101,10006,10006,inf,1,0,0,0,0,"[10101, 10006]"
cut,cap,first,Complete.1000.20.8.gexf,1000,999000,5,3,"[999, 999, 999, 999]",10101,9911,9911,inf,1,0,0,0,0,"[10101, 9911]"
cut,cap,first,Complete.1000.20.8.gexf,1000,999000,10,4,"[999, 999, 999, 999]",10101,9721,9721,inf,1,0,0,0,0,"[10101, 9721]"
cut,cap,first,Complete.1000.20.8.gexf,1000,999000,50,5,"[999, 999, 999, 999]",10101,8781,8781,inf,1,0,0,0,0,"[10101, 8781]"
cut,cap,first,Complete.1000.1.9.gexf,1000,999000,2,1,"[999, 999, 999, 999]",499.65470492143925,497.65616750417195,497.65616750417195,inf,1,0,0,0,0,"[499.65470492143925, 497.65616750417195]"
cut,cap,first,Complete.1000.1.9.gexf,1000,999000,3,2,"[999, 999, 999, 999]",499.65470492143925,494.6700471699331,494.6700471699331,inf,1,0,0,0,0,"[499.65470492143925, 494.6700471699331]"
cut,cap,first,Complete.1000.1.9.gexf,1000,999000,5,3,"[999, 999, 999, 999]",499.65470492143925,489.72172116048455,489.72172116048455,inf,1,0,0,0,0,"[499.65470492143925, 489.72172116048455]"
cut,cap,first,Complete.1000.1.9.gexf,1000,999000,10,4,"[999, 999, 999, 999]",499.65470492143925,479.9014469929062,479.9014469929062,inf,1,0,0,0,0,"[499.65470492143925, 479.9014469929062]"
cut,cap,first,Complete.1000.1.9.gexf,1000,999000,50,5,"[999, 999, 999, 999]",499.65470492143925,432.5677436783832,432.5677436783832,inf,1,0,0,0,0,"[499.65470492143925, 432.5677436783832]"
cut,cap,first,Complete.1000.20.9.gexf,1000,999000,2,1,"[999, 999, 999, 999]",10039,10001,10001,inf,1,0,0,0,0,"[10039, 10001]"
cut,cap,first,Complete.1000.20.9.gexf,1000,999000,3,2,"[999, 999, 999, 999]",10039,9944,9944,inf,1,0,0,0,0,"[10039, 9944]"
cut,cap,first,Complete.1000.20.9.gexf,1000,999000,5,3,"[999, 999, 999, 999]",10039,9849,9849,inf,1,0,0,0,0,"[10039, 9849]"
cut,cap,first,Complete.1000.20.9.gexf,1000,999000,10,4,"[999, 999, 999, 999]",10039,9659,9659,inf,1,0,0,0,0,"[10039, 9659]"
cut,cap,first,Complete.1000.20.9.gexf,1000,999000,50,5,"[999, 999, 999, 999]",10039,8722,8722,inf,1,0,0,0,0,"[10039, 8722]"
cut,cap,first,Complete.1000.1.10.gexf,1000,999000,2,1,"[999, 999, 999, 999]",486.4793068595569,484.48323977713625,484.48323977713625,inf,1,0,0,0,0,"[486.4793068595569, 484.48323977713625]"
cut,cap,first,Complete.1000.1.10.gexf,1000,999000,3,2,"[999, 999, 999, 999]",486.4793068595569,481.5009956493606,481.5009956493606,inf,1,0,0,0,0,"[486.4793068595569, 481.5009956493606]"
cut,cap,first,Complete.1000.1.10.gexf,1000,999000,5,3,"[999, 999, 999, 999]",486.4793068595569,476.56271001954485,476.56271001954485,inf,1,0,0,0,0,"[486.4793068595569, 476.56271001954485]"
cut,cap,first,Complete.1000.1.10.gexf,1000,999000,10,4,"[999, 999, 999, 999]",486.4793068595569,466.7397201473506,466.7397201473506,inf,1,0,0,0,0,"[486.4793068595569, 466.7397201473506]"
cut,cap,first,Complete.1000.1.10.gexf,1000,999000,50,5,"[999, 999, 999, 999]",486.4793068595569,419.0985213674614,419.0985213674614,inf,1,0,0,0,0,"[486.4793068595569, 419.0985213674614]"
