construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
card,tabu,sim,Complete.500.1.1.gexf,500,249500,2,1,"[499, 499, 499, 499]",237.3101905926023,237.3101905926024,237.3101905926024,237.3101905926024,7,7,7,0,0,"[237.3101905926023, 237.3101905926024, 237.3101905926024, 237.3101905926024, 237.3101905926024, 237.3101905926024, 237.3101905926024, 237.3101905926024, 237.3101905926024]"
card,tabu,sim,Complete.500.1.1.gexf,500,249500,3,2,"[499, 499, 499, 499]",237.3101905926023,237.31019059260237,237.31019059260237,237.31019059260237,7,7,7,0,0,"[237.3101905926023, 237.31019059260237, 237.31019059260237, 237.31019059260237, 237.31019059260237, 237.31019059260237, 237.31019059260237, 237.31019059260237, 237.31019059260237]"
card,tabu,sim,Complete.500.1.1.gexf,500,249500,5,3,"[499, 499, 499, 499]",237.3101905926023,234.50172114727854,234.50172114727854,235.49984533337374,1,1,1,0,0,"[237.3101905926023, 234.50172114727854, 235.49984533337374]"
card,tabu,sim,Complete.500.1.1.gexf,500,249500,10,4,"[499, 499, 499, 499]",237.3101905926023,225.71875608693875,225.71875608693875,226.68925650458672,2,2,2,0,0,"[237.3101905926023, 225.71875608693875, 226.68925650458672, 227.66849341020696]"
card,tabu,sim,Complete.500.1.1.gexf,500,249500,50,5,"[499, 499, 499, 499]",237.3101905926023,181.61810839147535,181.61810839147535,182.48187171363983,1,1,1,0,0,"[237.3101905926023, 181.61810839147535, 182.48187171363983]"
card,tabu,sim,Complete.500.20.1.gexf,500,249500,2,1,"[499, 499, 499, 499]",4873,4835,4835,inf,3,0,0,0,0,"[4873, 4835]"
card,tabu,sim,Complete.500.20.1.gexf,500,249500,3,2,"[499, 499, 499, 499]",4873,4778,4778,4797,2,2,2,0,0,"[4873, 4778, 4797, 4797]"
card,tabu,sim,Complete.500.20.1.gexf,500,249500,5,3,"[499, 499, 499, 499]",4873,4702,4702,inf,2,0,0,0,0,"[4873, 4702]"
card,tabu,sim,Complete.500.20.1.gexf,500,249500,10,4,"[499, 499, 499, 499]",4873,4512,4512,inf,2,0,0,0,0,"[4873, 4512]"
card,tabu,sim,Complete.500.20.1.gexf,500,249500,50,5,"[499, 499, 499, 499]",4873,3629,3629,3646,2,1,1,0,0,"[4873, 3629, 3646]"
card,tabu,sim,Complete.500.1.2.gexf,500,249500,2,1,"[499, 499, 499, 499]",243.40515300575473,243.40515300575458,243.40515300575458,243.40515300575458,7,7,7,0,0,"[243.40515300575473, 243.40515300575458, 243.40515300575458, 243.40515300575458, 243.40515300575458, 243.40515300575458, 243.40515300575458, 243.40515300575458, 243.40515300575458]"
card,tabu,sim,Complete.500.1.2.gexf,500,249500,3,2,"[499, 499, 499, 499]",243.40515300575473,243.40515300575436,243.40515300575436,243.40515300575436,7,7,7,0,0,"[243.40515300575473, 243.40515300575436, 243.40515300575436, 243.40515300575436, 243.40515300575436, 243.40515300575436, 243.40515300575436, 243.40515300575436, 243.40515300575436]"
card,tabu,sim,Complete.500.1.2.gexf,500,249500,5,3,"[499, 499, 499, 499]",243.40515300575473,243.24817675634395,243.24817675634395,243.40515300575436,5,5,5,1,0,"[243.40515300575473, 243.24817675634395, 243.40515300575436, 243.40515300575436, 243.40515300575436, 243.40515300575436, 243.40515300575436]"
card,tabu,sim,Complete.500.1.2.gexf,500,249500,10,4,"[499, 499, 499, 499]",243.40515300575473,237.4185604001013,237.4185604001013,238.38382679543136,1,1,1,0,0,"[243.40515300575473, 237.4185604001013, 238.38382679543136]"
card,tabu,sim,Complete.500.1.2.gexf,500,249500,50,5,"[499, 499, 499, 499]",243.40515300575473,192.48874897055165,192.48874897055165,193.42665717500486,2,2,2,0,0,"[243.40515300575473, 192.48874897055165, 193.42665717500486, 194.32639979081443]"
card,tabu,sim,Complete.500.20.2.gexf,500,249500,2,1,"[499, 499, 499, 499]",4813,4813,4813,4813,7,7,7,0,0,"[4813, 4813, 4813, 4813, 4813, 4813, 4813, 4813, 4813]"
card,tabu,sim,Complete.500.20.2.gexf,500,249500,3,2,"[499, 499, 499, 499]",4813,4813,4813,4813,7,7,7,0,0,"[4813, 4813, 4813, 4813, 4813, 4813, 4813, 4813, 4813]"
card,tabu,sim,Complete.500.20.2.gexf,500,249500,5,3,"[499, 499, 499, 499]",4813,4813,4813,4813,7,7,7,3,0,"[4813, 4813, 4813, 4813, 4813, 4813, 4813, 4813, 4813]"
card,tabu,sim,Complete.500.20.2.gexf,500,249500,10,4,"[499, 499, 499, 499]",4813,4746,4746,inf,2,0,0,0,0,"[4813, 4746]"
card,tabu,sim,Complete.500.20.2.gexf,500,249500,50,5,"[499, 499, 499, 499]",4813,3830,3830,3849,2,1,1,0,0,"[4813, 3830, 3849]"
card,tabu,sim,Complete.500.1.3.gexf,500,249500,2,1,"[499, 499, 499, 499]",254.62833811168716,252.6330185272054,252.6330185272054,253.62918300994488,2,2,2,0,0,"[254.62833811168716, 252.6330185272054, 253.62918300994488, 254.6283381116875]"
card,tabu,sim,Complete.500.1.3.gexf,500,249500,3,2,"[499, 499, 499, 499]",254.62833811168716,251.63880063951203,251.63880063951203,252.63795574125464,2,2,2,0,0,"[254.62833811168716, 251.63880063951203, 252.63795574125464, 252.63795574125464]"
card,tabu,sim,Complete.500.1.3.gexf,500,249500,5,3,"[499, 499, 499, 499]",254.62833811168716,247.67612362134105,247.67612362134105,248.6669173271744,2,1,1,0,0,"[254.62833811168716, 247.67612362134105, 248.6669173271744]"
card,tabu,sim,Complete.500.1.3.gexf,500,249500,10,4,"[499, 499, 499, 499]",254.62833811168716,238.87404001630117,238.87404001630117,239.84533398735107,2,2,2,0,0,"[254.62833811168716, 238.87404001630117, 239.84533398735107, 240.82630262391268]"
card,tabu,sim,Complete.500.1.3.gexf,500,249500,50,5,"[499, 499, 499, 499]",254.62833811168716,195.05962517002945,195.05962517002945,195.92584125632905,2,2,2,0,0,"[254.62833811168716, 195.05962517002945, 195.92584125632905, 196.89047148990318]"
card,tabu,sim,Complete.500.20.3.gexf,500,249500,2,1,"[499, 499, 499, 499]",4877,4877,4877,4877,6,6,6,0,0,"[4877, 4877, 4877, 4877, 4877, 4877, 4877, 4877]"
card,tabu,sim,Complete.500.20.3.gexf,500,249500,3,2,"[499, 499, 499, 499]",4877,4877,4877,4877,7,7,7,0,0,"[4877, 4877, 4877, 4877, 4877, 4877, 4877, 4877, 4877]"
card,tabu,sim,Complete.500.20.3.gexf,500,249500,5,3,"[499, 499, 499, 499]",4877,4843,4843,4862,2,2,2,0,0,"[4877, 4843, 4862, 4877]"
card,tabu,sim,Complete.500.20.3.gexf,500,249500,10,4,"[499, 499, 499, 499]",4877,4691,4691,inf,2,0,0,0,0,"[4877, 4691]"
card,tabu,sim,Complete.500.20.3.gexf,500,249500,50,5,"[499, 499, 499, 499]",4877,3789,3789,inf,2,0,0,0,0,"[4877, 3789]"
card,tabu,sim,Complete.500.1.4.gexf,500,249500,2,1,"[499, 499, 499, 499]",245.9920104455258,245.99201044552626,245.99201044552626,245.99201044552626,7,7,7,0,0,"[245.9920104455258, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626]"
card,tabu,sim,Complete.500.1.4.gexf,500,249500,3,2,"[499, 499, 499, 499]",245.9920104455258,245.99201044552623,245.99201044552623,245.99201044552623,7,7,7,0,0,"[245.9920104455258, 245.99201044552623, 245.99201044552623, 245.99201044552623, 245.99201044552623, 245.99201044552623, 245.99201044552623, 245.99201044552623, 245.99201044552623]"
card,tabu,sim,Complete.500.1.4.gexf,500,249500,5,3,"[499, 499, 499, 499]",245.9920104455258,245.99201044552626,245.99201044552626,245.99201044552626,7,7,7,0,0,"[245.9920104455258, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626, 245.99201044552626]"
card,tabu,sim,Complete.500.1.4.gexf,500,249500,10,4,"[499, 499, 499, 499]",245.9920104455258,243.88696379557385,243.88696379557385,244.87474176359268,2,2,2,0,0,"[245.9920104455258, 243.88696379557385, 244.87474176359268, 245.85840777325964]"
card,tabu,sim,Complete.500.1.4.gexf,500,249500,50,5,"[499, 499, 499, 499]",245.9920104455258,199.25046291385127,199.25046291385127,200.23412892351823,2,2,2,0,0,"[245.9920104455258, 199.25046291385127, 200.23412892351823, 201.11536017582864]"
