construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,Rand.Gauss01.500.5.1.gexf,500,2500,2,1,"[8, 8, 8, 8]",3.9667869571363408,2.7629139273122436,2.7629139273122436,inf,165,0,0,0,0,"[3.9667869571363408, 2.7629139273122436]"
cut,cap,first,Rand.Gauss01.500.5.1.gexf,500,2500,3,2,"[8, 8, 8, 8]",3.9667869571363408,1.2904223555676082,1.2904223555676082,inf,169,0,0,0,0,"[3.9667869571363408, 1.2904223555676082]"
cut,cap,first,Rand.Gauss01.500.5.1.gexf,500,2500,5,3,"[8, 8, 8, 8]",3.9667869571363408,0,0,inf,0,0,0,0,0,"[3.9667869571363408, 0]"
cut,cap,first,Rand.Gauss01.500.5.1.gexf,500,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.1.gexf,500,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.10.1.gexf,500,5000,2,1,"[11, 11, 11, 11]",4.969579515257965,3.669110018518487,3.669110018518487,inf,125,0,0,0,0,"[4.969579515257965, 3.669110018518487]"
cut,cap,first,Rand.Gauss01.500.10.1.gexf,500,5000,3,2,"[11, 11, 11, 11]",4.969579515257965,2.176033744698242,2.176033744698242,inf,125,0,0,0,0,"[4.969579515257965, 2.176033744698242]"
cut,cap,first,Rand.Gauss01.500.10.1.gexf,500,5000,5,3,"[11, 11, 11, 11]",4.969579515257965,0.29296575514369505,0.29296575514369505,inf,203,0,0,0,0,"[4.969579515257965, 0.29296575514369505]"
cut,cap,first,Rand.Gauss01.500.10.1.gexf,500,5000,10,4,"[11, 11, 11, 11]",4.969579515257965,0,0,inf,0,0,0,0,0,"[4.969579515257965, 0]"
cut,cap,first,Rand.Gauss01.500.10.1.gexf,500,F,50,5,"[11, 11, 11, 11]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.25.1.gexf,500,12500,2,1,"[47, 47, 47, 47]",23.7707819011013,22.374933044493314,22.374933044493314,inf,37,0,0,0,0,"[23.7707819011013, 22.374933044493314]"
cut,cap,first,Rand.Gauss01.500.25.1.gexf,500,12500,3,2,"[47, 47, 47, 47]",23.7707819011013,20.470728036536414,20.470728036536414,inf,38,0,0,0,0,"[23.7707819011013, 20.470728036536414]"
cut,cap,first,Rand.Gauss01.500.25.1.gexf,500,12500,5,3,"[47, 47, 47, 47]",23.7707819011013,17.42548022148077,17.42548022148077,inf,37,0,0,0,0,"[23.7707819011013, 17.42548022148077]"
cut,cap,first,Rand.Gauss01.500.25.1.gexf,500,12500,10,4,"[47, 47, 47, 47]",23.7707819011013,11.779331390276688,11.779331390276688,inf,52,0,0,0,0,"[23.7707819011013, 11.779331390276688]"
cut,cap,first,Rand.Gauss01.500.25.1.gexf,500,F,50,5,"[47, 47, 47, 47]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.2.gexf,500,2500,2,1,"[7, 7, 7, 7]",3.489570971578213,2.3481701547128147,2.3481701547128147,inf,132,0,0,0,0,"[3.489570971578213, 2.3481701547128147]"
cut,cap,first,Rand.Gauss01.500.5.2.gexf,500,2500,3,2,"[7, 7, 7, 7]",3.489570971578213,0.833025870716545,0.833025870716545,inf,238,0,0,0,0,"[3.489570971578213, 0.833025870716545]"
cut,cap,first,Rand.Gauss01.500.5.2.gexf,500,2500,5,3,"[7, 7, 7, 7]",3.489570971578213,0,0,inf,0,0,0,0,0,"[3.489570971578213, 0]"
cut,cap,first,Rand.Gauss01.500.5.2.gexf,500,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.2.gexf,500,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.10.2.gexf,500,5000,2,1,"[18, 18, 18, 18]",9.473206646299444,8.228930375786431,8.228930375786431,inf,90,0,0,0,0,"[9.473206646299444, 8.228930375786431]"
cut,cap,first,Rand.Gauss01.500.10.2.gexf,500,5000,3,2,"[18, 18, 18, 18]",9.473206646299444,6.564450660882711,6.564450660882711,inf,71,0,0,0,0,"[9.473206646299444, 6.564450660882711]"
cut,cap,first,Rand.Gauss01.500.10.2.gexf,500,5000,5,3,"[18, 18, 18, 18]",9.473206646299444,4.00755048297277,4.00755048297277,inf,207,0,0,0,0,"[9.473206646299444, 4.00755048297277]"
cut,cap,first,Rand.Gauss01.500.10.2.gexf,500,5000,10,4,"[18, 18, 18, 18]",9.473206646299444,0,0,inf,0,0,0,0,0,"[9.473206646299444, 0]"
cut,cap,first,Rand.Gauss01.500.10.2.gexf,500,F,50,5,"[18, 18, 18, 18]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.25.2.gexf,500,12500,2,1,"[39, 39, 39, 39]",19.58006575130099,18.190531909454787,18.190531909454787,inf,51,0,0,0,0,"[19.58006575130099, 18.190531909454787]"
cut,cap,first,Rand.Gauss01.500.25.2.gexf,500,12500,3,2,"[39, 39, 39, 39]",19.58006575130099,16.311241970262436,16.311241970262436,inf,52,0,0,0,0,"[19.58006575130099, 16.311241970262436]"
cut,cap,first,Rand.Gauss01.500.25.2.gexf,500,12500,5,3,"[39, 39, 39, 39]",19.58006575130099,13.407663841689107,13.407663841689107,inf,51,0,0,0,0,"[19.58006575130099, 13.407663841689107]"
cut,cap,first,Rand.Gauss01.500.25.2.gexf,500,12500,10,4,"[39, 39, 39, 39]",19.58006575130099,8.099120886402924,8.099120886402924,inf,51,0,0,0,0,"[19.58006575130099, 8.099120886402924]"
cut,cap,first,Rand.Gauss01.500.25.2.gexf,500,F,50,5,"[39, 39, 39, 39]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.3.gexf,500,2500,2,1,"[4, 4, 4, 4]",1.8828704178298719,0.679742556403474,0.679742556403474,inf,235,0,0,0,0,"[1.8828704178298719, 0.679742556403474]"
cut,cap,first,Rand.Gauss01.500.5.3.gexf,500,2500,3,2,"[4, 4, 4, 4]",1.8828704178298719,0,0,inf,0,0,0,0,0,"[1.8828704178298719, 0]"
cut,cap,first,Rand.Gauss01.500.5.3.gexf,500,F,5,3,"[4, 4, 4, 4]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.3.gexf,500,F,10,4,"[4, 4, 4, 4]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.3.gexf,500,F,50,5,"[4, 4, 4, 4]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.10.3.gexf,500,5000,2,1,"[18, 18, 18, 18]",9.33867327870344,7.977898598390974,7.977898598390974,inf,89,0,0,0,0,"[9.33867327870344, 7.977898598390974]"
cut,cap,first,Rand.Gauss01.500.10.3.gexf,500,5000,3,2,"[18, 18, 18, 18]",9.33867327870344,6.256555709003906,6.256555709003906,inf,124,0,0,0,0,"[9.33867327870344, 6.256555709003906]"
cut,cap,first,Rand.Gauss01.500.10.3.gexf,500,5000,5,3,"[18, 18, 18, 18]",9.33867327870344,3.5955901353629782,3.5955901353629782,inf,125,0,0,0,0,"[9.33867327870344, 3.5955901353629782]"
cut,cap,first,Rand.Gauss01.500.10.3.gexf,500,5000,10,4,"[18, 18, 18, 18]",9.33867327870344,0,0,inf,0,0,0,0,0,"[9.33867327870344, 0]"
cut,cap,first,Rand.Gauss01.500.10.3.gexf,500,F,50,5,"[18, 18, 18, 18]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.25.3.gexf,500,12500,2,1,"[47, 47, 47, 47]",23.635231312850078,22.17194500924469,22.17194500924469,inf,36,0,0,0,0,"[23.635231312850078, 22.17194500924469]"
cut,cap,first,Rand.Gauss01.500.25.3.gexf,500,12500,3,2,"[47, 47, 47, 47]",23.635231312850078,20.123188053305775,20.123188053305775,inf,36,0,0,0,0,"[23.635231312850078, 20.123188053305775]"
cut,cap,first,Rand.Gauss01.500.25.3.gexf,500,12500,5,3,"[47, 47, 47, 47]",23.635231312850078,17.04788136051427,17.04788136051427,inf,23,0,0,0,0,"[23.635231312850078, 17.04788136051427]"
cut,cap,first,Rand.Gauss01.500.25.3.gexf,500,12500,10,4,"[47, 47, 47, 47]",23.635231312850078,11.630189984124888,11.630189984124888,inf,50,0,0,0,0,"[23.635231312850078, 11.630189984124888]"
cut,cap,first,Rand.Gauss01.500.25.3.gexf,500,F,50,5,"[47, 47, 47, 47]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.4.gexf,500,2500,2,1,"[10, 10, 10, 10]",5.137747792677503,3.872116992288103,3.872116992288103,inf,157,0,0,0,0,"[5.137747792677503, 3.872116992288103]"
cut,cap,first,Rand.Gauss01.500.5.4.gexf,500,2500,3,2,"[10, 10, 10, 10]",5.137747792677503,2.2748490087686513,2.2748490087686513,inf,232,0,0,0,0,"[5.137747792677503, 2.2748490087686513]"
cut,cap,first,Rand.Gauss01.500.5.4.gexf,500,2500,5,3,"[10, 10, 10, 10]",5.137747792677503,0,0,inf,0,0,0,0,0,"[5.137747792677503, 0]"
cut,cap,first,Rand.Gauss01.500.5.4.gexf,500,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.4.gexf,500,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.10.4.gexf,500,5000,2,1,"[17, 17, 17, 17]",8.212442375963114,6.752596070293935,6.752596070293935,inf,70,0,0,0,0,"[8.212442375963114, 6.752596070293935]"
cut,cap,first,Rand.Gauss01.500.10.4.gexf,500,5000,3,2,"[17, 17, 17, 17]",8.212442375963114,5.034173004377336,5.034173004377336,inf,123,0,0,0,0,"[8.212442375963114, 5.034173004377336]"
cut,cap,first,Rand.Gauss01.500.10.4.gexf,500,5000,5,3,"[17, 17, 17, 17]",8.212442375963114,2.583772033059401,2.583772033059401,inf,125,0,0,0,0,"[8.212442375963114, 2.583772033059401]"
cut,cap,first,Rand.Gauss01.500.10.4.gexf,500,5000,10,4,"[17, 17, 17, 17]",8.212442375963114,0,0,inf,0,0,0,0,0,"[8.212442375963114, 0]"
cut,cap,first,Rand.Gauss01.500.10.4.gexf,500,F,50,5,"[17, 17, 17, 17]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.25.4.gexf,500,12500,2,1,"[46, 46, 46, 46]",22.630603076753662,21.287196807615985,21.287196807615985,inf,37,0,0,0,0,"[22.630603076753662, 21.287196807615985]"
cut,cap,first,Rand.Gauss01.500.25.4.gexf,500,12500,3,2,"[46, 46, 46, 46]",22.630603076753662,19.47036275165449,19.47036275165449,inf,37,0,0,0,0,"[22.630603076753662, 19.47036275165449]"
cut,cap,first,Rand.Gauss01.500.25.4.gexf,500,12500,5,3,"[46, 46, 46, 46]",22.630603076753662,16.6913097310646,16.6913097310646,inf,52,0,0,0,0,"[22.630603076753662, 16.6913097310646]"
cut,cap,first,Rand.Gauss01.500.25.4.gexf,500,12500,10,4,"[46, 46, 46, 46]",22.630603076753662,11.54021012427917,11.54021012427917,inf,82,0,0,0,0,"[22.630603076753662, 11.54021012427917]"
cut,cap,first,Rand.Gauss01.500.25.4.gexf,500,F,50,5,"[46, 46, 46, 46]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.5.gexf,500,2500,2,1,"[5, 5, 5, 5]",2.392077772079518,1.2314611628267786,1.2314611628267786,inf,166,0,0,0,0,"[2.392077772079518, 1.2314611628267786]"
cut,cap,first,Rand.Gauss01.500.5.5.gexf,500,2500,3,2,"[5, 5, 5, 5]",2.392077772079518,0,0,inf,0,0,0,0,0,"[2.392077772079518, 0]"
cut,cap,first,Rand.Gauss01.500.5.5.gexf,500,F,5,3,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.5.gexf,500,F,10,4,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.5.5.gexf,500,F,50,5,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss01.500.10.5.gexf,500,5000,2,1,"[17, 17, 17, 17]",8.689620403270933,7.350272725867076,7.350272725867076,inf,59,0,0,0,0,"[8.689620403270933, 7.350272725867076]"
cut,cap,first,Rand.Gauss01.500.10.5.gexf,500,5000,3,2,"[17, 17, 17, 17]",8.689620403270933,5.661705697574856,5.661705697574856,inf,92,0,0,0,0,"[8.689620403270933, 5.661705697574856]"
cut,cap,first,Rand.Gauss01.500.10.5.gexf,500,5000,5,3,"[17, 17, 17, 17]",8.689620403270933,3.103727735826463,3.103727735826463,inf,206,0,0,0,0,"[8.689620403270933, 3.103727735826463]"
cut,cap,first,Rand.Gauss01.500.10.5.gexf,500,5000,10,4,"[17, 17, 17, 17]",8.689620403270933,0,0,inf,0,0,0,0,0,"[8.689620403270933, 0]"
cut,cap,first,Rand.Gauss01.500.10.5.gexf,500,F,50,5,"[17, 17, 17, 17]",F,F,F,F,F,F,F,F,F,F
