construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,Rand.Gauss025.100.5.1.gexf,100,500,2,1,"[10, 10, 10, 10]",5.579988905714838,4.046559924884061,4.046559924884061,inf,453,0,0,0,0,"[5.579988905714838, 4.046559924884061]"
cut,cap,first,Rand.Gauss025.100.5.1.gexf,100,500,3,2,"[10, 10, 10, 10]",5.579988905714838,2.096073354019784,2.096073354019784,inf,913,0,0,0,0,"[5.579988905714838, 2.096073354019784]"
cut,cap,first,Rand.Gauss025.100.5.1.gexf,100,500,5,3,"[10, 10, 10, 10]",5.579988905714838,0,0,inf,0,0,0,0,0,"[5.579988905714838, 0]"
cut,cap,first,Rand.Gauss025.100.5.1.gexf,100,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.100.5.1.gexf,100,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.100.10.1.gexf,100,1000,2,1,"[18, 18, 18, 18]",9.453201204062553,6.921456356441289,6.921456356441289,inf,476,0,0,0,0,"[9.453201204062553, 6.921456356441289]"
cut,cap,first,Rand.Gauss025.100.10.1.gexf,100,1000,3,2,"[18, 18, 18, 18]",9.453201204062553,4.7148757510283055,4.7148757510283055,inf,693,0,0,0,0,"[9.453201204062553, 4.7148757510283055]"
cut,cap,first,Rand.Gauss025.100.10.1.gexf,100,1000,5,3,"[18, 18, 18, 18]",9.453201204062553,1.9340943880642238,1.9340943880642238,inf,1212,0,0,0,0,"[9.453201204062553, 1.9340943880642238]"
cut,cap,first,Rand.Gauss025.100.10.1.gexf,100,1000,10,4,"[18, 18, 18, 18]",9.453201204062553,0,0,inf,0,0,0,0,0,"[9.453201204062553, 0]"
cut,cap,first,Rand.Gauss025.100.10.1.gexf,100,F,50,5,"[18, 18, 18, 18]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.100.25.1.gexf,100,2500,2,1,"[42, 42, 42, 42]",19.937245208533998,18.07998661779067,18.07998661779067,inf,202,0,0,0,0,"[19.937245208533998, 18.07998661779067]"
cut,cap,first,Rand.Gauss025.100.25.1.gexf,100,2500,3,2,"[42, 42, 42, 42]",19.937245208533998,15.781548662590536,15.781548662590536,inf,114,0,0,0,0,"[19.937245208533998, 15.781548662590536]"
cut,cap,first,Rand.Gauss025.100.25.1.gexf,100,2500,5,3,"[42, 42, 42, 42]",19.937245208533998,12.470682577683911,12.470682577683911,inf,289,0,0,0,0,"[19.937245208533998, 12.470682577683911]"
cut,cap,first,Rand.Gauss025.100.25.1.gexf,100,2500,10,4,"[42, 42, 42, 42]",19.937245208533998,6.789723920127987,6.789723920127987,inf,303,0,0,0,0,"[19.937245208533998, 6.789723920127987]"
cut,cap,first,Rand.Gauss025.100.25.1.gexf,100,F,50,5,"[42, 42, 42, 42]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.100.5.2.gexf,100,500,2,1,"[10, 10, 10, 10]",3.596181821637927,2.256503417854163,2.256503417854163,inf,1128,0,0,0,0,"[3.596181821637927, 2.256503417854163]"
cut,cap,first,Rand.Gauss025.100.5.2.gexf,100,500,3,2,"[10, 10, 10, 10]",3.596181821637927,1.0290683690195817,1.0290683690195817,inf,697,0,0,0,0,"[3.596181821637927, 1.0290683690195817]"
cut,cap,first,Rand.Gauss025.100.5.2.gexf,100,500,5,3,"[10, 10, 10, 10]",3.596181821637927,0,0,inf,0,0,0,0,0,"[3.596181821637927, 0]"
cut,cap,first,Rand.Gauss025.100.5.2.gexf,100,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.100.5.2.gexf,100,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.100.10.2.gexf,100,1000,2,1,"[20, 20, 20, 20]",10.899047036440876,9.244055543426132,9.244055543426132,inf,364,0,0,0,0,"[10.899047036440876, 9.244055543426132]"
