construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,Small.50.6.2.1.gexf,50,300,2,1,"[6, 6, 6, 6]",6.0,4.0,4.0,inf,3649,0,0,0,0,"[6.0, 4.0]"
cut,cap,first,Small.50.6.2.1.gexf,50,300,3,2,"[6, 6, 6, 6]",6.0,1.0,1.0,inf,3742,0,0,0,0,"[6.0, 1.0]"
cut,cap,first,Small.50.6.2.1.gexf,50,300,5,3,"[6, 6, 6, 6]",6.0,0,0,inf,0,0,0,0,0,"[6.0, 0]"
cut,cap,first,Small.50.6.2.1.gexf,50,F,10,4,"[6, 6, 6, 6]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.2.1.gexf,50,F,50,5,"[6, 6, 6, 6]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.1.gexf,50,300,2,1,"[5, 5, 5, 5]",5.0,3.0,3.0,inf,3696,0,0,0,0,"[5.0, 3.0]"
cut,cap,first,Small.50.6.5.1.gexf,50,300,3,2,"[5, 5, 5, 5]",5.0,0,0,inf,0,0,0,0,0,"[5.0, 0]"
cut,cap,first,Small.50.6.5.1.gexf,50,F,5,3,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.1.gexf,50,F,10,4,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.1.gexf,50,F,50,5,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.2.1.gexf,50,500,2,1,"[9, 9, 9, 9]",9.0,7.0,7.0,inf,2425,0,0,0,0,"[9.0, 7.0]"
cut,cap,first,Small.50.10.2.1.gexf,50,500,3,2,"[9, 9, 9, 9]",9.0,4.0,4.0,inf,2440,0,0,0,0,"[9.0, 4.0]"
cut,cap,first,Small.50.10.2.1.gexf,50,500,5,3,"[9, 9, 9, 9]",9.0,0,0,inf,0,0,0,0,0,"[9.0, 0]"
cut,cap,first,Small.50.10.2.1.gexf,50,F,10,4,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.2.1.gexf,50,F,50,5,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.5.1.gexf,50,500,2,1,"[9, 9, 9, 9]",9.0,7.0,7.0,inf,2404,0,0,0,0,"[9.0, 7.0]"
cut,cap,first,Small.50.10.5.1.gexf,50,500,3,2,"[9, 9, 9, 9]",9.0,4.0,4.0,inf,2437,0,0,0,0,"[9.0, 4.0]"
cut,cap,first,Small.50.10.5.1.gexf,50,500,5,3,"[9, 9, 9, 9]",9.0,0,0,inf,0,0,0,0,0,"[9.0, 0]"
cut,cap,first,Small.50.10.5.1.gexf,50,F,10,4,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.5.1.gexf,50,F,50,5,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.24.2.1.gexf,50,1200,2,1,"[21, 21, 21, 21]",21.0,19.0,19.0,inf,1059,0,0,0,0,"[21.0, 19.0]"
cut,cap,first,Small.50.24.2.1.gexf,50,1200,3,2,"[21, 21, 21, 21]",21.0,16.0,16.0,inf,1068,0,0,0,0,"[21.0, 16.0]"
cut,cap,first,Small.50.24.2.1.gexf,50,1200,5,3,"[21, 21, 21, 21]",21.0,11.0,11.0,inf,1066,0,0,0,0,"[21.0, 11.0]"
cut,cap,first,Small.50.24.2.1.gexf,50,1200,10,4,"[21, 21, 21, 21]",21.0,1.0,1.0,inf,1085,0,0,0,0,"[21.0, 1.0]"
cut,cap,first,Small.50.24.2.1.gexf,50,F,50,5,"[21, 21, 21, 21]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.24.5.1.gexf,50,1200,2,1,"[24, 24, 24, 24]",24.0,22.0,22.0,inf,1057,0,0,0,0,"[24.0, 22.0]"
cut,cap,first,Small.50.24.5.1.gexf,50,1200,3,2,"[24, 24, 24, 24]",24.0,19.0,19.0,inf,1063,0,0,0,0,"[24.0, 19.0]"
cut,cap,first,Small.50.24.5.1.gexf,50,1200,5,3,"[24, 24, 24, 24]",24.0,14.0,14.0,inf,1066,0,0,0,0,"[24.0, 14.0]"
cut,cap,first,Small.50.24.5.1.gexf,50,1200,10,4,"[24, 24, 24, 24]",24.0,4.0,4.0,inf,1084,0,0,0,0,"[24.0, 4.0]"
cut,cap,first,Small.50.24.5.1.gexf,50,F,50,5,"[24, 24, 24, 24]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.2.2.gexf,50,300,2,1,"[5, 5, 5, 5]",5.0,3.0,3.0,inf,3752,0,0,0,0,"[5.0, 3.0]"
cut,cap,first,Small.50.6.2.2.gexf,50,300,3,2,"[5, 5, 5, 5]",5.0,0,0,inf,0,0,0,0,0,"[5.0, 0]"
cut,cap,first,Small.50.6.2.2.gexf,50,F,5,3,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.2.2.gexf,50,F,10,4,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.2.2.gexf,50,F,50,5,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.2.gexf,50,300,2,1,"[4, 4, 4, 4]",4.0,2.0,2.0,inf,3740,0,0,0,0,"[4.0, 2.0]"
cut,cap,first,Small.50.6.5.2.gexf,50,300,3,2,"[4, 4, 4, 4]",4.0,0,0,inf,0,0,0,0,0,"[4.0, 0]"
cut,cap,first,Small.50.6.5.2.gexf,50,F,5,3,"[4, 4, 4, 4]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.2.gexf,50,F,10,4,"[4, 4, 4, 4]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.2.gexf,50,F,50,5,"[4, 4, 4, 4]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.2.2.gexf,50,500,2,1,"[8, 8, 8, 8]",8.0,6.0,6.0,inf,2391,0,0,0,0,"[8.0, 6.0]"
cut,cap,first,Small.50.10.2.2.gexf,50,500,3,2,"[8, 8, 8, 8]",8.0,3.0,3.0,inf,2437,0,0,0,0,"[8.0, 3.0]"
cut,cap,first,Small.50.10.2.2.gexf,50,500,5,3,"[8, 8, 8, 8]",8.0,0,0,inf,0,0,0,0,0,"[8.0, 0]"
cut,cap,first,Small.50.10.2.2.gexf,50,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.2.2.gexf,50,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.5.2.gexf,50,500,2,1,"[9, 9, 9, 9]",9.0,7.0,7.0,inf,2382,0,0,0,0,"[9.0, 7.0]"
cut,cap,first,Small.50.10.5.2.gexf,50,500,3,2,"[9, 9, 9, 9]",9.0,4.0,4.0,inf,2395,0,0,0,0,"[9.0, 4.0]"
cut,cap,first,Small.50.10.5.2.gexf,50,500,5,3,"[9, 9, 9, 9]",9.0,0,0,inf,0,0,0,0,0,"[9.0, 0]"
cut,cap,first,Small.50.10.5.2.gexf,50,F,10,4,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.5.2.gexf,50,F,50,5,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.24.2.2.gexf,50,1200,2,1,"[23, 23, 23, 23]",23.0,21.0,21.0,inf,1063,0,0,0,0,"[23.0, 21.0]"
cut,cap,first,Small.50.24.2.2.gexf,50,1200,3,2,"[23, 23, 23, 23]",23.0,18.0,18.0,inf,1070,0,0,0,0,"[23.0, 18.0]"
cut,cap,first,Small.50.24.2.2.gexf,50,1200,5,3,"[23, 23, 23, 23]",23.0,13.0,13.0,inf,1060,0,0,0,0,"[23.0, 13.0]"
cut,cap,first,Small.50.24.2.2.gexf,50,1200,10,4,"[23, 23, 23, 23]",23.0,3.0,3.0,inf,1075,0,0,0,0,"[23.0, 3.0]"
cut,cap,first,Small.50.24.2.2.gexf,50,F,50,5,"[23, 23, 23, 23]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.24.5.2.gexf,50,1200,2,1,"[24, 24, 24, 24]",24.0,22.0,22.0,inf,1063,0,0,0,0,"[24.0, 22.0]"
cut,cap,first,Small.50.24.5.2.gexf,50,1200,3,2,"[24, 24, 24, 24]",24.0,19.0,19.0,inf,1063,0,0,0,0,"[24.0, 19.0]"
cut,cap,first,Small.50.24.5.2.gexf,50,1200,5,3,"[24, 24, 24, 24]",24.0,14.0,14.0,inf,1069,0,0,0,0,"[24.0, 14.0]"
cut,cap,first,Small.50.24.5.2.gexf,50,1200,10,4,"[24, 24, 24, 24]",24.0,4.0,4.0,inf,1069,0,0,0,0,"[24.0, 4.0]"
cut,cap,first,Small.50.24.5.2.gexf,50,F,50,5,"[24, 24, 24, 24]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.2.3.gexf,50,300,2,1,"[7, 7, 7, 7]",7.0,5.0,5.0,inf,3719,0,0,0,0,"[7.0, 5.0]"
cut,cap,first,Small.50.6.2.3.gexf,50,300,3,2,"[7, 7, 7, 7]",7.0,2.0,2.0,inf,3747,0,0,0,0,"[7.0, 2.0]"
cut,cap,first,Small.50.6.2.3.gexf,50,300,5,3,"[7, 7, 7, 7]",7.0,0,0,inf,0,0,0,0,0,"[7.0, 0]"
cut,cap,first,Small.50.6.2.3.gexf,50,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.2.3.gexf,50,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.3.gexf,50,300,2,1,"[5, 5, 5, 5]",5.0,3.0,3.0,inf,3692,0,0,0,0,"[5.0, 3.0]"
cut,cap,first,Small.50.6.5.3.gexf,50,300,3,2,"[5, 5, 5, 5]",5.0,0,0,inf,0,0,0,0,0,"[5.0, 0]"
cut,cap,first,Small.50.6.5.3.gexf,50,F,5,3,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.3.gexf,50,F,10,4,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.6.5.3.gexf,50,F,50,5,"[5, 5, 5, 5]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.2.3.gexf,50,500,2,1,"[10, 10, 10, 10]",10.0,8.0,8.0,inf,2412,0,0,0,0,"[10.0, 8.0]"
cut,cap,first,Small.50.10.2.3.gexf,50,500,3,2,"[10, 10, 10, 10]",10.0,5.0,5.0,inf,2456,0,0,0,0,"[10.0, 5.0]"
cut,cap,first,Small.50.10.2.3.gexf,50,500,5,3,"[10, 10, 10, 10]",10.0,0,0,inf,0,0,0,0,0,"[10.0, 0]"
cut,cap,first,Small.50.10.2.3.gexf,50,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Small.50.10.2.3.gexf,50,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
