construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,Rand.Uni.100.5.1.gexf,100,500,2,1,"[6, 6, 6, 6]",1.5201848532418878,0.5148326861982471,0.5148326861982471,inf,2082,0,0,0,0,"[1.5201848532418878, 0.5148326861982471]"
cut,cap,first,Rand.Uni.100.5.1.gexf,100,500,3,2,"[6, 6, 6, 6]",1.5201848532418878,0.06329647655600079,0.06329647655600079,inf,2155,0,0,0,0,"[1.5201848532418878, 0.06329647655600079]"
cut,cap,first,Rand.Uni.100.5.1.gexf,100,500,5,3,"[6, 6, 6, 6]",1.5201848532418878,0,0,inf,0,0,0,0,0,"[1.5201848532418878, 0]"
cut,cap,first,Rand.Uni.100.5.1.gexf,100,F,10,4,"[6, 6, 6, 6]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Uni.100.5.1.gexf,100,F,50,5,"[6, 6, 6, 6]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Uni.100.10.1.gexf,100,1000,2,1,"[21, 21, 21, 21]",7.465740925480164,5.56473907922493,5.56473907922493,inf,482,0,0,0,0,"[7.465740925480164, 5.56473907922493]"
cut,cap,first,Rand.Uni.100.10.1.gexf,100,1000,3,2,"[21, 21, 21, 21]",7.465740925480164,3.49531249609972,3.49531249609972,inf,1115,0,0,0,0,"[7.465740925480164, 3.49531249609972]"
cut,cap,first,Rand.Uni.100.10.1.gexf,100,1000,5,3,"[21, 21, 21, 21]",7.465740925480164,1.4986486536217356,1.4986486536217356,inf,1149,0,0,0,0,"[7.465740925480164, 1.4986486536217356]"
cut,cap,first,Rand.Uni.100.10.1.gexf,100,1000,10,4,"[21, 21, 21, 21]",7.465740925480164,0.03867984604761432,0.03867984604761432,inf,1224,0,0,0,0,"[7.465740925480164, 0.03867984604761432]"
cut,cap,first,Rand.Uni.100.10.1.gexf,100,F,50,5,"[21, 21, 21, 21]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Uni.100.25.1.gexf,100,2500,2,1,"[39, 39, 39, 39]",23.503852366090012,21.581118402900504,21.581118402900504,inf,157,0,0,0,0,"[23.503852366090012, 21.581118402900504]"
cut,cap,first,Rand.Uni.100.25.1.gexf,100,2500,3,2,"[39, 39, 39, 39]",23.503852366090012,18.748330058104404,18.748330058104404,inf,199,0,0,0,0,"[23.503852366090012, 18.748330058104404]"
cut,cap,first,Rand.Uni.100.25.1.gexf,100,2500,5,3,"[39, 39, 39, 39]",23.503852366090012,14.370441454601794,14.370441454601794,inf,276,0,0,0,0,"[23.503852366090012, 14.370441454601794]"
cut,cap,first,Rand.Uni.100.25.1.gexf,100,2500,10,4,"[39, 39, 39, 39]",23.503852366090012,6.7929321092919475,6.7929321092919475,inf,478,0,0,0,0,"[23.503852366090012, 6.7929321092919475]"
cut,cap,first,Rand.Uni.100.25.1.gexf,100,F,50,5,"[39, 39, 39, 39]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Uni.100.5.2.gexf,100,500,2,1,"[8, 8, 8, 8]",3.208296738476842,1.8313075517454767,1.8313075517454767,inf,826,0,0,0,0,"[3.208296738476842, 1.8313075517454767]"
cut,cap,first,Rand.Uni.100.5.2.gexf,100,500,3,2,"[8, 8, 8, 8]",3.208296738476842,0.5810025334752439,0.5810025334752439,inf,2094,0,0,0,0,"[3.208296738476842, 0.5810025334752439]"
cut,cap,first,Rand.Uni.100.5.2.gexf,100,500,5,3,"[8, 8, 8, 8]",3.208296738476842,0.002424218142059509,0.002424218142059509,inf,2182,0,0,0,0,"[3.208296738476842, 0.002424218142059509]"
cut,cap,first,Rand.Uni.100.5.2.gexf,100,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Uni.100.5.2.gexf,100,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Uni.100.10.2.gexf,100,1000,2,1,"[18, 18, 18, 18]",8.162833114575713,6.293218577509303,6.293218577509303,inf,253,0,0,0,0,"[8.162833114575713, 6.293218577509303]"
cut,cap,first,Rand.Uni.100.10.2.gexf,100,1000,3,2,"[18, 18, 18, 18]",8.162833114575713,3.6632660950128386,3.6632660950128386,inf,269,0,0,0,0,"[8.162833114575713, 3.6632660950128386]"
cut,cap,first,Rand.Uni.100.10.2.gexf,100,1000,5,3,"[18, 18, 18, 18]",8.162833114575713,1.1630734629548716,1.1630734629548716,inf,699,0,0,0,0,"[8.162833114575713, 1.1630734629548716]"
cut,cap,first,Rand.Uni.100.10.2.gexf,100,1000,10,4,"[18, 18, 18, 18]",8.162833114575713,0,0,inf,0,0,0,0,0,"[8.162833114575713, 0]"
