construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,Complete.100.1.1.gexf,100,9900,2,1,"[99, 99, 99, 99]",48.78037993322677,46.81191398342209,46.81191398342209,inf,50,0,0,0,0,"[48.78037993322677, 46.81191398342209]"
cut,cap,first,Complete.100.1.1.gexf,100,9900,3,2,"[99, 99, 99, 99]",48.78037993322677,43.870555581753806,43.870555581753806,inf,65,0,0,0,0,"[48.78037993322677, 43.870555581753806]"
cut,cap,first,Complete.100.1.1.gexf,100,9900,5,3,"[99, 99, 99, 99]",48.78037993322677,39.11910575938389,39.11910575938389,inf,42,0,0,0,0,"[48.78037993322677, 39.11910575938389]"
cut,cap,first,Complete.100.1.1.gexf,100,9900,10,4,"[99, 99, 99, 99]",48.78037993322677,30.280857137660103,30.280857137660103,inf,41,0,0,0,0,"[48.78037993322677, 30.280857137660103]"
cut,cap,first,Complete.100.1.1.gexf,100,9900,50,5,"[99, 99, 99, 99]",48.78037993322677,4.146042579019387,4.146042579019387,inf,121,0,0,0,0,"[48.78037993322677, 4.146042579019387]"
cut,cap,first,Complete.100.20.1.gexf,100,9900,2,1,"[99, 99, 99, 99]",899,861,861,inf,63,0,0,0,0,"[899, 861]"
cut,cap,first,Complete.100.20.1.gexf,100,9900,3,2,"[99, 99, 99, 99]",899,805,805,inf,44,0,0,0,0,"[899, 805]"
cut,cap,first,Complete.100.20.1.gexf,100,9900,5,3,"[99, 99, 99, 99]",899,715,715,inf,89,0,0,0,0,"[899, 715]"
cut,cap,first,Complete.100.20.1.gexf,100,9900,10,4,"[99, 99, 99, 99]",899,551,551,inf,44,0,0,0,0,"[899, 551]"
cut,cap,first,Complete.100.20.1.gexf,100,9900,50,5,"[99, 99, 99, 99]",899,71,71,inf,110,0,0,0,0,"[899, 71]"
cut,cap,first,Complete.100.1.2.gexf,100,9900,2,1,"[99, 99, 99, 99]",52.52596507674114,50.57166795396553,50.57166795396553,inf,29,0,0,0,0,"[52.52596507674114, 50.57166795396553]"
cut,cap,first,Complete.100.1.2.gexf,100,9900,3,2,"[99, 99, 99, 99]",52.52596507674114,47.71552917211055,47.71552917211055,inf,35,0,0,0,0,"[52.52596507674114, 47.71552917211055]"
cut,cap,first,Complete.100.1.2.gexf,100,9900,5,3,"[99, 99, 99, 99]",52.52596507674114,43.103433525470976,43.103433525470976,inf,30,0,0,0,0,"[52.52596507674114, 43.103433525470976]"
cut,cap,first,Complete.100.1.2.gexf,100,9900,10,4,"[99, 99, 99, 99]",52.52596507674114,34.466410395581605,34.466410395581605,inf,35,0,0,0,0,"[52.52596507674114, 34.466410395581605]"
cut,cap,first,Complete.100.1.2.gexf,100,9900,50,5,"[99, 99, 99, 99]",52.52596507674114,4.970016406537902,4.970016406537902,inf,122,0,0,0,0,"[52.52596507674114, 4.970016406537902]"
cut,cap,first,Complete.100.20.2.gexf,100,9900,2,1,"[99, 99, 99, 99]",925,887,887,inf,36,0,0,0,0,"[925, 887]"
cut,cap,first,Complete.100.20.2.gexf,100,9900,3,2,"[99, 99, 99, 99]",925,832,832,inf,36,0,0,0,0,"[925, 832]"
cut,cap,first,Complete.100.20.2.gexf,100,9900,5,3,"[99, 99, 99, 99]",925,746,746,inf,59,0,0,0,0,"[925, 746]"
cut,cap,first,Complete.100.20.2.gexf,100,9900,10,4,"[99, 99, 99, 99]",925,593,593,inf,43,0,0,0,0,"[925, 593]"
cut,cap,first,Complete.100.20.2.gexf,100,9900,50,5,"[99, 99, 99, 99]",925,100,100,inf,127,0,0,0,0,"[925, 100]"
cut,cap,first,Complete.100.1.3.gexf,100,9900,2,1,"[99, 99, 99, 99]",48.44094911492891,46.46358571305058,46.46358571305058,inf,73,0,0,0,0,"[48.44094911492891, 46.46358571305058]"
cut,cap,first,Complete.100.1.3.gexf,100,9900,3,2,"[99, 99, 99, 99]",48.44094911492891,43.574434336930985,43.574434336930985,inf,73,0,0,0,0,"[48.44094911492891, 43.574434336930985]"
cut,cap,first,Complete.100.1.3.gexf,100,9900,5,3,"[99, 99, 99, 99]",48.44094911492891,38.923560433548936,38.923560433548936,inf,41,0,0,0,0,"[48.44094911492891, 38.923560433548936]"
cut,cap,first,Complete.100.1.3.gexf,100,9900,10,4,"[99, 99, 99, 99]",48.44094911492891,30.932974316910034,30.932974316910034,inf,54,0,0,0,0,"[48.44094911492891, 30.932974316910034]"
cut,cap,first,Complete.100.1.3.gexf,100,9900,50,5,"[99, 99, 99, 99]",48.44094911492891,4.300116112210607,4.300116112210607,inf,120,0,0,0,0,"[48.44094911492891, 4.300116112210607]"
cut,cap,first,Complete.100.20.3.gexf,100,9900,2,1,"[99, 99, 99, 99]",972,934,934,inf,38,0,0,0,0,"[972, 934]"
cut,cap,first,Complete.100.20.3.gexf,100,9900,3,2,"[99, 99, 99, 99]",972,877,877,inf,52,0,0,0,0,"[972, 877]"
cut,cap,first,Complete.100.20.3.gexf,100,9900,5,3,"[99, 99, 99, 99]",972,787,787,inf,54,0,0,0,0,"[972, 787]"
cut,cap,first,Complete.100.20.3.gexf,100,9900,10,4,"[99, 99, 99, 99]",972,620,620,inf,63,0,0,0,0,"[972, 620]"
cut,cap,first,Complete.100.20.3.gexf,100,9900,50,5,"[99, 99, 99, 99]",972,112,112,inf,113,0,0,0,0,"[972, 112]"
cut,cap,first,Complete.100.1.4.gexf,100,9900,2,1,"[99, 99, 99, 99]",47.63634405281463,45.6803745591049,45.6803745591049,inf,26,0,0,0,0,"[47.63634405281463, 45.6803745591049]"
cut,cap,first,Complete.100.1.4.gexf,100,9900,3,2,"[99, 99, 99, 99]",47.63634405281463,42.81113026275466,42.81113026275466,inf,26,0,0,0,0,"[47.63634405281463, 42.81113026275466]"
cut,cap,first,Complete.100.1.4.gexf,100,9900,5,3,"[99, 99, 99, 99]",47.63634405281463,38.2670389466953,38.2670389466953,inf,119,0,0,0,0,"[47.63634405281463, 38.2670389466953]"
