construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,R-MAT.50.5.1.gexf,50,199,2,1,"[10, 10, 10, 10]",14.0,10.0,10.0,inf,3353,0,0,0,0,"[14.0, 10.0]"
cut,cap,first,R-MAT.50.5.1.gexf,50,199,3,2,"[10, 10, 10, 10]",14.0,6.0,6.0,inf,5002,0,0,0,0,"[14.0, 6.0]"
cut,cap,first,R-MAT.50.5.1.gexf,50,199,5,3,"[10, 10, 10, 10]",14.0,1.0,1.0,inf,5524,0,0,0,0,"[14.0, 1.0]"
cut,cap,first,R-MAT.50.5.1.gexf,50,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,R-MAT.50.5.1.gexf,50,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,R-MAT.50.10.1.gexf,50,315,2,1,"[14, 14, 14, 14]",25.0,19.0,19.0,inf,1393,0,0,0,0,"[25.0, 19.0]"
cut,cap,first,R-MAT.50.10.1.gexf,50,315,3,2,"[14, 14, 14, 14]",25.0,12.0,12.0,inf,2008,0,0,0,0,"[25.0, 12.0]"
cut,cap,first,R-MAT.50.10.1.gexf,50,315,5,3,"[14, 14, 14, 14]",25.0,6.0,6.0,inf,3377,0,0,0,0,"[25.0, 6.0]"
cut,cap,first,R-MAT.50.10.1.gexf,50,315,10,4,"[14, 14, 14, 14]",25.0,0,0,inf,0,0,0,0,0,"[25.0, 0]"
cut,cap,first,R-MAT.50.10.1.gexf,50,F,50,5,"[14, 14, 14, 14]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,R-MAT.50.25.1.gexf,50,581,2,1,"[28, 28, 28, 28]",70.0,54.0,54.0,inf,785,0,0,0,0,"[70.0, 54.0]"
cut,cap,first,R-MAT.50.25.1.gexf,50,581,3,2,"[28, 28, 28, 28]",70.0,37.0,37.0,inf,1199,0,0,0,0,"[70.0, 37.0]"
cut,cap,first,R-MAT.50.25.1.gexf,50,581,5,3,"[28, 28, 28, 28]",70.0,25.0,25.0,inf,1246,0,0,0,0,"[70.0, 25.0]"
