construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows
cut,cap,first,Rand.Gauss025.50.5.1.gexf,50,250,2,1,"[8, 8, 8, 8]",2.5032046328603825,1.5395867960268041,1.5395867960268041,inf,2432,0,0,0,0,"[2.5032046328603825, 1.5395867960268041]"
cut,cap,first,Rand.Gauss025.50.5.1.gexf,50,250,3,2,"[8, 8, 8, 8]",2.5032046328603825,0.3111286776782878,0.3111286776782878,inf,1868,0,0,0,0,"[2.5032046328603825, 0.3111286776782878]"
cut,cap,first,Rand.Gauss025.50.5.1.gexf,50,250,5,3,"[8, 8, 8, 8]",2.5032046328603825,0,0,inf,0,0,0,0,0,"[2.5032046328603825, 0]"
cut,cap,first,Rand.Gauss025.50.5.1.gexf,50,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.5.1.gexf,50,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.10.1.gexf,50,500,2,1,"[17, 17, 17, 17]",9.634516241492072,7.574244795636329,7.574244795636329,inf,591,0,0,0,0,"[9.634516241492072, 7.574244795636329]"
cut,cap,first,Rand.Gauss025.50.10.1.gexf,50,500,3,2,"[17, 17, 17, 17]",9.634516241492072,4.8115047894078256,4.8115047894078256,inf,1349,0,0,0,0,"[9.634516241492072, 4.8115047894078256]"
cut,cap,first,Rand.Gauss025.50.10.1.gexf,50,500,5,3,"[17, 17, 17, 17]",9.634516241492072,1.7697708187413876,1.7697708187413876,inf,1468,0,0,0,0,"[9.634516241492072, 1.7697708187413876]"
cut,cap,first,Rand.Gauss025.50.10.1.gexf,50,500,10,4,"[17, 17, 17, 17]",9.634516241492072,0,0,inf,0,0,0,0,0,"[9.634516241492072, 0]"
cut,cap,first,Rand.Gauss025.50.10.1.gexf,50,F,50,5,"[17, 17, 17, 17]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.25.1.gexf,50,1250,2,1,"[38, 38, 38, 38]",20.430938190322397,18.244527408228507,18.244527408228507,inf,261,0,0,0,0,"[20.430938190322397, 18.244527408228507]"
cut,cap,first,Rand.Gauss025.50.25.1.gexf,50,1250,3,2,"[38, 38, 38, 38]",20.430938190322397,15.64282997060603,15.64282997060603,inf,537,0,0,0,0,"[20.430938190322397, 15.64282997060603]"
cut,cap,first,Rand.Gauss025.50.25.1.gexf,50,1250,5,3,"[38, 38, 38, 38]",20.430938190322397,11.696055844022888,11.696055844022888,inf,424,0,0,0,0,"[20.430938190322397, 11.696055844022888]"
cut,cap,first,Rand.Gauss025.50.25.1.gexf,50,1250,10,4,"[38, 38, 38, 38]",20.430938190322397,5.739654320033264,5.739654320033264,inf,992,0,0,0,0,"[20.430938190322397, 5.739654320033264]"
cut,cap,first,Rand.Gauss025.50.25.1.gexf,50,F,50,5,"[38, 38, 38, 38]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.5.2.gexf,50,250,2,1,"[7, 7, 7, 7]",3.693701391243243,2.2529832457076506,2.2529832457076506,inf,1345,0,0,0,0,"[3.693701391243243, 2.2529832457076506]"
cut,cap,first,Rand.Gauss025.50.5.2.gexf,50,250,3,2,"[7, 7, 7, 7]",3.693701391243243,0.5628141567439322,0.6669273628947738,0.5628141567439322,1855,1,0,0,0,"[3.693701391243243, 0.6669273628947738, 0.5628141567439322]"
cut,cap,first,Rand.Gauss025.50.5.2.gexf,50,250,5,3,"[7, 7, 7, 7]",3.693701391243243,0,0,inf,0,0,0,0,0,"[3.693701391243243, 0]"
cut,cap,first,Rand.Gauss025.50.5.2.gexf,50,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.5.2.gexf,50,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.10.2.gexf,50,500,2,1,"[16, 16, 16, 16]",7.978898307998228,6.34338963602674,6.34338963602674,inf,901,0,0,0,0,"[7.978898307998228, 6.34338963602674]"
cut,cap,first,Rand.Gauss025.50.10.2.gexf,50,500,3,2,"[16, 16, 16, 16]",7.978898307998228,4.277386061078655,4.277386061078655,inf,966,0,0,0,0,"[7.978898307998228, 4.277386061078655]"
cut,cap,first,Rand.Gauss025.50.10.2.gexf,50,500,5,3,"[16, 16, 16, 16]",7.978898307998228,1.919120232876617,1.919120232876617,inf,2328,0,0,0,0,"[7.978898307998228, 1.919120232876617]"
cut,cap,first,Rand.Gauss025.50.10.2.gexf,50,500,10,4,"[16, 16, 16, 16]",7.978898307998228,0,0,inf,0,0,0,0,0,"[7.978898307998228, 0]"
cut,cap,first,Rand.Gauss025.50.10.2.gexf,50,F,50,5,"[16, 16, 16, 16]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.25.2.gexf,50,1250,2,1,"[30, 30, 30, 30]",16.189646892484152,14.260209219718396,14.260209219718396,inf,550,0,0,0,0,"[16.189646892484152, 14.260209219718396]"
cut,cap,first,Rand.Gauss025.50.25.2.gexf,50,1250,3,2,"[30, 30, 30, 30]",16.189646892484152,12.015069799563275,12.015069799563275,inf,574,0,0,0,0,"[16.189646892484152, 12.015069799563275]"
cut,cap,first,Rand.Gauss025.50.25.2.gexf,50,1250,5,3,"[30, 30, 30, 30]",16.189646892484152,8.671563265290578,8.671563265290578,inf,599,0,0,0,0,"[16.189646892484152, 8.671563265290578]"
cut,cap,first,Rand.Gauss025.50.25.2.gexf,50,1250,10,4,"[30, 30, 30, 30]",16.189646892484152,3.326897703621388,3.326897703621388,inf,1021,0,0,0,0,"[16.189646892484152, 3.326897703621388]"
cut,cap,first,Rand.Gauss025.50.25.2.gexf,50,F,50,5,"[30, 30, 30, 30]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.5.3.gexf,50,250,2,1,"[12, 12, 12, 12]",5.217505529734169,3.5464873286161778,3.5464873286161778,inf,1024,0,0,0,0,"[5.217505529734169, 3.5464873286161778]"
cut,cap,first,Rand.Gauss025.50.5.3.gexf,50,250,3,2,"[12, 12, 12, 12]",5.217505529734169,1.8870321799383727,1.8870321799383727,inf,3735,0,0,0,0,"[5.217505529734169, 1.8870321799383727]"
cut,cap,first,Rand.Gauss025.50.5.3.gexf,50,250,5,3,"[12, 12, 12, 12]",5.217505529734169,0.2523420513869849,0.2523420513869849,inf,4303,0,0,0,0,"[5.217505529734169, 0.2523420513869849]"
cut,cap,first,Rand.Gauss025.50.5.3.gexf,50,250,10,4,"[12, 12, 12, 12]",5.217505529734169,0,0,inf,0,0,0,0,0,"[5.217505529734169, 0]"
cut,cap,first,Rand.Gauss025.50.5.3.gexf,50,F,50,5,"[12, 12, 12, 12]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.10.3.gexf,50,500,2,1,"[16, 16, 16, 16]",7.575453618756438,5.38798141620114,5.38798141620114,inf,1291,0,0,0,0,"[7.575453618756438, 5.38798141620114]"
cut,cap,first,Rand.Gauss025.50.10.3.gexf,50,500,3,2,"[16, 16, 16, 16]",7.575453618756438,3.553842458355532,3.553842458355532,inf,761,0,0,0,0,"[7.575453618756438, 3.553842458355532]"
cut,cap,first,Rand.Gauss025.50.10.3.gexf,50,500,5,3,"[16, 16, 16, 16]",7.575453618756438,1.4704051862841434,1.4704051862841434,inf,1476,0,0,0,0,"[7.575453618756438, 1.4704051862841434]"
cut,cap,first,Rand.Gauss025.50.10.3.gexf,50,500,10,4,"[16, 16, 16, 16]",7.575453618756438,0,0,inf,0,0,0,0,0,"[7.575453618756438, 0]"
cut,cap,first,Rand.Gauss025.50.10.3.gexf,50,F,50,5,"[16, 16, 16, 16]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.25.3.gexf,50,1250,2,1,"[32, 32, 32, 32]",14.081220183577999,12.477402252069535,12.477402252069535,inf,416,0,0,0,0,"[14.081220183577999, 12.477402252069535]"
cut,cap,first,Rand.Gauss025.50.25.3.gexf,50,1250,3,2,"[32, 32, 32, 32]",14.081220183577999,10.392887621896856,10.392887621896856,inf,424,0,0,0,0,"[14.081220183577999, 10.392887621896856]"
cut,cap,first,Rand.Gauss025.50.25.3.gexf,50,1250,5,3,"[32, 32, 32, 32]",14.081220183577999,7.434212539210157,7.434212539210157,inf,598,0,0,0,0,"[14.081220183577999, 7.434212539210157]"
cut,cap,first,Rand.Gauss025.50.25.3.gexf,50,1250,10,4,"[32, 32, 32, 32]",14.081220183577999,2.8349625027731626,2.8349625027731626,inf,1028,0,0,0,0,"[14.081220183577999, 2.8349625027731626]"
cut,cap,first,Rand.Gauss025.50.25.3.gexf,50,F,50,5,"[32, 32, 32, 32]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.5.4.gexf,50,250,2,1,"[8, 8, 8, 8]",4.171676444332424,2.468478962154296,2.468478962154296,inf,1569,0,0,0,0,"[4.171676444332424, 2.468478962154296]"
cut,cap,first,Rand.Gauss025.50.5.4.gexf,50,250,3,2,"[8, 8, 8, 8]",4.171676444332424,0.8236567928902363,0.8236567928902363,inf,2455,0,0,0,0,"[4.171676444332424, 0.8236567928902363]"
cut,cap,first,Rand.Gauss025.50.5.4.gexf,50,250,5,3,"[8, 8, 8, 8]",4.171676444332424,0,0,inf,0,0,0,0,0,"[4.171676444332424, 0]"
cut,cap,first,Rand.Gauss025.50.5.4.gexf,50,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.5.4.gexf,50,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F
cut,cap,first,Rand.Gauss025.50.10.4.gexf,50,500,2,1,"[15, 15, 15, 15]",8.173985512785576,6.5956477911273,6.5956477911273,inf,597,0,0,0,0,"[8.173985512785576, 6.5956477911273]"
cut,cap,first,Rand.Gauss025.50.10.4.gexf,50,500,3,2,"[15, 15, 15, 15]",8.173985512785576,4.758586657386239,4.758586657386239,inf,628,0,0,0,0,"[8.173985512785576, 4.758586657386239]"
